date,matched_words,Deidentified_paragraph,city
,homeless; unhoused,"I had originally scheduled to have the presentation from the [ORGANIZATION] program [ORGANIZATION], but due to some very unfortunate circumstances over [LOCATION],  that it had to be postponed. So now that it is official that they are cleared of any wrongdoing, and I must say that the shameful and senseless attempt at character assassination of this fine not-for-profit, as well as the upstanding individuals that run it,  is just unspeakable for a service and an asset that is so needed in this community. So I will be working to get them rescheduled to come before us, and I would ask my council colleagues to please treat them with the respect they are due for the exceptional work that they do with the homeless and the unhoused in our community.",south bend
,homeless,"Then there was, you know, some movement before then, before [ORGANIZATION] under the bridge dealing with the homeless. This council did step up and say, hey, we need to do something with [ORGANIZATION] presenting this stuff over there in [ORGANIZATION]. And there was discussion, there was some resolutions that were on before council.",south bend
,homeless,I'm not sure if they passed through or not. I don't remember that. But what I do know is that the language that was used and the ability to shame the homeless in that video by council president really set a really horrible tone.,south bend
,homeless,"And it has been substantially confirmed in the paper and in the media that people did not have running water, people did not have heat, and also it smelled like a urinal in the facility. And on top of it, while I was visiting, finding out that people were paying  rent out of homeless people, taking advantage of the disadvantage to be paying money out of their pocket on top of what the [ORGANIZATION] funds is being paid for. I was very upset about  It was a private conversation that was secretly recorded and leaked out and shared among some of my colleagues shared to different people in the community.",south bend
,homeless,"By the contents, in the context of what I said, very upsetting to see that homeless people being used by some of our own council that knew that that building was not properly zoned. For [ORGANIZATION],  did not share that information with council knowing that that facility was not zoned properly because it came before us you just keep lying painful so i",south bend
,houseless,"At this time, our invocation will be given by [ORGANIZATION], At-Large Councilwoman. Thank you, President [PERSON]. Loving God, protector of all, we ask you to watch over our city and to watch the residents of our city, our children, our seniors, those who go hungry, the houseless, the strangers and immigrants in our midst, and those who are alone, creator of good,  Thank you for the men and women who serve our city in various ways, our staff members, public safety officers, those in leadership roles.",south bend
,affordable housing,yes uh first uh mr [ORGANIZATION] i think we quickly voted and your kids got a favorable recommendation they're pretty cute [PERSON] that that uh i just want to thank uh thank mr PERSON2 for his investment in the community and uh um was mentioned by [ORGANIZATION] earlier this is uh one of the ways we get uh more housing stock and more affordable affordable housing stock in the in the city thank you  councilman PERSON4 i would just like to say to mr PERSON2 to see the difference from [ORGANIZATION] and what you've done is impressive um you know these older houses they need to love and when people invest in them they invest in our neighborhoods we appreciate that we appreciate you  taking that opportunity to invest in the neighborhood. And it's going to be more than a multifamily opportunity.,south bend
,affordable housing,"The [ORGANIZATION] near [ORGANIZATION]west neighborhood itself had tried for [ORGANIZATION] to get tax credit grants in order to turn this into affordable housing, workforce housing or elderly housing, but were unsuccessful. So what we are doing is we're proposing a market based private initiative that will allow us to renovate this building and turn it into a commercial node. What we call a collaborative village that will allow us to offer space for businesses,  retail  professional offices, makerspace, cultural arts space, as well as folks like tax accountant, insurance agents, health and wellness.",south bend
,homeless,"We are seeking fairness for the truly homeless in our community, as well as greater fiscal responsibility from our local government. And lastly, fairness and freedom for all media platforms to share and report on the actions of our government. All this is transparent and for the genuine improvement of the city of [ORGANIZATION].",south bend
,homeless,"Okay. But on that area, one corner is the location that is on dispute right now. And the reason that we are, that I am questioning that is because we got a lot of homeless people there.",south bend
