created_at,user_location,tweet_geo,tweet_country,place_type,is_retweet,keywords_matched,Deidentified_text,city
2024-12-27T23:29:56.000Z,United States,"Mishawaka, IN",United States,city,False,homeless,"[USER] [USER] I don't see any funny about it. I couldn't care less if [ORGANIZATION] had Trillions or was homeless. A man is worthless without respect. Playing games with someone's income might be funny for some, I guess, even if it was just for [TIME]. Very disrespectful &amp; disappointing.",south bend
2024-12-26T21:00:03.000Z,"South Bend, IN",,,,False,,"Developer adds [PERSON] building to ORG1 plan for housing, retail and green space as well as address food insecurity. READI money awarded. [ORGANIZATION]",south bend
2024-12-26T11:30:06.000Z,"South Bend, IN",,,,False,,"Developer adds [PERSON] building to ORG1 plan for housing, retail and green space as well as address food insecurity. READI money awarded. [URL]",south bend
2024-12-20T15:27:43.000Z,The Goat House,,,,False,homeless,"[USER] Even with the homeless in the middle of FAC0, [ORGANIZATION] is such a shit hole with the [ORGANIZATION]’s WORST stadium.",south bend
2024-12-19T03:08:11.000Z,"Granger, IN","Granger, IN",United States,city,False,affordable housing,"[USER] [USER] Actually, I think this is a cool idea. Like dorm-style living, but for adults. If it revitalizes mall space, helps local businesses, alleviates a shortage of affordable housing (especially for young adults or seniors) and ISN'T MANDATED BY THE GOVERNMENT, I say go for it!",south bend
2024-12-18T23:25:14.000Z,"Bristol, IN.",,,,False,homeless,"A huge shoutout to [ORGANIZATION]'s ORG1 for their generosity and hard work! They donated 19 sets of hats, gloves, and scarves to help keep the children at [ORGANIZATION] ORG2 warm [ORGANIZATION]. 💙 [URL]",south bend
2024-12-14T01:12:32.000Z,"South Bend, IN",,,,False,homeless,"813 S. FAC0 ([ORGANIZATION])
[ORGANIZATION] 

[TIME]: They advised this was NOT a car that rolled over. Sounds like they said  “cart”. The patient is alert.

#SouthBend [URL]",south bend
2024-12-13T01:52:24.000Z,,,,,False,homeless,[USER] [USER] dey lucky i aint [ORGANIZATION] i be eating like a homeless man that aint ate in [ORGANIZATION],south bend
2024-12-13T01:25:42.000Z,,,,,False,"homeless, homelessness",PERSON0 You really want to go there with your “husbands” record on homelessness in [ORGANIZATION]?,south bend
2024-12-10T12:33:29.000Z,,,,,False,"homeless, homelessness",[USER] [USER] [USER] Homelessness is big business in [ORGANIZATION] and cities and counties all around us send their homeless here. Now it’s a massive problem and no one wants to go downtown because it’s been overrun by homeless people. The mayor puts them in hotels. They don’t want to go to the shelters,south bend
2024-12-10T12:21:41.000Z,"Indiana, USA",,,,False,homeless,[USER] so my question is can we show at least a *LITTLE* bit of interest in [ORGANIZATION]'s homeless feat. addicted and mentally ill population? Like my personal idea was previously a recorded sit-down discussion between certain members of the [ORGANIZATION] and specific members of-,south bend
2024-12-09T22:42:25.000Z,,,,,False,homeless,"🎄Christmas Giving🎄 kickoff pod with [USER], talking playoff committee, [ORGANIZATION] gaslighting, [ORGANIZATION] and a lot more.

Listen: [ORGANIZATION] to ORG1 in [PERSON]: [URL] [URL]",south bend
2024-12-09T19:12:26.000Z,,,,,False,homeless,"Since you're all here, please consider donating to [ORGANIZATION]. They do wonderful work for the poor, and your kindness is especially appreciated during the frigid [ORGANIZATION]. [URL]",south bend
2024-12-09T13:12:54.000Z,,,,,False,homeless,"☘️🎁🎄Christmas Giving [DATE] is live🎄🎁☘️

Donate to [ORGANIZATION] in [ORGANIZATION] here: [URL]

Additional details: [URL] [URL]",south bend
2024-12-07T18:42:24.000Z,,,,,False,homeless,[USER] Sandwiches for the many homeless in [PERSON].,south bend
2024-12-06T22:33:16.000Z,USA ,,,,False,affordable housing,PERSON0 You couldn’t even fill the potholes in [ORGANIZATION]. You forced Americans out of jobs and affordable housing to favor illegals. [ORGANIZATION] is still a shithole.,south bend
2024-12-06T01:30:06.000Z,"South Bend, Indiana",,,,False,,The luncheon also gives a platform for people to tell their stories. [PERSON],south bend
2024-12-05T21:47:58.000Z,"South Bend, IN","South Bend, IN",United States,city,False,unhoused,"Thanks to [ORGANIZATION] for inviting [USER] [ORGANIZATION]amp; I to join your table at the [USER] [ORGANIZATION]. After an especially cold night, it was wonderful to be surrounded by the warmth of many individuals who support caring for our unhoused neighbors. [PERSON]",south bend
2024-12-05T04:08:36.000Z,"South Bend, IN",,,,False,homeless,"FAC0amp; FAC1 ([ORGANIZATION])

[PERSON] 

Caller requesting a welfare check on a homeless male who seems to be in distress. Caller advising the male is at the gas station.

#[PERSON]",south bend
2024-12-05T01:46:18.000Z,"South Bend, IN",,,,False,homeless,"813 S. FAC0 ([ORGANIZATION])
[ORGANIZATION] 

#SouthBend",south bend
2024-12-02T03:01:06.000Z,United States,,,,False,homeless,PERSON0 Have you researched how [PERSON] treated the homeless in [ORGANIZATION] during his two terms? [ORGANIZATION] swept encampments under a downtown overpass more than once and everything got trashed.,south bend
2024-12-01T17:36:54.000Z,,,,,False,homeless,"all of [ORGANIZATION] designs are live, with any [ORGANIZATION] proceeds [PERSON] going to ORG2 in [ORGANIZATION]

[URL] [URL]",south bend
2024-12-01T14:03:09.000Z,Ohio,,,,False,homeless,PERSON0 Have you ever been to [PERSON]?  He’s clearly not qualified to be Mayor either. I was their during his mayorship and I couldn’t believe how many homeless walking the streets.,south bend
2024-11-29T13:30:01.000Z,"South Bend, IN",,,,False,homeless,[ORGANIZATION]-based [ORGANIZATION] was founded to help farmers and the thousands of homeless organs in the East African country. [PERSON],south bend
2024-11-28T16:30:12.000Z,"Mishawaka, IN",,,,False,homeless,"#[PERSON]: A [ORGANIZATION] family served [ORGANIZATION] dinner to more than 100 homeless people [LOCATION], and are planning on helping even more DATE2!

[LOCATION]",south bend
2024-11-28T05:00:18.000Z,"South Bend, IN",,,,False,,"The purchase by the city should allow the long-planned, frequently-opposed project to move forward. [URL]",south bend
2024-11-28T00:45:06.000Z,"Mishawaka, IN",,,,False,homeless,"Turning heartbreak into hope, a [ORGANIZATION] family is honoring their daughter's memory by feeding the homeless [ORGANIZATION].
READ MORE: [URL] [URL]",south bend
2024-11-27T21:05:20.000Z,"South Bend, IN",,,,False,,"The purchase by the city should allow the long-planned, frequently-opposed project to move forward. [ORGANIZATION]",south bend
2024-11-27T14:08:02.000Z,United States,,,,False,homeless,Group behind new low-barrier [INSTITUTION] in [ORGANIZATION] embarks on next steps [URL],south bend
2024-11-27T11:00:02.000Z,"South Bend, Indiana",,,,False,,"Plans for a new 'FAC0' call for laundry facilities, a commercial kitchen and outdoor gathering space.

 [URL]",south bend
2024-11-26T17:24:37.000Z,"Mishawaka, IN",,,,False,homeless,"The deal to build a new homeless intake center in [ORGANIZATION] is close to completion.
[URL]",south bend
2024-11-23T03:44:09.000Z,USA,,,,False,,"[ORGANIZATION] Mayor [ORGANIZATION] discusses President-Elect PERSON1's immigration policies [URL]
Ikibatsi mutual net.",south bend
2024-11-21T08:29:39.000Z,"South Bend, IN",,,,False,homeless,"813 S. FAC0 ([ORGANIZATION])
[ORGANIZATION] 

#[PERSON]",south bend
2024-11-20T22:12:57.000Z,,,,,False,homeless,"[USER] [USER] Notice how liberals fastidiously avoid the homeless, illegals, and blacks they say they love so much.  The [ORGANIZATION] sent PERSON1 to [PERSON].  Now isn't that special.  Guess where PERSON2 lived when he was in [ORGANIZATION]?  Hint:  not on FAC0 or FAC1.",south bend
2024-11-20T03:57:09.000Z,United States,,,,False,,[ORGANIZATION] Mayor [ORGANIZATION] discusses President-Elect PERSON1's immigration policies [ORGANIZATION],south bend
2024-11-19T15:00:39.000Z,"Mishawaka, IN",,,,False,,"[ORGANIZATION]'s [ORGANIZATION] and [ORGANIZATION] Mayor [PERSON] (D) discuss hot topics in the city including how the City of [ORGANIZATION] would handle President-Elect PERSON2's immigration policies, along with FAC0.

[URL]",south bend
2024-11-16T20:37:27.000Z,,,,,False,homeless,"[USER] My favorite thing [ORGANIZATION] did when he was mirror in [ORGANIZATION], [ORGANIZATION] was cover the city in lime bikes that the homeless could throw in the river. Brilliant guy. 

Maybe if he’s president we can have lime bikes for the homeless to throw around all over the [PERSON]!",south bend
2024-11-12T02:51:42.000Z,,,,,False,,"[USER] PERSON0 Yeah, about PERSON1...: [URL]",south bend
2024-11-07T15:14:58.000Z,Indiana,,,,False,homeless,"I WANT THE [ORGANIZATION], I WANT THE PROPERTY_ I AM POSITIONED TO CONDEMN ALL OF SOUTH BEND OVER IT&gt; welcome to Judgement - im baby goddess of war, thats what ""angel"" you screwed over, raping me and making me homeless (dv survivor- healthcare worker)",south bend
2024-11-06T14:44:40.000Z,"New Orleans, LA",,,,False,,"We're excited to announce the financial closing of FAC0 in [ORGANIZATION], [PERSON], our first transaction in connection with [ORGANIZATION]; [ORGANIZATION] program. The new construction development will provide 72 units for seniors at 60% [ORGANIZATION]. [URL]",south bend
2024-11-05T21:14:01.000Z,"South Bend, Indiana, USA",,,,False,"homeless, homelessness","In honor of [ORGANIZATION] [DATE] in [ORGANIZATION], [ORGANIZATION] will donate $2 for every burger sold in [ORGANIZATION] to support our programs to end youth homelessness in our community!

Visit The ORG1 in central [ORGANIZATION] at [ADDRESS]. [URL]",south bend
2024-11-05T16:17:22.000Z,"Los Angeles, CA",,,,False,,"[USER] [USER] My point is [ORGANIZATION]'s a piece of shit Republican light politician. this was the city of [ORGANIZATION], when [ORGANIZATION] was mayor - it has FUCK ALL to do with the governor of [PERSON] 
[URL]",south bend
2024-11-05T06:26:03.000Z,"Los Angeles, CA",,,,False,,"[USER] [USER] HE WAS THE MAYOR. HE CALLED FOR THE SWEEPS. READ THE ARTICLE
[URL]",south bend
2024-11-05T06:21:14.000Z,"Los Angeles, CA",,,,False,"homeless, unhoused","[USER] [USER] Read about how he treated homeless people in [ORGANIZATION] when he was the mayor - destroyed their possessions under ""nuisance laws"" during [ORGANIZATION] in [ORGANIZATION] when there weren't enough shelter beds to accommodate the unhoused population
[LOCATION]",south bend
2024-11-05T06:09:38.000Z,"Los Angeles, CA",,,,False,homeless,"[USER] [USER] address how he treated homeless people in [ORGANIZATION] without pretending being a wealthy gay man who adopted children makes him a saint
[LOCATION]",south bend
2024-11-05T05:46:05.000Z,"Los Angeles, CA",,,,False,,"[USER] [USER] Read it all bitch 
[LOCATION]",south bend
2024-11-05T05:40:02.000Z,"Los Angeles, CA",,,,False,homeless,[USER] [USER] shut the fuck up man. this guy pretended he knew fucking eight languages. he doesn't. Look up how he treated homeless people in [ORGANIZATION] during [ORGANIZATION] in [ORGANIZATION]. he destroyed their possessions and put them on the streets when there weren't enough shelter beds for them,south bend
2024-11-05T05:39:04.000Z,"Los Angeles, CA",,,,False,homeless,[USER] [USER] at pretending to be a human being? He's a fucking piece of shit. Look up how he treated homeless people in [ORGANIZATION],south bend
2024-11-03T03:00:02.000Z,"Mishawaka, IN",,,,False,homeless,"Local organizations teaming up and camping out to raise awareness and collect donations for those who are homeless in [ORGANIZATION]. [USER] has more on the seventh DATE0 ""Sleep-Out for the Homeless""
[URL]",south bend
2024-11-01T11:00:24.000Z,"Long Island City, New York",,,,False,,"[ORGANIZATION], a #nationwide #nonprofit #provider of affordable #multifamily #housing for older #adults, held a ground-breaking #ceremony for FAC0 in [ORGANIZATION], [PERSON].

[URL]",south bend
2024-10-29T03:39:12.000Z,,"Mishawaka, IN",United States,city,False,homeless,URGENT: ‘Save Them All’? [ORGANIZATION] to Animal Abusers—Take Action DATE0! [URL] [USER],south bend
2024-10-29T03:39:02.000Z,,"Mishawaka, IN",United States,city,False,homeless,URGENT: ‘Save Them All’? [ORGANIZATION] to Animal Abusers—Take Action DATE0! [URL] [USER],south bend
2024-10-26T13:38:35.000Z,,,,,False,homeless,"PERSON0 Picture from when [PERSON] bulldozed over homeless encampments as the mayor of [ORGANIZATION], [PERSON]. Clearly, Democrats love destroying the few possessions belonging to the homeless. [URL]",south bend
