city,article_date,article_source,city_source,keywords_matched,Deidentified_article_title,Deidentified_paragraph_text
baltimore,2021-08-31T00:00:00Z,States News Service,The Baltimore Sun,affordable housing,LETTER TO [ORGANIZATION] AND [ORGANIZATION],"Public housing is a critical resource for low-income people across [ORGANIZATION], especially women, those with disabilities, as well as [LOCATION], Indigenous, and other people of color. It is crucial to ensuring safe and affordable housing for all, as international human rights standards provide. Yet [ORGANIZATION] of devastating budget cuts have forced many public housing residents to live in homes made unsafe by lead paint, mold, and disrepair. Alternatives to Section 9, such as [ORGANIZATION], however, have reduced oversight and protections for residents, and in some cases we have examined in [PERSON], appear to have led to increased evictions."
baltimore,2021-08-31T00:00:00Z,States News Service,The Baltimore Sun,affordable housing,LETTER TO [ORGANIZATION] AND [ORGANIZATION],[ORGANIZATION] is a Crucial Source of Affordable Housing
baltimore,2021-08-31T00:00:00Z,States News Service,The Baltimore Sun,affordable housing,LETTER TO [ORGANIZATION] AND [ORGANIZATION],"Because rents in public housing are capped at 30 percent of a households income, public housing is a critical source of affordable housing for low-income families. In [ORGANIZATION], for example, public housing comprises over half of the homes which are affordable to extremely low-income tenants, or those making less than 30 percent of the area median.1 [ORGANIZATION] has been conducting research on public housing for a forthcoming report, and many residents we interviewed testified to the crucial role public housing has played in their own lives. One resident described how the affordability of public housing enabled her late-grandmother to retire. There is no [STREET] she would have been able to have that quality of life at the end of her life without public housing, she told [ORGANIZATION]."
baltimore,2021-08-31T00:00:00Z,States News Service,The Baltimore Sun,affordable housing,LETTER TO [ORGANIZATION] AND [ORGANIZATION],"Public housing is uniquely able to provide homes that are permanently affordable.2 Affordability guarantees in other supply-side affordable housing programs, such as [ORGANIZATION] LIHTC and project-based Section 8 housing, typically expire after a number of years. As a result, over 700,000 homes will see their affordability restrictions expire by [ORGANIZATION], placing thousands of families at risk of displacement.3"
baltimore,2021-08-31T00:00:00Z,States News Service,The Baltimore Sun,homeless,LETTER TO [ORGANIZATION] AND [ORGANIZATION],"[ORGANIZATION] has a forthcoming report about the effects of [ORGANIZATION] in [ORGANIZATION], and our research indicates that the program results in the loss of oversight, accountability, and support mechanisms that are important to protect residents human rights. Data provided to [ORGANIZATION] by the [ORGANIZATION] Housing Authority ORG2 also indicates that some [ORGANIZATION]-converted housing developments have seen an increase in their [ORGANIZATION] eviction rates. Evictions that leave individuals homeless or lead to other violations of human rights violate the human right to housing. Given the vulnerable population public housing serves, increases in evictions raise concerns over human rights."
baltimore,2021-08-31T00:00:00Z,States News Service,The Baltimore Sun,affordable housing,LETTER TO [ORGANIZATION] AND [ORGANIZATION],"3 See ORG0 and [ORGANIZATION], accessed [LOCATION], p.13 see also [ORGANIZATION] and [ORGANIZATION]? The Use of Vouchers When a [STREET]-Based Rental Subsidy Ends Urban Studies 5610 [DATE] DATE2 doi 10.[PHONE][PHONE] ORG1, [PERSON] to Prevent the Loss of [ORGANIZATION], [DATE], DATE2, accessed DATE4."
baltimore,2023-04-11T00:00:00Z,MENAFN - Press Releases (English),The Baltimore Sun,affordable housing,Former [ORGANIZATION] Leaders Speak Out Against Proposed Menthol Ban In [PERSON],"In [ORGANIZATION], [ORGANIZATION] newspaper wrote about [ORGANIZATION], [ORGANIZATION] grandmother living with her two daughters and grandson received an eviction notice from her apartment after police saw her smoking in the parking lot. Banning menthol cigarettes unfairly targets the Black community.News coverage and public outcry stopped the eviction, but you can see how this policy would disproportionately target the Black community, opening us up to more scrutiny from police and further jeopardizing our safety, said former president of [ORGANIZATION], [ORGANIZATION] are calling on Gov. [PERSON], members of [ORGANIZATION], and [PERSON] to focus on bringing down crime rates, investing in affordable housing, and creating a more livable [PERSON]. A ban on menthol, will undoubtedly create another problem in our community during a time in which were trying to recover from the war on drugs, added [ORGANIZATION], former chair of [ORGANIZATION], [ORGANIZATION], and [ORGANIZATION] are all leaders on housing and resident services matters in GPE2, [PERSON]. Having served the ORG4, FAC0, and [ORGANIZATION], respectively, the three leaders have a combined [DATE] of experience in housing and publicservices. ORG6 has been tracking the issue of menthol bans and others since 2021.MEDIA [ORGANIZATION] protectedSOURCE ORG7"
baltimore,2022-03-03T00:00:00Z,Contify Banking News,The Baltimore Sun,affordable housing,[ORGANIZATION] by [ORGANIZATION],"[ORGANIZATION] donated approximately half a million dollars throughout the ORG1 footprint to more than 100 organizations whose missions align with the ORG1 community giving pillars of financial literacy and education, affordable housing and health and wellness. [PERSON], [ORGANIZATION] employees volunteered [TIME] with local organizations that are meaningful to them."
baltimore,2020-02-15T00:00:00Z,Granite Grok,The Baltimore Sun,homeless,Democrats Care More About Illegal Aliens Than,"DATE0 PERSON0 Delivered by [ORGANIZATION] Why do Democrats care more about illegal aliens than homeless Americans1 in the streets? Thats the PERSON1 question. Mr. [PERSON] is the man who has been voluntarily cleaning up garbage accumulated in Democrat-run cities. Hes not drawing big crowds, but the question is still pretty poignant. Answering [ORGANIZATION] is actively promoting expansion of sanctuary policies."
baltimore,2020-02-15T00:00:00Z,Granite Grok,The Baltimore Sun,homeless,Democrats Care More About Illegal Aliens Than,"They are all in on giving illegals free health care and drivers [PERSON]. But why are we doing for illegal aliens when we have not taken care of homeless Americans5? Why do we treat homeless Americans [PERSON] than the [ORGANIZATION] treats stray or abused animals? The hallmark of our [ORGANIZATION] is their homeless people. [ORGANIZATION] noted [ORGANIZATION] is one of the biggest economies in the world8. With that said, its capital, [PERSON] would rather cater to illegals instead of homeless Americans9. [ORGANIZATION] is a sanctuary [LOCATION]. This sure seems like a problem in [LOCATION]. [ORGANIZATION] noted both his father and grandfather had served their [LOCATION] in the military. He too is doing his part cleaning up communities around the country because he gives a damn. [ORGANIZATION] says, [ORGANIZATION] does not put our people first. Yes, he is going to vote for [ORGANIZATION] in DATE0. To him PERSON2 is a do-nothing [PERSON]. [ORGANIZATION] hopes the video of him asking this question will go viral.The op-ed[ORGANIZATION] has organized a clean-up of [ORGANIZATION] which he wrote about in an op-ed in the ORG2. While our volunteers were inspired to pick up trash, we knew this had to be more than just a Band-Aid. So, we took the opportunity to zip our mouths and listen to the residents. [ORGANIZATION], [LOCATION] and 4-foot-10 inches tall, took me by the hand to show me where her neighborhood needs help. She told me how people from outside the city are illegally dumping trash at the bandos, or abandoned buildings. Even worse, [ORGANIZATION] said that the city only sends a truck once a year to clean out the alleys. A grandmother ran out to us after seeing reports of the cleanup on the news. She has sent videos of vehicles illegally dumping in the area, but the city has not taken action. I gave her my cell number and promised to post any videos she sends me all over social media so we can combat this illegal trash dumping. I also encouraged her to knock on every one of her neighbors doors to tell the city how they feel. In addition to the grandmother, I promised [ORGANIZATION] that we would return. On [DATE], we are coming back to [ORGANIZATION] for cleanup 2. We would like to cordially invite The [ORGANIZATION] Sun to join our efforts and help pick up trash.Dont tell me Show meThe proof is in the pudding. Democrats dont care15 about the homeless. They never have cared16 about the homeless. Caring for the homeless versus the goal of advancing the [ORGANIZATION], thats whats being weighed. Democrats have made the [ORGANIZATION]. It is apparent they put [ORGANIZATION] over American people. Dont believe it? Wheres the American flag on their debate stage? What do they really want to be president of? That is why they dont care about [PERSON]. They dont care about mothers whose loved ones have been killed by illegal aliens20. They want these illegal aliens21 to be new voters. Its party over [PERSON]. They dont care about full term babies born live23 after an abortion attempt. They want to kill them. Democrats care about party. They just dont care about people. Why do Democrats care more about illegal aliens than homeless Americans in the streets is a symptom not the root cause. The post Democrats Care More About Illegal Aliens [ORGANIZATION] appeared first on [ORGANIZATION].  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25"
