city,article_date,article_source,city_source,keywords_matched,original_count,processed_count,was_shortened,used_sentence_method,segment_count,segment_index,Deidentified_article_title,Deidentified_paragraph_text
baltimore,2021-08-31T00:00:00Z,States News Service,The Baltimore Sun,affordable housing,4,4,False,True,1,0,LETTER TO [ORGANIZATION] AND [ORGANIZATION],"Public housing is a critical resource for low-income people across [ORGANIZATION], especially women, those with disabilities, as well as [LOCATION], Indigenous, and other people of color. It is crucial to ensuring safe and affordable housing for all, as international human rights standards provide. Yet [ORGANIZATION] of devastating budget cuts have forced many public housing residents to live in homes made unsafe by lead paint, mold, and disrepair. Alternatives to Section 9, such as [ORGANIZATION], however, have reduced oversight and protections for residents, and in some cases we have examined in [PERSON], appear to have led to increased evictions."
baltimore,2021-08-31T00:00:00Z,States News Service,The Baltimore Sun,affordable housing,1,1,False,True,1,0,LETTER TO [ORGANIZATION] AND [ORGANIZATION],[ORGANIZATION] is a Crucial Source of Affordable Housing
baltimore,2021-08-31T00:00:00Z,States News Service,The Baltimore Sun,affordable housing,4,4,False,True,1,0,LETTER TO [ORGANIZATION] AND [ORGANIZATION],"Because rents in public housing are capped at 30 percent of a households income, public housing is a critical source of affordable housing for low-income families. In [ORGANIZATION], for example, public housing comprises over half of the homes which are affordable to extremely low-income tenants, or those making less than 30 percent of the area median.1 [ORGANIZATION] has been conducting research on public housing for a forthcoming report, and many residents we interviewed testified to the crucial role public housing has played in their own lives. One resident described how the affordability of public housing enabled her late-grandmother to retire. There is no [STREET] she would have been able to have that quality of life at the end of her life without public housing, she told [ORGANIZATION]."
baltimore,2021-08-31T00:00:00Z,States News Service,The Baltimore Sun,affordable housing,2,2,False,True,1,0,LETTER TO [ORGANIZATION] AND [ORGANIZATION],"Public housing is uniquely able to provide homes that are permanently affordable.2 Affordability guarantees in other supply-side affordable housing programs, such as [ORGANIZATION] LIHTC and project-based Section 8 housing, typically expire after a number of years. As a result, over 700,000 homes will see their affordability restrictions expire by [ORGANIZATION], placing thousands of families at risk of displacement.3"
baltimore,2021-08-31T00:00:00Z,States News Service,The Baltimore Sun,homeless,4,4,False,True,1,0,LETTER TO [ORGANIZATION] AND [ORGANIZATION],"[ORGANIZATION] has a forthcoming report about the effects of [ORGANIZATION] in [ORGANIZATION], and our research indicates that the program results in the loss of oversight, accountability, and support mechanisms that are important to protect residents human rights. Data provided to [ORGANIZATION] by the [ORGANIZATION] Housing Authority ORG2 also indicates that some [ORGANIZATION]-converted housing developments have seen an increase in their [ORGANIZATION] eviction rates. Evictions that leave individuals homeless or lead to other violations of human rights violate the human right to housing. Given the vulnerable population public housing serves, increases in evictions raise concerns over human rights."
baltimore,2021-08-31T00:00:00Z,States News Service,The Baltimore Sun,affordable housing,2,2,False,True,1,0,LETTER TO [ORGANIZATION] AND [ORGANIZATION],"3 See ORG0 and [ORGANIZATION], accessed [LOCATION], p.13 see also [ORGANIZATION] and [ORGANIZATION]? The Use of Vouchers When a [STREET]-Based Rental Subsidy Ends Urban Studies 5610 [DATE] DATE2 doi 10.[PHONE][PHONE] ORG1, [PERSON] to Prevent the Loss of [ORGANIZATION], [DATE], DATE2, accessed DATE4."
baltimore,2023-04-11T00:00:00Z,MENAFN - Press Releases (English),The Baltimore Sun,affordable housing,8,3,True,True,1,0,Former [ORGANIZATION] Leaders Speak Out Against Proposed Menthol Ban In [PERSON],"News coverage and public outcry stopped the eviction, but you can see how this policy would disproportionately target the Black community, opening us up to more scrutiny from police and further jeopardizing our safety, said former president of [ORGANIZATION], [ORGANIZATION]. We are calling on Gov. [PERSON], members of [ORGANIZATION], and [PERSON] to focus on bringing down crime rates, investing in affordable housing, and creating a more livable [ORGANIZATION]. A ban on menthol, will undoubtedly create another problem in our community during a time in which were trying to recover from the war on drugs, added [ORGANIZATION], former chair of [ORGANIZATION]."
baltimore,2022-03-03T00:00:00Z,Contify Banking News,The Baltimore Sun,affordable housing,2,2,False,True,1,0,[ORGANIZATION] by [ORGANIZATION],"[ORGANIZATION] donated approximately half a million dollars throughout the ORG1 footprint to more than 100 organizations whose missions align with the ORG1 community giving pillars of financial literacy and education, affordable housing and health and wellness. [PERSON], [ORGANIZATION] employees volunteered [TIME] with local organizations that are meaningful to them."
baltimore,2020-02-15T00:00:00Z,Granite Grok,The Baltimore Sun,homeless,5,5,False,True,1,0,Democrats Care More About Illegal Aliens Than,"DATE0 PERSON0 Delivered by [ORGANIZATION] Why do Democrats care more about illegal aliens than homeless Americans1 in the streets? Thats the PERSON1 question. Mr. [PERSON] is the man who has been voluntarily cleaning up garbage accumulated in Democrat-run cities. Hes not drawing big crowds, but the question is still pretty poignant. Answering [ORGANIZATION] is actively promoting expansion of sanctuary policies."
baltimore,2020-02-15T00:00:00Z,Granite Grok,The Baltimore Sun,homeless,47,7,True,True,3,0,Democrats Care More About Illegal Aliens Than,"They are all in on giving illegals free health care and drivers [PERSON]. But why are we doing for illegal aliens when we have not taken care of homeless Americans5? Why do we treat homeless Americans [PERSON] than the [ORGANIZATION] treats stray or abused animals? The hallmark of our [ORGANIZATION] is their homeless people. [ORGANIZATION] noted [ORGANIZATION] is one of the biggest economies in the world8. With that said, its capital, [PERSON] would rather cater to illegals instead of homeless Americans9. [ORGANIZATION] is a sanctuary [LOCATION]."
baltimore,2020-02-15T00:00:00Z,Granite Grok,The Baltimore Sun,homeless,47,5,True,True,3,1,Democrats Care More About Illegal Aliens Than,"Dont tell me Show meThe proof is in the pudding. Democrats dont care15 about the homeless. They never have cared16 about the homeless. Caring for the homeless versus the goal of advancing the [ORGANIZATION], thats whats being weighed. Democrats have made the [ORGANIZATION]."
baltimore,2020-02-15T00:00:00Z,Granite Grok,The Baltimore Sun,homeless,47,3,True,True,3,2,Democrats Care More About Illegal Aliens Than,They just dont care about people. Why do Democrats care more about illegal aliens than homeless Americans in the streets is a symptom not the root cause. The post Democrats Care More About Illegal Aliens [ORGANIZATION] appeared first on [ORGANIZATION].
baltimore,2018-04-11T00:00:00Z,Stateline.org,The Baltimore Sun,affordable housing,1,1,False,True,1,0,Pursuing Desegregation in the PERSON0 Era,"Over [ORGANIZATION], a number of cities and states have been sued and accused of either doing nothing to alleviate segregation or actively promoting it by disproportionately building affordable housing in poor, minority neighborhoods."
baltimore,2018-04-11T00:00:00Z,Stateline.org,The Baltimore Sun,affordable housing,3,3,False,True,1,0,Pursuing Desegregation in the PERSON0 Era,"Other cities have tried to address segregation -- and failed. [ORGANIZATION], for example, after being sued in [ORGANIZATION] over historic patterns of housing discrimination, started offering developers financial incentives to create affordable housing in affluent neighborhoods. But the programs had no takers, according to a [PERSON] report by The [ORGANIZATION] Sun."
baltimore,2018-04-11T00:00:00Z,Stateline.org,The Baltimore Sun,affordable housing,2,2,False,True,1,0,Pursuing Desegregation in the PERSON0 Era,"The county surveyed thousands of residents about their communities and the barriers they faced. A lack of affordable housing was one of the main complaints, said [ORGANIZATION], [ORGANIZATION] deputy chief of housing and community development."
baltimore,2018-04-11T00:00:00Z,Stateline.org,The Baltimore Sun,affordable housing,3,3,False,True,1,0,Pursuing Desegregation in the PERSON0 Era,"The county separate from the city of [ORGANIZATION] and other county jurisdictions will develop affordable housing in areas with small minority populations, creating 50 new units and overseeing the lease of up to 128 others over [ORGANIZATION]. With other state and local funding sources, the county hopes to fund as many as 4,795 units in that time, according to [ORGANIZATION]. The county will also counsel households and property owners that allege violations of fair housing laws and create a homeowners fraud prevention program to prevent low-income buyers from being duped."
