created_at,user_location,tweet_geo,tweet_country,place_type,is_retweet,Deidentified_text
2024-12-31T22:47:37.000Z,America ,,,,False,@YellowFlashGuy I fucking hate that city. It’s a trash city with trash people everywhere and you homeless junkies shooting up dope in their arms if you go up further in the [ORGANIZATION]. Completely awful city just like [PERSON] and GPE2.
2024-12-31T20:37:19.000Z,,,,,True,"[PERSON]

Please [ORGANIZATION] share from:

[ORGANIZATION]
[ORGANIZATION], [PERSON]  [DATE]

[PHONE]

This sw…"
2024-12-31T19:36:12.000Z,,,,,True,"[PERSON]

Please [ORGANIZATION] share from:

[ORGANIZATION]
[ORGANIZATION], [PERSON]  [DATE]

[PHONE]

This sw…"
2024-12-31T19:07:54.000Z,"Silver Spring, MD",,,,True,"[PERSON]

Please [ORGANIZATION] share from:

[ORGANIZATION]
[ORGANIZATION], [PERSON]  [DATE]

[PHONE]

This sw…"
2024-12-31T19:07:19.000Z,"Washington, DC area",,,,False,"DATE0

Please [ORGANIZATION] share from:

[ORGANIZATION]
[ORGANIZATION], [PERSON]  [DATE]

[PHONE]

This sweet 62 pound pup brings a unique set of preferences and quirks, with a heart full of love waiting to be shared. She's DATE1, healthy, and up to [URL]"
2024-12-31T17:34:10.000Z,"Atlanta, GA",,,,False,"There are numerous stories from [ORGANIZATION] that highlight humanity's capacity for good, including initiatives like bookmobiles for kids in [ORGANIZATION], free shoes for the homeless in [PERSON], and promising developments in affordable treatments for skin cancer
.[]([URL] [URL]"
2024-12-31T16:24:09.000Z,,,,,False,"🚋 a bookmobile for kids in [ORGANIZATION] 

👟free shoes for the homeless in [PERSON] szn [LOCATION] 

🔬an affordable treatment for skin cancer in the works by a teen 

on [LOCATION], give a listen to some of the (many) good stuff that"
2024-12-30T21:59:01.000Z,United States,,,,False,"@GuntherEagleman Well, [ORGANIZATION] is actually [PERSON], and GPE2, and [PERSON], and and.. it’s a disgusting, crowded, homeless, crime ridden [PERSON] run city as is all [PERSON] run s/holes."
2024-12-30T20:40:40.000Z,,,,,True,"RT @[ORGANIZATION]Banner: “I am DATE0 and homeless. This is an ordeal I wouldn’t wish on anyone.” 

After losing her home, [ORGANIZATION] woma…"
2024-12-30T20:28:37.000Z,"Nashville, TN",,,,False,ICYMI — registration is now open for [ORGANIZATION]; Policy Symposium! Join us DATE1 in [ORGANIZATION] where we'll explore the theme: [ORGANIZATION]. Learn more and register here: [URL] #[PERSON] [URL]
2024-12-30T18:21:23.000Z,,,,,True,"RT @[ORGANIZATION]Banner: “I am DATE0 and homeless. This is an ordeal I wouldn’t wish on anyone.” 

After losing her home, [ORGANIZATION] woma…"
2024-12-30T17:48:50.000Z,Tennessee,,,,True,"RT @[ORGANIZATION]Banner: “I am DATE0 and homeless. This is an ordeal I wouldn’t wish on anyone.” 

After losing her home, [ORGANIZATION] woma…"
2024-12-30T17:22:40.000Z,,,,,True,"RT @[ORGANIZATION]Banner: “I am DATE0 and homeless. This is an ordeal I wouldn’t wish on anyone.” 

After losing her home, [ORGANIZATION] woma…"
2024-12-30T17:08:51.000Z,the nati,,,,True,"RT @[ORGANIZATION]Banner: “I am DATE0 and homeless. This is an ordeal I wouldn’t wish on anyone.” 

After losing her home, [ORGANIZATION] woma…"
2024-12-30T17:03:14.000Z,Boston MA,,,,True,"RT @[ORGANIZATION]Banner: “I am DATE0 and homeless. This is an ordeal I wouldn’t wish on anyone.” 

After losing her home, [ORGANIZATION] woma…"
2024-12-30T17:03:04.000Z,Mississippi ↔️ MEM,,,,True,"RT @[ORGANIZATION]Banner: “I am DATE0 and homeless. This is an ordeal I wouldn’t wish on anyone.” 

After losing her home, [ORGANIZATION] woma…"
2024-12-30T17:00:50.000Z,NJ,,,,True,"RT @[ORGANIZATION]Banner: “I am DATE0 and homeless. This is an ordeal I wouldn’t wish on anyone.” 

After losing her home, [ORGANIZATION] woma…"
2024-12-30T17:00:26.000Z,IWillVote.com ,,,,True,"RT @[ORGANIZATION]Banner: “I am DATE0 and homeless. This is an ordeal I wouldn’t wish on anyone.” 

After losing her home, [ORGANIZATION] woma…"
2024-12-30T16:58:43.000Z,,,,,True,"RT @[ORGANIZATION]Banner: “I am DATE0 and homeless. This is an ordeal I wouldn’t wish on anyone.” 

After losing her home, [ORGANIZATION] woma…"
2024-12-30T16:56:05.000Z,,,,,True,"RT @[ORGANIZATION]Banner: “I am DATE0 and homeless. This is an ordeal I wouldn’t wish on anyone.” 

After losing her home, [ORGANIZATION] woma…"
2024-12-30T16:54:36.000Z,Wakanda,,,,True,"RT @[ORGANIZATION]Banner: “I am DATE0 and homeless. This is an ordeal I wouldn’t wish on anyone.” 

After losing her home, [ORGANIZATION] woma…"
2024-12-30T16:50:04.000Z,"Baltimore, MD",,,,True,"RT @[ORGANIZATION]Banner: “I am DATE0 and homeless. This is an ordeal I wouldn’t wish on anyone.” 

After losing her home, [ORGANIZATION] woma…"
2024-12-30T14:16:42.000Z,Maryland,,,,False,"“I am DATE0 and homeless,” [ORGANIZATION] said one chilly [TIME], some half-empty boxes and garbage bags strewn around her feet. “This is an ordeal I wouldn’t wish on anyone.” Read the full [ORGANIZATION] story here: [URL] #MarylandLegalAid [URL]"
2024-12-30T14:00:07.000Z,Baltimore,,,,False,"Unfortunately, there are many homeless veterans on the streets of [ORGANIZATION].

This organization is working to give them a warm [STREET] to stay during [ORGANIZATION].

 [LOCATION]"
2024-12-30T06:00:01.000Z,Baltimore,,,,False,"Homeless advocates are calling for changes in [ORGANIZATION] homeless shelters and hotels, stating in-house procedures and rules are further traumatizing those who are unhoused and putting them back on the streets. [URL]"
