date,matched_words,Deidentified_paragraph
11_16_2021,affordable housing,This is [ORGANIZATION] at [TIME] At the delegate right. So I'm hoping that everyone who's watching will attend because this is a major development that will bring more affordable housing here to the city of [ORGANIZATION] and we really would like everyone's input. We have been in communication with the developers and they seem to be very very excited and knowledgeable at the same time about what they're trying to do here.
11_29_2016,affordable housing,"Now, some would say that's a bad problem. I say it's a part of a growing city, but government still should look, I believe, at how and what tools do we have in order to either incentivize businesses  rent stabilization in some [STREET], encourage it, continue. We know that the administration has been pushing affordable housing."
11_29_2016,affordable housing,um but we also want to make sure we have some professionals if you know of who might may really help us I in this task force and move for council member why thank you share wanna thank you for your leadership on this I think it's something that's very timely and very important matter fact I'm gonna be having a meeting with a group of folks  who worked with [ORGANIZATION] regarding inclusionary zoning as well as affordable housing. I think that people want to see their elected officials doing something about their plight. And many of them are in situations that they can't help themselves.
11_29_2016,affordable housing,They should be able to benefit too. So I think this is a timely task force. I'm looking forward to working with the individuals that come with some new ideas to help balance this thing out because we do want developers to come and develop affordable housing and make sure that everyone benefits.
11_29_2016,affordable housing,"They all include workforce housing or affordable housing. And one of my greatest concerns has been all of the new development that was coming downtown, much of it was market rate. And so you would not have that inclusion and that diversity."
11_29_2016,affordable housing,There is money to be made. There is a niche with affordable housing. There's a niche with market rate.
11_26_2024,homelessness,"We have a special presentation from [ORGANIZATION]. Good [TIME] everyone. So [ORGANIZATION], [LOCATION], is DATE2."
11_26_2024,homelessness,"And so I know quite a few people who work in this space. And so I wanted to make sure that we recognize the work that these organizations do in our community to keep people housed and off the [STREET], um, A lot of people deal with homelessness on a lot of different levels, right? People get evicted, people lose their jobs, and we have safe havens in the community who make sure that them and their families are taken care of."
11_26_2024,homelessness,"So I'm going to read a little bit of this because she's deserving. Thank you. Whereas, [ORGANIZATION], an [ORGANIZATION] Director of [ORGANIZATION], has led the organization with profound dedication, ensuring that families facing homelessness in [ORGANIZATION] stay united, supported, and empowered during times of crisis."
11_26_2024,homeless,"Under [ORGANIZATION]'s compassionate leadership, [ORGANIZATION] stands as one of the few shelters in [ORGANIZATION] that offers a safe and inclusive refuge for entire families, addressing the unique needs of each family member, especially the children who make up 75% of its guests. She has championed efforts to make... [ORGANIZATION], a fully ORG1 accessible facility that provides essential services to neurodivergent children, larger families, and those with specific dietary needs, creating a supportive and welcoming space for all. Now, therefore, ORG2 proudly honors and celebrates [ORGANIZATION] Firestone for her exceptional leadership at [ORGANIZATION] of West New York, recognizing her inspiring impact on the community and her tireless dedication in observance of [ORGANIZATION]."
11_26_2024,homeless; homelessness,"So it's very working with the homeless population, with families experiencing homelessness is a lot [ORGANIZATION]. You know, but we do it with love and compassion, and we're there to serve the community. We're actually trying to build a second shelter because family homelessness is really escalating right now, and there's not enough space and shelter to house families."
