city,article_date,article_source,city_source,keywords_matched,Deidentified_article_title,Deidentified_paragraph_text
buffalo,2023-03-30T00:00:00Z,ACCESSWIRE,The Buffalo News,affordable housing,[ORGANIZATION] Invests $1 Million to Expand ORG1 at ORG2,"Since [ORGANIZATION], [ORGANIZATION] has made more than 1 billion in investments in [ORGANIZATION] and [ORGANIZATION], supporting affordable housing and community development projects small business and home lending to low-to-moderate income individuals and communities, and transformative philanthropy."
buffalo,2022-11-08T00:00:00Z,News Bites - People in Business,The Buffalo News,affordable housing,[ORGANIZATION] CEO of [ORGANIZATION] in top 10% of price performers of ORG1 stocks in [DATE] DATE0,"News DateHeadlinePublisherNov 04, [ORGANIZATION] and [ORGANIZATION] 750K for Affordable HousingThe Buffalo NewsOct 27, ORG2 [ORGANIZATION] 6,495 Shares of [ORGANIZATION], 2022Earnings Outlook For ORG5 on DATE0 for ORG6 ORG7 institutional owners who own 74 as DATE1 returns inch [ORGANIZATION]"
buffalo,2022-05-17T00:00:00Z,USA Today,The Buffalo News,soup kitchen,"'Made the whole room smile and laugh' Victims remembered as caring, 'vibrant' and a selfless hero","[ORGANIZATION], [ORGANIZATION], was a deacon at a [ORGANIZATION] church and had gone to a soup kitchen before going to the [ORGANIZATION] store, where he often offered to [STREET] people home with their bags. Pastor [PERSON] [ORGANIZATION] said [ORGANIZATION] cleaned the church and would do whatever was needed."
buffalo,2023-11-23T00:00:00Z,Niagara Falls Review,The Buffalo News,homeless,Terrorism ruled out in deadly border explosion Two people killed at FAC0 and customs officer injured,"By [TIME], [ORGANIZATION] reported that Gov. [PERSON] had quelled fears that the incident was sinister in nature. Earlier she had said local law enforcement was working with the ORG1 joint terrorism task force to monitor all points of entry to [ORGANIZATION]. There is no sign of terrorist activity with respect to this crash. We have identified that this is a local individual, she said during a news conference. ORG2, citing law enforcement sources, said the vehicle was travelling at a high rate of speed in the wrong direction at [TIME] when it struck an inspection booth and exploded. According to the [PERSON], [ORGANIZATION], newspaper, two occupants of the vehicle were killed and a [ORGANIZATION] agent was injured. [LOCATION] spokesperson [PERSON] said the employee was taken to hospital for treatment of minor injuries and later released. As a precautionary measure, [PERSON] Bridge Commission closed all GPE3 border crossings - FAC0, FAC1 and FAC2. GPE4 and [ORGANIZATION] also closed [PERSON] in [PERSON]. All but FAC0 had reopened by [TIME]. The border crossings were busy [ORGANIZATION] due to [LOCATION] on [ORGANIZATION] and [PERSON]. PERSON2, who was visiting [PERSON], [ORGANIZATION], with his wife [PERSON] and their DATE5 daughter, were in the area of the bridge when the vehicle exploded. It was loud, but I thought it mustve been a car accident nearby, the [ORGANIZATION] man said. My wife thought it sounded too loud to simply be a car accident, which she said right after the explosion occurred. The family continued on to [PERSON] attraction to find it was closed. While at a nearby gift shop, employees instructed customers to leave as the store was closing. We walked back to our hotel after that and saw the heavy police presence as we made the walk, [ORGANIZATION] said. On the Canadian side, ORG6 shut down the GPE7 bound lanes of FAC5 leading to [PERSON] at [TIME] You can expect heavy delays in the GPE3 area, [PERSON]. [ORGANIZATION] said in a video posted to X, formerly ORG8. If you are planning on crossing the border please delay travel until we know those highways and closures have reopened. Also, the GPE4-bound FAC6 in [PERSON] was closed at [ORGANIZATION]. PERSON6 and [ORGANIZATION] were en route to [LOCATION], [PERSON]0, on [ORGANIZATION] when they had already made their [STREET] onto [PERSON]. The [PERSON]1 residents had plans to help feed 250 homeless people at a [ORGANIZATION] dinner on [ORGANIZATION]. We were right at the border crossing when all the lights went red, they closed the whole border, all of the Canadian border patrol officers left their booths and were walking away from the bridge, [ORGANIZATION] said. The duo initially thought the incident was due to a labour dispute, but that changed [TIME] when border agents approached their vehicle. [ORGANIZATION] said they were told there had been an explosion on FAC0, and a bomb threat to [PERSON]. It was very unsettling and nerve-racking when we heard there had been an explosion and there was a bomb threat on the bridge that we were currently sitting on, he said. Everyone acted calmly, and were able to turn their vehicles around and return back to [PERSON]2 safely. Uncertain of circumstances at the time, Prime Minister [PERSON] told ORG9 [PERSON]2 was working closely with the [PERSON]3 and taking the matter extremely seriously before he excused himself to attend a briefing. ORG10 Minister [PERSON]0 called it a violent circumstance and a source of concern for both countries, but he had warned against speculation in the absence of more details. Initially sparking fears, the incident came [ORGANIZATION] after the [ORGANIZATION] warned a congressional committee about a heightened risk of extremism linked to the [PERSON]4-Hamas war. In response to the incident, GPE3 [ORGANIZATION] increased its security systemwide. Vehicles arriving at GPE4 GPE3 International [INSTITUTION] underwent security checks and travellers were told to expect additional screenings. With files from [PERSON]1 and ORG13 [PERSON]2 is a [PERSON]5-based reporter for the [PERSON] Review. Reach her via email alison.langley [URL]"
buffalo,2023-11-22T00:00:00Z,St. Catharine's Standard,The Buffalo News,homeless,Terrorism ruled out in deadly explosion at FAC0,"By [TIME], [ORGANIZATION] reported that Gov. [PERSON] had quelled fears that the incident was sinister in nature. Earlier she had said local law enforcement was working with the ORG1 joint terrorism task force to monitor all points of entry to [ORGANIZATION]. There is no sign of terrorist activity with respect to this crash. We have identified that this is a local individual, she said during a news conference. ORG2, citing law enforcement sources, said the vehicle was travelling at a high rate of speed in the wrong direction at [TIME] when it struck an inspection booth and exploded. According to the [PERSON], [ORGANIZATION], newspaper, two occupants of the vehicle were killed and a [ORGANIZATION] agent was injured. [PERSON] Bridge Commission said in a statement the bridge was closed to traffic as a result of a serious car crash incident. As a precautionary measure, the bridge commission closed all [PERSON] border crossings - FAC0, FAC1 and FAC2. GPE4 and [ORGANIZATION] also closed [PERSON] in [PERSON]. The border crossings were busy [ORGANIZATION] due to [LOCATION] on [DATE] and upcoming [PERSON]. PERSON1, who was visiting [PERSON], [ORGANIZATION], with his wife [PERSON] and their DATE5 daughter, were in the area of the bridge when the vehicle exploded. It was loud, but I thought it mustve been a car accident nearby, the [ORGANIZATION] man said. My wife thought it sounded too loud to simply be a car accident, which she said right after the explosion occurred. The family continued on to the [PERSON] attraction to find it was closed. While at a nearby gift shop, employees instructed customers to leave as the store was closing. We walked back to our hotel after that and saw the heavy police presence as we made the walk, [ORGANIZATION] said. On the Canadian side, [ORGANIZATION] shut down the GPE7 bound lanes of FAC5 leading to [PERSON] at [TIME] You can expect heavy delays in the [PERSON] area, [PERSON]. [ORGANIZATION] said in a video posted to X, formerly ORG7. If you are planning on crossing the border please delay travel until we know those highways and closures have reopened. Also, the GPE4-bound FAC6 in [PERSON] was closed at [ORGANIZATION]. PERSON5 and [PERSON] were en route to [LOCATION], [PERSON]0, on [ORGANIZATION] when they had already made their [STREET] onto [PERSON]. The [PERSON]1 residents had plans to help feed 250 homeless people at a [ORGANIZATION] dinner on [ORGANIZATION]. We were right at the border crossing when all the lights went red, they closed the whole border, all of the Canadian border patrol officers left their booths and were walking away from the bridge, [ORGANIZATION] said. The duo initially thought the incident was due to a labour dispute, but that changed [TIME] when border agents approached their vehicle. [ORGANIZATION] said they were told there had been an explosion on FAC0, and a bomb threat to [PERSON]. It was very unsettling and nerve-wracking when we heard there had been an explosion and there was a bomb threat on the bridge that we were currently sitting on, he said. Everyone acted calmly, and were able to turn their vehicles around and return back to [PERSON]2 safely. Uncertain of circumstances at the time, Prime Minister [PERSON] told ORG8 [PERSON]2 was working closely with the [PERSON]3 and taking the matter extremely seriously before he excused himself to attend a briefing. ORG9 Minister [PERSON] called it a violent circumstance and a source of concern for both countries, but he had warned against speculation in the absence of more details. Initially sparking fears, the incident came [ORGANIZATION] after the ORG10 warned a congressional committee about a heightened risk of extremism linked to the [PERSON]4-Hamas war. In response to the incident, [PERSON] [ORGANIZATION] increased its security systemwide. Vehicles arriving at GPE4 [PERSON] International [INSTITUTION] underwent security checks and travellers were told to expect additional screenings. With files from PERSON10 and ORG12 PERSON11 is a [PERSON]5-based reporter for the [PERSON] Review. Reach her via email [URL]"
buffalo,2022-05-20T00:00:00Z,Atlantic Online,The Buffalo News,soup kitchen,[ORGANIZATION] Being Black in [ORGANIZATION],"[ORGANIZATION] went to [ORGANIZATION] grocery store on [ORGANIZATION] [TIME] to purchase the ingredients for her strawberry shortcake. Im picturing how [ORGANIZATION] must have intended to take her little cakes out of the refrigerator on [LOCATION] after attending [PERSON]. Im picturing this grandmother closing her eyes and swaying her head as she bites into her cake. Moments feel like [TIME] as she swallows. [PERSON] suspends time-especially strawberry-shortcake bliss.On [ORGANIZATION], though, [ORGANIZATION] was one of 10 people whom an DATE2 white supremacist allegedly murdered with an assault rifle. She survived the lethality of racist policy survived breast cancer like my mother and partner, at a time when Black women are the most likely to die of that disease. But [ORGANIZATION] wasnt able to survive racist violence. For Black people to survive both racist policy and racist violence is grueling. To live as a Black [ORGANIZATION]n is to be a survivor.[PERSON] isnt ready to truly understand the [PERSON] shooting[ORGANIZATION]s killer denied all this. Racist theories deny the racist structure of [ORGANIZATION]n policies, the ubiquity of racist violence, and the obvious and ongoing structural violence revealed by racial disparities. The heartbeat of being racist is denial. The deeper the denial, the more diabolical the racist theory.The most diabolical of all racist ideas operating [ORGANIZATION]-the theory reaching the very depths of denialism, the theory that replaces reality perhaps more than any other-is the [ORGANIZATION] theory, or [ORGANIZATION], a white-supremacist conspiracy theory cited in a screed linked to the [PERSON] shooter. But versions of [ORGANIZATION] have also been spread by [ORGANIZATION], PERSON4, and many other powerful political and media figures in GPE2 [ORGANIZATION]. [ORGANIZATION] denies the greatest white privilege life itself. It denies the greatest Black deprivation life itself.[ORGANIZATION] theorists believe that Democrats, liberals, progressives, immigrants, Black people, Asians, Latino people, Muslims, abortionists, and Jews are trying to replace the native-born and original white populations in their countries. No longer would I just accept our replacement, the author of the [PERSON] screed said. No longer would I just accept our genocide. No longer will I willingly serve the people who are trying to end me and my race. I would have to take the fight to the replacers myself.What group did the [PERSON] shooter choose to target? He selected an obvious, visible, and large group of replacers. He chose Black people, he explained, because all black people are replacers just by existing in [LOCATION] countries.Imagine how much a white supremacist has to replace reality in order to believe that white people-who remain on the higher end of nearly every racial disparity-are being killed off, that they are being replaced, that they are being harmed, and that to protect themselves, they need to attack the very Black people who are actually on the lower end of nearly every racial disparity. The [ORGANIZATION] theory wholly replaces reality, presenting the dying as the living, and the living as the dying.Black people are more likely than white people to die in pregnancy, before their first birthdays, and from heart disease, cancer, unintentional injuries, strokes, diabetes, influenza and pneumonia, kidney disease, and [ORGANIZATION] of the 10 leading causes of death in GPE2.From [PERSON], the overall life expectancy in GPE2 fell by [PERSON], the steepest decline since World War II. Latino [ORGANIZATION]ns and Black [ORGANIZATION]ns saw the largest drop in life expectancy [ORGANIZATION] and [ORGANIZATION], respectively, while white [ORGANIZATION]ns faced the smallest decline [ORGANIZATION], according to a report from the CDC.From the [ORGANIZATION] issue [PERSON] in [ORGANIZATION] can be hazardous to your healthThe racial disparities in life expectancy had been narrowing for [LOCATION]0. In [LOCATION]1, white [ORGANIZATION]ns expected to live [LOCATION]2 than Black [ORGANIZATION]ns. In [LOCATION]3, the gap was [LOCATION]4. But the disproportionate impact of [ORGANIZATION] people reversed the trend. In [LOCATION]5, white [ORGANIZATION]ns were expected to live [LOCATION]6 longer than Black [ORGANIZATION]ns.According to a preliminary analysis, life expectancy in GPE2 continued to decline in [LOCATION]7, while bouncing back in other wealthy countries. This continued [PERSON] decline was almost entirely driven by deaths among white [ORGANIZATION]ns, according to estimates-not because people of color are replacing them but, in part, because white people accounted for a larger share of people opposing [PERSON] vaccines and the policies that reduce the spread of the disease, according to researchers. Some of the very people pushing the [ORGANIZATION] theory were convincing their white viewers, readers, and constituents to resist shutdowns, to not wear masks, to not get vaccinated. Why? As my ORG2 colleague PERSON5 observed back in May [LOCATION]5 To restrict the freedom of white [ORGANIZATION]ns, just because nonwhite [ORGANIZATION]ns are dying, is an egregious violation of the racial contract.Tragically, white people are still dying of racist whiteness and blaming their deaths on Black and Latino people, who are dying at even higher rates from the same racist whiteness-its structural violence, its unending terror, its vicious neglect. The most prominent [ORGANIZATION] theorists, who claim to care about white lives, dont seem to care about white lives as they pour toxic disinformation and racist ideas into white communities, causing many white people to hardly care about people of color. If theres anything white people should have learned from the pandemic, it is this To not care about people of color is to not care about people.Before I begin I will say that I was not born racist nor grew up to be racist, the screed said. I simply became racist after I learned the truth.PERSON6 [LOCATION] power, white violenceThe [PERSON] killer started to be racist when he learned to deny the truth. The historical truth is that racist policy has allowed white [ORGANIZATION]ns to enjoy remarkable unearned privilege. Efforts to roll back racist policy, to create equity, are not an attack on white people but an attack on racism. As white privileges are rolled back, the privileges of living in a democratic, healthy, safe, equitable, and just society are rolled forward for everyone in the society, including white people.But n [ORGANIZATION] theorists refuse to acknowledge all the porous conditions and policies causing white people to die at high rates from all the leading causes of death-and people of color to die at even higher rates. They refuse to discuss racial disparities in mortality, in life expectancy. But if communities of color are particularly vulnerable, they have also responded to death and harm and disease by caring for others. Latino [ORGANIZATION]ns 21 percent, African [ORGANIZATION]ns 20.3 percent, and Asian [ORGANIZATION]ns 19.7 percent have a higher reported prevalence of caregiving than [LOCATION] [ORGANIZATION]ns 16.9 percent. African [ORGANIZATION]n caregivers are more likely to experience high burdens from caregiving than their white peers, and on average, spend [TIME] per week on caregiving.[ORGANIZATION], the [LOCATION]9 mother of a retired [PERSON] fire commissioner, visited her husband at a nursing home, a visit she made DATE20 without fail. After her visit on [ORGANIZATION], she stopped by [ORGANIZATION] for groceries. She was killed. PERSON8, DATE21, shopped all the time at [ORGANIZATION] for her brother and his family. We dont really have family in the area, so it was just a great help that she could do something for us like that, her brother, [ORGANIZATION], told [PERSON]. [PERSON] needed this help because he is recovering from leukemia. His sister was killed too.Black and Latino people with acute myeloid leukemia [ORGANIZATION] are more likely to die of the disease than white people. Structural racism assessed by census tract variables accounts for nearly all Black-[LOCATION] and Hispanic-[LOCATION] disparity in [ORGANIZATION] survival, researchers found in a recent study in [LOCATION].Structural racism killed Black people in east [PERSON] and then the gunman killed the survivors. In DATE22, a local report found the [PERSON]-Niagara region to be one of the most segregated in the nation. Segregation imposes a wide range of costs on people of color, impairing their health, education, job access, and wealth, [LOCATION]. Individuals living in segregated neighborhoods tend to have less access to services that allow adequate standards of living, and their economic mobility is severely impaired. The neighborhood that the white supremacist targeted had long experienced food apartheid the [ORGANIZATION] grocery store was the only nearby source of fresh, nutritious food, reported The [PERSON] News.The victims of this white supremacist had been striving to address the effects of racist policy and make up for the lack of goods and services in this Black community. PERSON11 often drove people to this sole grocery store and had gone to the soup kitchen before going to [ORGANIZATION] on [ORGANIZATION]. The white supremacist killed PERSON12 as he helped someone put packages in their car.PERSON13 The intersectionality of hatePearly Young-Miss Pearly, as the DATE23 was known-ran a food pantry in the area for DATE24. At church, she taught [LOCATION] school, worked with youth, and often cooked large pots of vegetable soup for everyone. PERSON14, a DATE25 member of a group called [ORGANIZATION], had written several letters to [PERSON] publications calling for stricter gun-control measures to keep her community safe. She was killed by a man armed with an assault rifle and the lethal idea that Black people like her were the replacers. The horror is unspeakable, like when enslavers cast themselves as benevolently paternal, and cast the enslaved, who they tortured, as violent beasts.It is one thing to deny the racist policy structure harming and killing Black people and other people. But the depths of racist denial are reached when white supremacists frame Black people as the primary perpetrators and white people as the primary victims of racial harm. This ideology stirs and justifies white-supremacist terror and the terrible veiling of lethally racist policy structure. Black people are facing the double terror of racist policy and racist violence. Victims of racism are being mass murdered again and again.But through it all, through all the pain and mourning, through all the [ORGANIZATION] theories replacing reality, Black people have been like the victims of this latest mass murder finding bliss with [PERSON], caring for the sick and shut in, and never wavering in our anti-racist resistance. Black people have never wavered in our efforts to abolish the double terror, have never wavered in our struggle to live, have never wavered in allying with other people facing similar racist terrors, have never wavered in the human pursuit of joy, of peace, of beauty. And we never will."
buffalo,2022-05-15T00:00:00Z,CNN Wire,The Buffalo News,beggar,What we know about [ORGANIZATION] supermarket shooting suspect [ORGANIZATION],"Her brother, the Rev. [PERSON], backed up the account, noting the suspect was in there posing as a beggar and was looking for change, he told [ORGANIZATION]."
