city,article_title,article_date,article_source,city_source,paragraph_text,keywords_matched,original_count,processed_count,was_shortened,used_sentence_method,segment_count,segment_index
buffalo,KeyBank Foundation Invests $1 Million to Expand Innovative Workforce Development Program for Underserved Communities at the Buffalo Center for Arts and Technology,2023-03-30T00:00:00Z,ACCESSWIRE,The Buffalo News,"Since 2017, KeyBank has made more than 1 billion in investments in Buffalo and Western New York, supporting affordable housing and community development projects small business and home lending to low-to-moderate income individuals and communities, and transformative philanthropy.",affordable housing,1,1,False,True,1,0
buffalo,"Duane A. Dewey CEO of Trustmark in top 10% of price performers of NASDAQ stocks in past month Tuesday November 08, 2022",2022-11-08T00:00:00Z,News Bites - People in Business,The Buffalo News,"News DateHeadlinePublisherNov 04, 2022Trustmark and FHLB Dallas Award 750K for Affordable HousingThe Buffalo NewsOct 27, 2022Yousif Capital Management LLC Sells 6,495 Shares of Trustmark Co. NASDAQTRMKDefense WorldOct 25, 2022Earnings Outlook For TrustmarkBenzinga on MSNOct 19, 2022An excellent week for Trustmark Corporation s NASDAQTRMK institutional owners who own 74 as one-year returns inch higherYAHOO!Finance",affordable housing,2,2,False,True,1,0
buffalo,"'Made the whole room smile and laugh' Victims remembered as caring, 'vibrant' and a selfless hero",2022-05-17T00:00:00Z,USA Today,The Buffalo News,"Patterson, 67, was a deacon at a Buffalo church and had gone to a soup kitchen before going to the Tops store, where he often offered to drive people home with their bags. Pastor Russell Bell of State Tabernacle Church of God in Christ said Bell cleaned the church and would do whatever was needed.",soup kitchen,2,2,False,True,1,0
buffalo,Terrorism ruled out in deadly border explosion Two people killed at Rainbow Bridge and customs officer injured,2023-11-23T00:00:00Z,Niagara Falls Review,The Buffalo News,"Forrest Willett and Gil Robitaille were en route to Cleveland, Ohio, on Wednesday when they had already made their way onto the Peace Bridge. The Midland residents had plans to help feed 250 homeless people at a Thanksgiving dinner on Friday. We were right at the border crossing when all the lights went red, they closed the whole border, all of the Canadian border patrol officers left their booths and were walking away from the bridge, Willett said.",homeless,35,3,True,True,1,0
buffalo,Terrorism ruled out in deadly explosion at Rainbow Bridge,2023-11-22T00:00:00Z,St. Catharine's Standard,The Buffalo News,"Forrest Willett and Gil Robitaille were en route to Cleveland, Ohio, on Wednesday when they had already made their way onto the Peace Bridge. The Midland residents had plans to help feed 250 homeless people at a Thanksgiving dinner on Friday. We were right at the border crossing when all the lights went red, they closed the whole border, all of the Canadian border patrol officers left their booths and were walking away from the bridge, Willett said.",homeless,34,3,True,True,1,0
buffalo,The Double Terror of Being Black in America,2022-05-20T00:00:00Z,Atlantic Online,The Buffalo News,The victims of this white supremacist had been striving to address the effects of racist policy and make up for the lack of goods and services in this Black community. Deacon Heyward Patterson often drove people to this sole grocery store and had gone to the soup kitchen before going to Tops on Saturday. The white supremacist killed Patterson as he helped someone put packages in their car.,soup kitchen,84,3,True,True,1,0
buffalo,What we know about Buffalo supermarket shooting suspect Payton Gendron,2022-05-15T00:00:00Z,CNN Wire,The Buffalo News,"Her brother, the Rev. Tim Newkirk, backed up the account, noting the suspect was in there posing as a beggar and was looking for change, he told The Buffalo News.",beggar,1,1,False,True,1,0
buffalo,Sunburn   The morning read of what's hot in Florida politics   7.16.20,2020-07-16T00:00:00Z,Florida Politics,The Buffalo News,"Distance learning is also expected to continue in Broward. CARES Act funding is used to get homeless off the street but time running out for some31 via Christina Saint Louis of the Miami Herald Homeless people are seen as particularly vulnerable to the virus and so Fort Lauderdale sought to relocate some of them to a hotel using vouchers as payment. The city recalled the eviction notice later Sunday night after activists scheduled a news conference the next day to protest, but the vouchers will run out this week, promised assistance has not materialized. Both the city and Broward County are struggling to find permanent refuge for their homeless population. In Miami-Dade County, Ron Book, chairman of the board at Homeless Trust, began a similar program, placing homeless people in hotels to protect them from the coronavirus and storms. Our goal is to end homelessness, he said. Advocate Ron Book seeks to end homelessness. They dont know what theyre doing.","homeless, homelessness",502,8,True,True,1,0
buffalo,The Democratic Fight Over House Leadership,2018-06-15T00:00:00Z,DownWithTyranny,The Buffalo News,"Our leadership is out of touch with what is going on not only in Pennsylvania, Ohio and Michigan but in Cheektowaga, West Seneca, Hamburg, Orchard Park and Lancaster, he said. Democratic voters at least and voters writ large feel politically homeless, and its because we are not offering something affirmative to give people hope and something to invest in, in the way that we want to do things. Pelosi and Senate Minority Leader Charles E. Schumer, a New York Democrat, teamed up last July to promote a Democratic agenda called A Better Deal.",homeless,114,3,True,True,1,0
buffalo,Gates of Vienna News Feed 5/27/2022,2022-05-28T00:00:00Z,Gates of Vienna,The Buffalo News,"The lawsuit against Atlas Air was filed in federal court in the Southern District of Florida, with over 100 plaintiffs pursuing litigation. Fundamentally, this case is about whether Americans should be required to choose between their livelihoods and being coerced into taking an experimental, dangerous medical treatment, reads the lawsuit 68 Antifa-Allied Democrat Backtracks on Saying the Homeless Should Break Into and Occupy Homes After Backlash69 Washington state congressional candidate Rebecca Parson, who was endorsed by the Democratic Socialists of America and is allied with Antifa, previously said in a campaign ad that when she wins the election, a million people living in the US should break into empty houses and live in them so that Congress will pass housing legislation. After significant blowback, Parson is now changing her tune.",homeless,289,3,True,True,1,0
buffalo,"Meet India Walton, the socialist who upset Buffalo 's longterm mayor in a stunning primary victory",2021-06-23T00:00:00Z,Newstex Blogs,The Buffalo News,"Walton has also advocated for8 7.5 million in cuts to the Buffalo Police Department, by diverting funding away from the police for mental health calls and minor traffic enforcement responsibilities. Read more Governors of all 50 states are vaccinated against COVID-199 She hopes to direct the reallocated money to youth employment living-wage jobs, affordable housing, and public education improvements. We expect the police to respond to all of our societal ills that really are the result of these austerity budgets, where we cut social safety net services and mental health services, she tweeted last month10.",affordable housing,32,3,True,True,1,0
