city,article_date,article_source,city_source,keywords_matched,original_count,processed_count,was_shortened,used_sentence_method,segment_count,segment_index,Deidentified_article_title,Deidentified_paragraph_text
buffalo,2023-03-30T00:00:00Z,ACCESSWIRE,The Buffalo News,affordable housing,1,1,False,True,1,0,[ORGANIZATION] Invests $1 Million to Expand ORG1 at ORG2,"Since [ORGANIZATION], [ORGANIZATION] has made more than 1 billion in investments in [ORGANIZATION] and [ORGANIZATION], supporting affordable housing and community development projects small business and home lending to low-to-moderate income individuals and communities, and transformative philanthropy."
buffalo,2022-11-08T00:00:00Z,News Bites - People in Business,The Buffalo News,affordable housing,2,2,False,True,1,0,[ORGANIZATION] CEO of [ORGANIZATION] in top 10% of price performers of ORG1 stocks in [DATE] DATE0,"News DateHeadlinePublisherNov 04, [ORGANIZATION] and [ORGANIZATION] 750K for Affordable HousingThe Buffalo NewsOct 27, ORG2 [ORGANIZATION] 6,495 Shares of [ORGANIZATION], 2022Earnings Outlook For ORG5 on DATE0 for ORG6 ORG7 institutional owners who own 74 as DATE1 returns inch [ORGANIZATION]"
buffalo,2022-05-17T00:00:00Z,USA Today,The Buffalo News,soup kitchen,2,2,False,True,1,0,"'Made the whole room smile and laugh' Victims remembered as caring, 'vibrant' and a selfless hero","[ORGANIZATION], [ORGANIZATION], was a deacon at a [ORGANIZATION] church and had gone to a soup kitchen before going to the [ORGANIZATION] store, where he often offered to [STREET] people home with their bags. Pastor [PERSON] [ORGANIZATION] said [ORGANIZATION] cleaned the church and would do whatever was needed."
buffalo,2023-11-23T00:00:00Z,Niagara Falls Review,The Buffalo News,homeless,35,3,True,True,1,0,Terrorism ruled out in deadly border explosion Two people killed at FAC0 and customs officer injured,"[ORGANIZATION] and [PERSON] were en route to [ORGANIZATION], [PERSON], on [ORGANIZATION] when they had already made their [STREET] onto FAC0. The [ORGANIZATION] residents had plans to help feed 250 homeless people at a [LOCATION] dinner on DATE2. We were right at the border crossing when all the lights went red, they closed the whole border, all of the Canadian border patrol officers left their booths and were walking away from the bridge, [ORGANIZATION] said."
buffalo,2023-11-22T00:00:00Z,St. Catharine's Standard,The Buffalo News,homeless,34,3,True,True,1,0,Terrorism ruled out in deadly explosion at FAC0,"[ORGANIZATION] and [PERSON] were en route to [ORGANIZATION], [PERSON], on [ORGANIZATION] when they had already made their [STREET] onto FAC0. The [ORGANIZATION] residents had plans to help feed 250 homeless people at a [LOCATION] dinner on DATE2. We were right at the border crossing when all the lights went red, they closed the whole border, all of the Canadian border patrol officers left their booths and were walking away from the bridge, [ORGANIZATION] said."
buffalo,2022-05-20T00:00:00Z,Atlantic Online,The Buffalo News,soup kitchen,84,3,True,True,1,0,[ORGANIZATION] Being Black in [ORGANIZATION],The victims of this white supremacist had been striving to address the effects of racist policy and make up for the lack of goods and services in this Black community. [ORGANIZATION] often drove people to this sole grocery store and had gone to the soup kitchen before going to [ORGANIZATION]. The white supremacist killed [PERSON] as he helped someone put packages in their car.
buffalo,2022-05-15T00:00:00Z,CNN Wire,The Buffalo News,beggar,1,1,False,True,1,0,What we know about [ORGANIZATION] supermarket shooting suspect [ORGANIZATION],"Her brother, the Rev. [PERSON], backed up the account, noting the suspect was in there posing as a beggar and was looking for change, he told [ORGANIZATION]."
buffalo,2020-07-16T00:00:00Z,Florida Politics,The Buffalo News,"homeless, homelessness",502,8,True,True,1,0,Sunburn   [TIME] read of what's hot in [ORGANIZATION] politics   7.16.20,"Distance learning is also expected to continue in [ORGANIZATION]. CARES Act funding is used to get homeless off the [STREET] but time running out for some31 via [ORGANIZATION] of [ORGANIZATION] Homeless people are seen as particularly vulnerable to the virus and so [PERSON] sought to relocate some of them to a hotel using vouchers as payment. The city recalled the eviction notice [TIME] after activists scheduled a news conference [ORGANIZATION] to protest, but the vouchers will run out [LOCATION], promised assistance has not materialized. Both the city and [ORGANIZATION] County are struggling to find permanent refuge for their homeless population. In [PERSON], [PERSON], chairman of the board at [ORGANIZATION], began a similar program, placing homeless people in hotels to protect them from the coronavirus and storms. Our goal is to end homelessness, he said. Advocate [PERSON] seeks to end homelessness. They dont know what theyre doing."
buffalo,2018-06-15T00:00:00Z,DownWithTyranny,The Buffalo News,homeless,114,3,True,True,1,0,[ORGANIZATION] Over ORG0 Leadership,"Our leadership is out of touch with what is going on not only in [ORGANIZATION], [PERSON] and GPE2 but in [LOCATION], [PERSON], [PERSON], GPE6 and GPE7, he said. Democratic voters at least and voters writ large feel politically homeless, and its because we are not offering something affirmative to give people hope and something to invest in, in the [STREET] that we want to do things. [ORGANIZATION] and [ORGANIZATION] Minority Leader [PERSON], a GPE8 Democrat, teamed up [ORGANIZATION] to promote a Democratic agenda called A Better Deal."
buffalo,2022-05-28T00:00:00Z,Gates of Vienna,The Buffalo News,homeless,289,3,True,True,1,0,Gates of [ORGANIZATION],"The lawsuit against [ORGANIZATION] was filed in federal [STREET] in [ORGANIZATION] of [ORGANIZATION], with over 100 plaintiffs pursuing litigation. Fundamentally, this case is about whether Americans should be required to choose between their livelihoods and being coerced into taking an experimental, dangerous medical treatment, reads the lawsuit 68 [ORGANIZATION]-Allied Democrat Backtracks on Saying the Homeless Should Break Into and Occupy Homes After Backlash69 GPE2 state congressional candidate PERSON0, who was endorsed by ORG2 and is allied with [ORGANIZATION], previously said in a campaign ad that when she wins the election, a million people living in the [PERSON] should break into empty houses and live in them so that [ORGANIZATION] will pass housing legislation. After significant blowback, [PERSON] is now changing her tune."
buffalo,2021-06-23T00:00:00Z,Newstex Blogs,The Buffalo News,affordable housing,32,3,True,True,1,0,"Meet PERSON0, the socialist who upset [ORGANIZATION] 's longterm mayor in a stunning primary victory","[ORGANIZATION] has also advocated for8 7.5 million in cuts to [ORGANIZATION], by diverting funding away from the police for mental health calls and minor traffic enforcement responsibilities. Read more Governors of all 50 states are vaccinated against COVID-199 She hopes to direct the reallocated money to youth employment living-wage jobs, affordable housing, and public education improvements. We expect the police to respond to all of our societal ills that really are the result of these austerity budgets, where we cut social safety net services and mental health services, she tweeted [ORGANIZATION]."
buffalo,2023-02-28T00:00:00Z,"Congressional Documents and Publications (Federal Information & News Dispatch, Inc.)",The Buffalo News,homelessness,5,5,False,True,1,0,"[ORGANIZATION] ""Every State is a Border State: Examining Secretary [PERSON]' [ORGANIZATION]."" Testimony by [PERSON], Associate Director, [ORGANIZATION], [ORGANIZATION]","The inability to board lawful transportation options to the [ORGANIZATION] border creates treacherous conditions for travelers. The combination of homelessness and governmental indifference toward crimes against migrants in [ORGANIZATION] has created the ideal environment for all manner of predation. Abductions of migrants number in the tens of thousands DATE0, according to [ORGANIZATION]s [ORGANIZATION]. n80 [PERSON] of migrant women in [ORGANIZATION] are common, underreported, and rarely investigated. n81 All these factors mean that many migrants cross in need of urgent medical attention, and ORG1 policies force them to cross in areas with the fewest resources."
buffalo,2022-02-21T00:00:00Z,Newstex Blogs,The Buffalo News,affordable housing,34,3,True,True,1,0,Subscribe to our newsletter for free,"Speaking of waste, a new report documents thefailures of the states 421-a tax break program19for real estate developers and landlords. In theory, the program promotes the development of affordable housing. In reality, it largely benefits the real estate industry."
