created_at,user_location,tweet_geo,tweet_country,place_type,is_retweet,Deidentified_text,keywords_matched
2024-12-31T20:37:07.000Z,,,,,False,"@brownsmets @tha_buffalo Walk down any [STREET], full of homeless losers and massive pot holes. Hell there’s a sink hole right by the stadium. There construction everywhere. [ORGANIZATION] has nothing to do with anything regarding [ORGANIZATION] so I don’t know what he’s done other than lose 30% of his police force.",homeless
2024-12-31T16:34:16.000Z,"Buffalo, NY",,,,False,"""Lead pipe replacement and sewer upgrades will help reduce pollutants. Other priorities such as affordable housing, workforce training, educational equity and better access to healthy food must be addressed on [ORGANIZATION]’s long-overlooked [ORGANIZATION].""
[URL]",affordable housing
2024-12-31T15:58:11.000Z,"Buffalo, NY",,,,False,"The need for food and water, a warm [STREET] to stay, and a little bit of support has never been greater. Staff at [ORGANIZATION] are doing everything they can to help, but they can't do it alone. ORG1 #[PERSON] #homelessness

[URL]","homeless, homelessness"
2024-12-31T15:57:14.000Z,"Buffalo, NY",,,,False,"A new emergency shelter for families experiencing homelessness is opening its doors in GPE0GPE1. [ORGANIZATION] 

[URL]","homeless, homelessness"
2024-12-30T23:27:05.000Z,NY city,,,,False,"[ORGANIZATION] @BuffaloBills [ORGANIZATION] @RHCJO @IDFSpokesperson @PghPolice @PghPublicSafety
@FBI ORG1 @Sherihan @AJEnglish
@Bundestag @UKParliament

YES YES YOU ALL KNOW ME

ALL HOMELESS IN GPE0 FUCK FACE FOR

20 DOLLAR IN SHELTER @netanyahu @CIA @VP
@KensingtonRoyal @RoyalFamily &lt;",homeless
2024-12-29T23:46:07.000Z,,,,,False,"Everybody deserves food to eat everybody deserves a [STREET] to live a [STREET] to call home [ORGANIZATION] needs more supermarkets and more affordable housing not more police stations utilize the ones we have [ORGANIZATION] what was a much needed supermarket got a $500,000 forgivable loan [URL]",affordable housing
2024-12-29T21:59:07.000Z,,,,,False,@GoodmanHoops I'd rather be homeless in [ORGANIZATION] 🤣🤣🤣,homeless
2024-12-29T21:13:06.000Z,E2W,,,,False,#2 seed save @Buffalo it looks [ORGANIZATION] without a homeless disaster.,homeless
2024-12-29T14:36:46.000Z,,,,,True,RT @KenTonAthletics: [ORGANIZATION] volunteered [ORGANIZATION] at the ORG1 soup kitchen on [ORGANIZATION]…,soup kitchen
2024-12-27T22:11:40.000Z,Barbados,,,,False,City of buffalo ny rented the old ORG0 supermarket to the city [INSTITUTION] for one dollar a month for [ORGANIZATION] . yet property taxes as high affordable housing is Nonexisting in a city where it was wants affordable to live in,affordable housing
