City,Articles Processed,Articles With Match,Matching Paragraphs,Error Count,Empty Text Count,homeless,homelessness,housing crisis,affordable housing,unhoused,houseless,housing insecurity,beggar,squatter,panhandler,soup kitchen
elpaso,28,22,40,0,0,25,6,0,13,0,0,0,0,1,0,0
rockford,6,5,9,0,0,7,4,0,0,0,0,0,0,0,0,0
kalamazoo,8,8,12,0,0,8,2,0,3,0,0,0,0,0,0,0
portland,322,216,403,0,0,196,108,14,120,6,3,1,15,0,0,2
southbend,36,33,45,0,0,38,6,2,6,0,0,0,0,0,0,0
fayetteville,28,18,45,0,0,38,2,0,6,0,0,0,0,0,0,0
buffalo,176,153,355,0,0,184,80,5,126,0,0,0,1,0,0,8
baltimore,142,101,178,0,0,61,50,6,67,2,0,0,0,2,1,1
scranton,108,77,167,0,0,90,44,11,28,6,0,7,0,0,0,5
sanfrancisco,1181,777,1327,0,0,776,497,139,287,59,3,5,1,4,0,1
