filename,date,paragraph,matched_words
12_05_2023_elpaso_meeting_minutes.mp3.cd245040-02c5-4984-afca-9237713d8a73.Transcript.txt,12_05_2023,This is a key  Goal of our downtown uptown and surrounding neighborhoods plan. It's been in the housing study So we would look at we would certainly be looking at proposals that would include affordable housing New housing units in any configuration and then activating ground floor spaces neighborhood serving retail Looking at ways that perhaps we could do small business incubation there adding cultural uses attracting new sectors diversify downtown and looking at kind of alternative so education our research technology and  you know not just a co-working space or you know a restaurant or retail,affordable housing
12_05_2023_elpaso_meeting_minutes.mp3.cd245040-02c5-4984-afca-9237713d8a73.Transcript.txt,12_05_2023,"I also think, you know, for some of the other properties, again, there's a mix, right? Some of them are significantly older, but some of them date from the 1980s, and they don't have quite the same historic character as others. I would hate to get in the way of something like development of affordable housing on some of those properties where maybe the same restrictions don't apply on those properties anymore.",affordable housing
12_05_2023_elpaso_meeting_minutes.mp3.cd245040-02c5-4984-afca-9237713d8a73.Transcript.txt,12_05_2023,we have mr arnulfo hernandez that signed up to speak on this item yes ma'am and then after this we'll go to a call to the public thank you sir thank you ma'am good afternoon mr hernandez you have three minutes sir good afternoon mayor leaser city council and uh city manager colonel weston um i speak uh in support of the sale of properties with durangito footprint  Taken into account the comments by Sanelo and mr. Canales And in that vein we support the call for project Regeneracion that before the city sells the these particular properties that they adopt guidelines and standards and over in the overall vision of generacion which includes a heritage corridor with musings Mercados performance arts and  affordable housing mr. Canales would you pointed out a new Missanello affordable housing community gardens and other services one thing that I think so pointed out what else do we need in here I think that Durango ought to be married with streetcars streetcars are El Paso provides a mode of transportation it will bring the tourists that will bring the visitors if you develop a small spur to Durango that takes these folks to all these things that we just mentioned  Imagine that we revive the streetcars from El Paso to Juarez Loop again and go to Duranguito.,affordable housing
04_13_2021_elpaso_meeting_minutes.mp3.a3b5cbed-7fa9-4302-9a80-aa120c1fd637.Transcript.txt,04_13_2021,Another good opportunity is the Casitas Community. This is actually a project put forward by the El Paso Center for Children to address youth homelessness. So homelessness in youths aged 18 to 24.,homelessness
04_13_2021_elpaso_meeting_minutes.mp3.a3b5cbed-7fa9-4302-9a80-aa120c1fd637.Transcript.txt,04_13_2021,"I will say with this one there was not a local match identified. And so that that would perhaps put us at a disadvantage, but there's a lot of community support for this project. And so we thought it worth pushing forward, especially because it does address one of our priority areas which is homelessness, housing and homelessness.",homelessness
04_13_2021_elpaso_meeting_minutes.mp3.a3b5cbed-7fa9-4302-9a80-aa120c1fd637.Transcript.txt,04_13_2021,"My next question is, I know you said everything has a match except for the homeless housing. Where did that match come from? Or where are those matches coming from?",homeless
05_11_2021_elpaso_meeting_minutes.mp3.b91be4fb-c630-40b6-85ee-afe3605697e8.Transcript.txt,05_11_2021,"And the motion passes unanimously. That brings us to page 7 to the regular agenda to item number 18. This is discussion in action to direct the city manager to provide an update on the transition plan from the temporary facilities, providing services for the homeless at the Delta site, as well as funding allocation details regarding the 10th Amendment to the City's 2019-2020 45th Year Annual Action Plan for the Community Development Block Grant Coronavirus Phase 3.",homeless
05_11_2021_elpaso_meeting_minutes.mp3.b91be4fb-c630-40b6-85ee-afe3605697e8.Transcript.txt,05_11_2021,"Good morning, everybody. I wanted the City Manager to provide an update on the transition plan from the temporary facilities providing services for the homeless at the Delta site, as well as funding allocations details regarding the 10th amendment to the City's 2019-2020 annual action plan for the Community Development Block Grant Coronavirus Phase 3. During the pandemic, the City Council has made large allocations of funds in area of homelessness, including via multiple amendments to the CDBG-CV allocation.",homeless; homelessness
05_11_2021_elpaso_meeting_minutes.mp3.b91be4fb-c630-40b6-85ee-afe3605697e8.Transcript.txt,05_11_2021,"My name is Carol Bowley, and I'm the Executive Director for the El Paso Coalition for the Homeless. And I just wanted to take this opportunity to thank Nicole Farini and the staff of the Community and Human Development Department for recommending funding for the coalition as well as all of the homeless programs in this year's annual action plan. And to also ask that the city continue supporting projects focused on preventing and ending homelessness.",homeless; homelessness
05_11_2021_elpaso_meeting_minutes.mp3.b91be4fb-c630-40b6-85ee-afe3605697e8.Transcript.txt,05_11_2021,"In 2003, the coalition has served as the lead entity for El Paso's continuum of care for the homeless, providing services, training, and technical assistance on the complex issues that all of our homeless assistance providers encounter daily. We also serve as the administrator for the operation of the region's homeless management information system and provide training, technical assistance, and help desk support to the numerous programs that enter their client data into that system. We have a long-standing relationship with the City of El Paso in addressing homelessness and appreciate the continued support of these activities through the funding recommended before you today.",homeless; homelessness
05_11_2021_elpaso_meeting_minutes.mp3.b91be4fb-c630-40b6-85ee-afe3605697e8.Transcript.txt,05_11_2021,"I'm very excited about a new project called Homelessness Diversion that we are being funded for, or recommended for funding for. It's a brand new intervention for our city with the primary objective to divert households from entering the homeless system altogether. This project, it combines intensive case management,  active listening, creative thinking, along with financial assistance to provide solutions for households who are literally at the front door of our shelters.",homeless; homelessness
05_11_2021_elpaso_meeting_minutes.mp3.b91be4fb-c630-40b6-85ee-afe3605697e8.Transcript.txt,05_11_2021,"This is going to be a real carefully coordinated effort with many of our partners, as well as the County of El Paso, as the operator of the community's coordinated entry system. So the launch of this program will prevent households on the edge of homelessness from entering our system, helping them safely avoid a traumatic and stressful homeless episode. It will take pressure off the shelter system and reduce overall homelessness in our community.",homeless; homelessness
05_11_2021_elpaso_meeting_minutes.mp3.b91be4fb-c630-40b6-85ee-afe3605697e8.Transcript.txt,05_11_2021,"We build a savings nest, a system in completing forms for services such as Medicaid, Supplemental Nutrition Assistance Program applications, and other government benefits to improve their quality of life.  and prevent them from being exploited and becoming homeless. So this program provides an opportunity for these individuals to maintain limited independency and increase their economic stability. So therefore we want to express our full support of the 47th year annual action plan to continue nurturing and promoting a healthy and sustainable community and",homeless
04_26_2022_elpaso_meeting_minutes_compressed.mp3.3eec8a8f-7d04-4a02-bb46-60eca324b50e.Transcript.txt,04_26_2022,"First taking place in 2009, the occasion provides a fitting opportunity to recognize the outstanding contributions of transgender people in El Paso and everywhere. And whereas President Joe Biden said last year when he became the first American president to designate the Transgender Day of Visibility with the White House proclamation, this designation recognizes the generations of struggle, activism, and courage that have brought our country closer to full equality for transgender and gender non-binary people.  that has given countless transgender individuals the bravery to live openly and authentically, shaping an increasingly accepting world in which peers at school, teammates and coaches on the playing field, colleagues at work, and allies in every corner of society are standing in support and solidarity with the transgender community. And whereas discriminatory and  discriminatory attitudes towards the transgender community, especially against black, indigenous, and other women of color foster high rates of violence, homelessness, and economic instability.",homelessness
08_23_2022_elpaso_meeting_minutes.mp3.c0554446-b119-4c5c-b9d0-b0bcc5f47a9c.Transcript.txt,08_23_2022,"And again, just doing it for our services and really making sure that there's no one  That's that's being left out of the mix for whatever reason because we also have homeless people in that in that boat as well And transient folks as well and we want to make sure we account for that So we're looking at it a little bit differently this go-around than we did five or six years ago And we'll continue also the city manager The mayor have meetings with the county on I think a monthly basis",homeless
04_27_2021_elpaso_meeting_minutes.mp3.7b5b79db-d295-4380-96ef-7cf81b015cd9.Transcript.txt,04_27_2021,The next item is number 43. This is Discussion and Action on a Resolution to approve a 10th Amendment to the City's 2019-2020 45th Year Annual Action Plan for the Community Development Block Grant Coronavirus Phase 3 to create a COVID-19 Emergency Shelter Capacity Expansion Project to supplement the Transportation for Homeless Individuals and Families Project and to create a Case Management for Persons Experiencing Homelessness Project. Motion to approve?,homeless; homelessness
