date,matched_words,Deidentified_paragraph
12_05_2023,affordable housing,This is a key  Goal of our downtown uptown and surrounding neighborhoods plan. It's been in the housing study So we would look at we would certainly be looking at proposals that would include affordable housing New housing units in any configuration and then activating ground floor spaces neighborhood serving retail Looking at ways that perhaps we could do small business incubation there adding cultural uses attracting new sectors diversify downtown and looking at kind of alternative so education our research technology and  you know not just a co-working space or you know a restaurant or retail
12_05_2023,affordable housing,"I also think, you know, for some of the other properties, again, there's a mix, right? Some of them are significantly older, but some of them date from [ORGANIZATION], and they don't have quite the same historic character as others. I would hate to get in the [STREET] of something like development of affordable housing on some of those properties where maybe the same restrictions don't apply on those properties anymore."
12_05_2023,affordable housing,we have mr [ORGANIZATION] that signed up to speak on this item yes ma'am and then after this we'll go to a call to the public thank you sir thank you [TIME] mr [PERSON] you have [TIME] sir good [TIME] mayor [PERSON] and uh city manager [PERSON] um i speak uh in support of the sale of properties with ORG1 footprint  Taken into account the comments by [ORGANIZATION] and mr. [PERSON] And in that vein we support the call for project ORG2 that before the city sells the these particular properties that they adopt guidelines and standards and over in the overall vision of [ORGANIZATION] which includes a heritage corridor with musings FAC0 performance arts and  affordable housing mr. [PERSON] would you pointed out a new FAC1 affordable housing community gardens and other services one thing that I think so pointed out what else do we need in here I think that [ORGANIZATION] ought to be married with streetcars streetcars are [PERSON] provides a mode of transportation it will bring the tourists that will bring the visitors if you develop a small spur to [ORGANIZATION] that takes these folks to all these things that we just mentioned  [LOCATION] that we revive the streetcars from [PERSON] to FAC2 again and go to GPE2.
04_13_2021,homelessness,Another good opportunity is [ORGANIZATION]. This is actually a project put forward by [ORGANIZATION] to address youth homelessness. So homelessness in youths aged [ORGANIZATION].
04_13_2021,homelessness,"I will say with this one there was not a local match identified. And so that that would perhaps put us at a disadvantage, but there's a lot of community support for this project. And so we thought it worth pushing forward, especially because it does address one of our priority areas which is homelessness, housing and homelessness."
04_13_2021,homeless,"My next question is, I know you said everything has a match except for the homeless housing. Where did that match come from? Or where are those matches coming from?"
05_11_2021,homeless,"And the motion passes unanimously. That brings us to page 7 to the regular agenda to item number 18. This is discussion in action to direct the city manager to provide an update on the transition plan from the temporary facilities, providing services for the homeless at the FAC0 site, as well as funding allocation details regarding the 10th Amendment to the City's DATE0 45th Year Annual Action Plan for the Community Development Block Grant Coronavirus Phase 3."
05_11_2021,homeless; homelessness,"Good morning, everybody. I wanted the [ORGANIZATION] Manager to provide an update on the transition plan from the temporary facilities providing services for the homeless at the [ORGANIZATION] site, as well as funding allocations details regarding the 10th amendment to the [ORGANIZATION]'s [ORGANIZATION] annual action plan for [ORGANIZATION]. During the pandemic, the [ORGANIZATION] Council has made large allocations of funds in area of homelessness, including via multiple amendments to the CDBG-CV allocation."
05_11_2021,homeless; homelessness,"My name is [ORGANIZATION], and I'm the Executive Director for [ORGANIZATION]. And I just wanted to take this opportunity to thank [PERSON] and the staff of ORG1 for recommending funding for the coalition as well as all of the homeless programs in this [ORGANIZATION]'s [ORGANIZATION] action plan. And to also ask that the city continue supporting projects focused on preventing and ending homelessness."
05_11_2021,homeless; homelessness,"In [ORGANIZATION], the coalition has served as the lead entity for [ORGANIZATION] continuum of care for the homeless, providing services, training, and technical assistance on the complex issues that all of our homeless assistance providers encounter [PERSON]. We also serve as the administrator for the operation of the region's homeless management information system and provide training, technical assistance, and help desk support to the numerous programs that enter their client data into that system. We have a long-standing relationship with [ORGANIZATION] in addressing homelessness and appreciate the continued support of these activities through the funding recommended before you DATE2."
05_11_2021,homeless; homelessness,"I'm very excited about a new project called [ORGANIZATION] that we are being funded for, or recommended for funding for. It's a brand new intervention for our city with the primary objective to divert households from entering the homeless system altogether. This project, it combines intensive case management,  active listening, creative thinking, along with financial assistance to provide solutions for households who are literally at the front door of our shelters."
05_11_2021,homeless; homelessness,"This is going to be a real carefully coordinated effort with many of our partners, as well as [ORGANIZATION], as the operator of the community's coordinated entry system. So the launch of this program will prevent households on the edge of homelessness from entering our system, helping them safely avoid a traumatic and stressful homeless episode. It will take pressure off the shelter system and reduce overall homelessness in our community."
05_11_2021,homeless,"We build a savings nest, a system in completing forms for services such as [ORGANIZATION], [ORGANIZATION] applications, and other government benefits to improve their quality of life.  and prevent them from being exploited and becoming homeless. So this program provides an opportunity for these individuals to maintain limited independency and increase their economic stability. So therefore we want to express our full support of the DATE0 DATE1 action plan to continue nurturing and promoting a healthy and sustainable community and"
04_26_2022,homelessness,"First taking [STREET] in [ORGANIZATION], the occasion provides a fitting opportunity to recognize the outstanding contributions of transgender people in [ORGANIZATION] and everywhere. And whereas President [PERSON] said [PERSON] when he became the first American president to designate the Transgender Day of [LOCATION] with the ORG0 proclamation, this designation recognizes the generations of struggle, activism, and courage that have brought our country closer to full equality for transgender and gender non-binary people.  that has given countless transgender individuals the bravery to live openly and authentically, shaping an increasingly accepting world in which peers at school, teammates and coaches on the playing field, colleagues at work, and allies in every corner of society are standing in support and solidarity with the transgender community. And whereas discriminatory and  discriminatory attitudes towards the transgender community, especially against black, indigenous, and other women of color foster high rates of violence, homelessness, and economic instability."
