city,article_title,article_date,article_source,city_source,paragraph_text,keywords_matched,original_count,processed_count,was_shortened,used_sentence_method,segment_count,segment_index
elpaso,How to help and get help in Texas as the winter storm causes power outages,2021-02-16T00:00:00Z,The Texas Tribune,El Paso Times,"Feb 16, 2021 The Texas Tribune Delivered by Newstex Sign up for The Brief1, our daily newsletter that keeps readers up to speed on the most essential Texas news. Millions of Texans are without power, heat and essential services during a winter storm2 that has led to freezing temperatures3 and hazardous road conditions4 throughout the state. City officials, local outreach teams and other organizations are providing warming shelters and support for people seeking help. Many nonprofit organizations are also asking for donations so they can help people experiencing homelessness or those who are in need of support.",homelessness,4,4,False,True,1,0
elpaso,How to help and get help in Texas as the winter storm causes power outages,2021-02-16T00:00:00Z,The Texas Tribune,El Paso Times,"The George R. Brown Convention Center opened as a warming center, but it is at full capacity and it is no longer accepting more people, according to KHOU9. Homeless outreach teams from the sheriffs office, police department, and homeless outreach groups have worked to provide rides to the warming centers. Houston area residents can call the Harris County Sheriffs Office non-emergency line at 713-221-6000 or 311 for information about shelter or transportation. The sheriffs office Homeless Outreach Team HOT has been providing items like coats, blankets and tents to people experiencing homelessness who are not in a warming center. People can donate here10 to any of the organizations in The Way Home, a coalition of organizations working to prevent homelessness. Austin Austin officials are encouraging individuals in need of shelter to go to the Palmer Event Center.","homeless, homelessness",53,6,True,True,2,0
elpaso,How to help and get help in Texas as the winter storm causes power outages,2021-02-16T00:00:00Z,The Texas Tribune,El Paso Times,"People who need transportation to a warming shelter can call 211, and they can call the cold weather shelter hotline at 512-305-ICEE for more information about warming shelters. Various organizations in Austin are accepting donations to help people who need resources to help the homeless or those in need of resources. The Austin Area Urban League is organizing an emergency drive here13 and Front Steps, a nonprofit that offers resources to the homeless, is asking for blanket donations here14. San Antonio At least seven shelters are open in San Antonio, including Haven for Hope, the citys largest shelter, which is offering cold weather clothing and beds, according to San Antonio Report15. A resource list created by the Christian Assistance Ministry with details about shelters in San Antonio and specifics about accommodations can be found here16. Ministries and outreach teams are also looking for volunteers who can safely access the shelters. Outreach teams from SAMMinistries, Haven for Hope, Corazon Ministries and other organizations have been working to transport people to shelter, according to the South Alamo Regional Alliance for the Homeless, or SARAH. SARAH is providing details about organizations seeking help on their Facebook page here17. The city of San Antonios homeless hotline, at 210-207-1799, is available Monday through Friday from 8 a.m . to 430 p.m. The hotline will help people experiencing homeless find resources. If people need help outside of those hours, they can leave a voicemail or email homelessoutreachsanantonio.gov . DFW Dallas opened the Kay Bailey Hutchison Convention Center as a warming center, where people will be provided with a chair, table and light snacks. The center is not providing cots and it is not an overnight shelter, according to a press release18. Dallas is also working to identify more city resources, like recreation centers and libraries, to be used as warming centers. Multiple Dallas-area organizations, including The Salvation Army, OurCalling and The Bridge Homeless Recovery Center, are working to provide transportation to the convention center, food and tests for COVID-19, according to The Dallas Morning News19. Donations can be made here20 to OurCalling, which manages the convention center.","homeless, homelessness",53,17,True,True,2,1
elpaso,"El Paso County, city weigh options to stem humanitarian crisis as migration swells",2022-09-17T00:00:00Z,USA Today Online,El Paso Times,"El Paso county commissioners on Thursday weighed options for creating a migrant support services center while city emergency managers opened a busing hub, as dozens of migrants remained in homeless conditions Downtown.",homeless,1,1,False,True,1,0
elpaso,T-Squared: Meet our fall 2021 student fellows,2021-08-19T00:00:00Z,The Texas Tribune,El Paso Times,"These extraordinary students  who will join us from Texas and across the globe  will spend the next several weeks working in one of these areas of our newsroom audience engagement, data visuals, engineering, events, marketing and communications, multimedia, photography or reporting. Our most recent fellows produced incredible journalism2 about the Texas Legislature the passage of a bill that targeted what Republicans called critical race theory3 and what educators have to say about it4 House Democrats decision to break quorum5 and flee to Washington, D.C., to fight for voting rights6 the potential effects7 of anti-transgender legislation local mask mandates in defiance8 of Gov. Greg Abbott9s order banning COVID-19 restrictions people experiencing homelessness in Austin10 and the decision by the University of Texas at Austin to leave the Big 12 Conference for the Southeastern Conference11. Most of the Tribune fellowships are in Austin one reporting fellow is typically based in Washington, D.C.",homelessness,64,3,True,True,1,0
elpaso,"Texas , Arizona bus migrants to U.S. cities, and now Chicago. Here's what could happen next",2022-09-02T00:00:00Z,USA Today Online,El Paso Times,"The migrant families dont always have contacts in the cities and wind up sleeping in bus stations, park benches, homeless shelters and hotels, according to immigrant advocates. Their numbers  from Venezuela, Colombia, Africa and elsewhere  are rising at such alarming rates that Washington, D.C., Mayor Muriel Bowser last month requested a National Guard deployment to help receive them.",homeless,2,2,False,True,1,0
elpaso,"Texas , Arizona bus migrants to U.S. cities, and now Chicago. Here's what could happen next",2022-09-02T00:00:00Z,USA Today Online,El Paso Times,"Those without a place to go were taken to city homeless shelters but some promptly left and ended up on park benches, she said. Others were continuing to Chicago, Georgia and other destinations. Without a good address for them, immigration officials will have a tough time tracking them and they may miss court appearances or mandatory check-ins, Mackler said.",homeless,3,3,False,True,1,0
elpaso,Full text: The Report on Human Rights Violations in the United States in 2021,2022-02-28T00:00:00Z,People's Daily Online - English,El Paso Times,"U.S. Surgeon General Vivek H. Murthy was cited by The Los Angeles Time as saying on Dec. 9, 2021 that the number of suspected suicide attempts in 2021 was 51 percent higher among adolescent girls compared to the same period in 2019. The number of the homeless is staggering. The Washington Post reported on Dec. 7, 2021 that homelessness is one of the United States greatest current challenges, no matter the region. The AP reported on Sept. 9, 2021 that the number of people without permanent shelter in Rhode Island had increased by more than 85 percent since January 2021. According to a report by the group Advocates for Children, more than 100,000 New York City schoolchildren were homeless at some point during the 2020-2021 school year. The total number of homeless students during the school year represented nearly one-tenth of the citys public school system. Some students had to live in cars, parks or abandoned buildings. The New York Times reported on Dec. 19, 2021 that in San Francisco one of every 100 residents was homeless. The elderly rights to life are flagrantly violated.","homeless, homelessness",346,9,True,True,1,0
elpaso,The Report on Human Rights Violations in the United States in 2021,2022-03-01T00:00:00Z,China Daily,El Paso Times,"The number of the homeless is staggering. The Washington Post reported on Dec. 7, 2021 that homelessness is one of the United States greatest current challenges, no matter the region. The AP reported on Sept. 9, 2021 that the number of people without permanent shelter in Rhode Island had increased by more than 85 percent since January 2021. According to a report by the group Advocates for Children, more than 100,000 New York City schoolchildren were homeless at some point during the 2020-2021 school year. The total number of homeless students during the school year represented nearly one-tenth of the citys public school system. Some students had to live in cars, parks or abandoned buildings. The New York Times reported on Dec. 19, 2021 that in San Francisco one of every 100 residents was homeless.","homeless, homelessness",7,7,True,True,1,0
elpaso,"Shifting Baselines in a Time of Climate Change, Systems Stagnation, Life and Death in a Time of Amnesia",2019-02-21T00:00:00Z,Dissident Voice,El Paso Times,"There were civilian-clothed snipers with high powered rifles w higher powered scopes all over dozens of multi-agency personnel out in public with pistols brandished, and two armored vehicles with gun turrets that rammed the offending ex-vets big pick-up truck. He had just been evicted from the Salvation Armys homeless veterans transition center for suspect reasons. The entire homeless facility was bombarded with SWAT-outfitted police thugs, and no one was allowed to enter or leave the facility, creating high levels of anxiety with already PTSD-addled veterans and their homeless families. The veteran was shot seven times, after only a few hours of staged hostage negation-like stuff, even though he was alone, pinned in his own pickup truck.","homeless, squatter",216,4,True,True,3,0
