created_at,user_location,tweet_geo,tweet_country,place_type,is_retweet,keywords_matched,Deidentified_text
2024-12-31T22:30:04.000Z,U.S.A.,,,,False,,"[ORGANIZATION] of #Homeownership in #[PERSON]? 🌟
💸 Find affordable #homes even if your credit isn’t perfect! Our guide to cheap houses 
for sale in [ORGANIZATION] will help you take the first step to owning your dream home.
[URL]
#CheapHouses #[ORGANIZATION]  #Housing [URL]"
2024-12-30T22:30:04.000Z,U.S.A.,,,,False,,"[ORGANIZATION] of #Homeownership in #[PERSON]? 🌟
💸 Find affordable #homes even if your credit isn’t perfect! Our guide to cheap houses 
for sale in [ORGANIZATION] will help you take the first step to owning your dream home.
[URL]
#CheapHouses #[ORGANIZATION]  #Housing [URL]"
2024-12-30T20:59:48.000Z,"Austin, TX",,,,False,"homeless, homelessness","[USER] [USER] [USER] Have you seen the homeless in [ORGANIZATION] , [PERSON] , [ORGANIZATION], [PERSON], [PERSON] , [PERSON] , [ORGANIZATION] homelessness is rampant in GPE7 ."
2024-12-29T22:30:05.000Z,U.S.A.,,,,False,,"[ORGANIZATION] of #Homeownership in #[PERSON]? 🌟
💸 Find affordable #homes even if your credit isn’t perfect! Our guide to cheap houses 
for sale in [ORGANIZATION] will help you take the first step to owning your dream home.
[URL]
#CheapHouses #[ORGANIZATION]  #Housing [URL]"
2024-12-29T21:26:56.000Z,Florida,,,,False,homeless,"Notice how they call the [ORGANIZATION] homeless now. Trying to make them sound less criminal. Mainstream media doing what they always do, help the criminal!
[URL]"
2024-12-29T20:47:49.000Z,"El Paso, TX",,,,False,,"[USER]
[URL]"
2024-12-29T20:37:16.000Z,,,,,True,affordable housing,"RT [USER]: [ORGANIZATION] needs to focus on affordable housing. 

I recommend they transition some of the newly closed schools, empty wa…"
2024-12-29T16:54:58.000Z,,,,,False,,[URL]
2024-12-29T16:37:29.000Z,"El Paso, Texas",,,,False,affordable housing,"[ORGANIZATION] needs to focus on affordable housing. 

I recommend they transition some of the newly closed schools, empty warehouses/ buildings, and empty city properties into affordable housing projects. 

Side note: We didn’t open warming centers [ORGANIZATION] [URL]"
2024-12-29T01:15:09.000Z,"El Paso, Texas",,,,False,"housing crisis, affordable housing","Tiny home communities in [ORGANIZATION] could be a game changer. 

Affordable housing, communal spaces, investing in working families, public transportation, and ending the housing crisis is something our new council should prioritize."
2024-12-29T00:54:02.000Z,,,,,True,"homeless, homelessness","RT [USER]: The only thing Democrats are bringing to [ORGANIZATION] is chaos, poverty, drugs and homelessness.

Does this look like a thi…"
2024-12-28T22:30:04.000Z,U.S.A.,,,,False,,"[ORGANIZATION] of #Homeownership in #[PERSON]? 🌟
💸 Find affordable #homes even if your credit isn’t perfect! Our guide to cheap houses 
for sale in [ORGANIZATION] will help you take the first step to owning your dream home.
[URL]
#CheapHouses #[ORGANIZATION]  #Housing [URL]"
2024-12-28T20:17:19.000Z,"Kansas City, Missouri U.S.A.",,,,True,"homeless, homelessness","RT [USER]: The only thing Democrats are bringing to [ORGANIZATION] is chaos, poverty, drugs and homelessness.

Does this look like a thi…"
2024-12-28T04:07:58.000Z,"El Paso, Texas",,,,False,homeless,"Homeless encampments are appearing across [ORGANIZATION], emerging in downtown, central, and east parts of town. [URL]"
2024-12-28T00:22:13.000Z,USA,,,,True,"homeless, homelessness","RT [USER]: The only thing Democrats are bringing to [ORGANIZATION] is chaos, poverty, drugs and homelessness.

Does this look like a thi…"
2024-12-27T22:30:05.000Z,U.S.A.,,,,False,,"[ORGANIZATION] of #Homeownership in #[PERSON]? 🌟
💸 Find affordable #homes even if your credit isn’t perfect! Our guide to cheap houses 
for sale in [ORGANIZATION] will help you take the first step to owning your dream home.
[URL]
#CheapHouses #[ORGANIZATION]  #Housing [URL]"
2024-12-26T22:30:04.000Z,U.S.A.,,,,False,,"[ORGANIZATION] of #Homeownership in #[PERSON]? 🌟
💸 Find affordable #homes even if your credit isn’t perfect! Our guide to cheap houses 
for sale in [ORGANIZATION] will help you take the first step to owning your dream home.
[URL]
#CheapHouses #[ORGANIZATION]  #Housing [URL]"
