filename,date,paragraph,matched_words
01_17_2017_fayetteville_meeting_minutes.mp3.2708115c-0f5b-4c71-9f92-bd1235046a4a.Transcript.txt,01_17_2017,"To meet this goal, the city will continue to explore affordable housing developments. continue to support public transit, using the mobility plan and participating in a region-wide transit development plan to understand the needs and improvements that can be made to public transit, as well as what funding needs and sources are sustainable. We will continue to install wayfinding signage throughout the city to assist visitors.",affordable housing
01_17_2017_fayetteville_meeting_minutes.mp3.2708115c-0f5b-4c71-9f92-bd1235046a4a.Transcript.txt,01_17_2017,"Through the HEARTH program, our goal is to house 100 homeless individuals as we did last year. Rangers Pantry will continue to assist citizens experiencing financial hardships with pet food. Strategies for affordable housing.",homeless; affordable housing
08_04_2020_fayetteville_meeting_minutes_compressed.mp3.a5143574-13fb-480f-b49b-5835ea8c5a9a.Transcript.txt,08_04_2020,"One is a teardown in a floodplain, and the other two, they're not really great options either. And so...  in thinking about you know why two hundred thousand dollars that's about the cost to just construction costs of a two bedroom one and a half bath home um and to put that into perspective to purchase a two hundred thousand dollar home um a person would need forty thousand dollars down and an income of over fifty eight thousand dollars a year meanwhile that's far above the average household income in the city of Fayetteville So when we talk about having a housing crisis in this city, that's what we're talking about.",housing crisis
08_04_2020_fayetteville_meeting_minutes_compressed.mp3.a5143574-13fb-480f-b49b-5835ea8c5a9a.Transcript.txt,08_04_2020,"The pandemic has opened our eyes very wide to the gaps of care and, you know, the fact that there's food insecurity and housing insecurity. Yeah, we knew that, but like it is eyes wide open right now. I hear Deputy Fields.",housing insecurity
10_02_2018_fayetteville_meeting_minutes_compressed.mp3.0a9e3e44-2456-4ea7-8bea-b8033b7bde75.Transcript.txt,10_02_2018,"And that's something that we have to really take seriously in a legislative manner. So I really feel like this land use plan is adding housing supply to the city's urban core, and that really combats the housing crisis that we're having. So traditional town form is what else we're supposed to do.",housing crisis
10_02_2018_fayetteville_meeting_minutes_compressed.mp3.0a9e3e44-2456-4ea7-8bea-b8033b7bde75.Transcript.txt,10_02_2018,"It's hard to see how commercializing that hill is going to make a difference in improving the green network. Attainable housing is another thing, and I hope that when we talk about attainable housing, we mean housing that is affordable. Our neighborhood is not well known for its affordable housing.",affordable housing
10_02_2018_fayetteville_meeting_minutes_compressed.mp3.0a9e3e44-2456-4ea7-8bea-b8033b7bde75.Transcript.txt,10_02_2018,"Because if it's not, if we don't add the housing units there, they're going to be added elsewhere and eventually, most likely, on the outskirts, which would increase transportation costs, city public infrastructure costs, greenhouse gas emissions from single occupant vehicle transportation. So... affordable housing and environmental concerns are the issues that I care most about and spend a lot of time working on, and that's why I support this rezone request. Thank you.",affordable housing
10_02_2018_fayetteville_meeting_minutes_compressed.mp3.0a9e3e44-2456-4ea7-8bea-b8033b7bde75.Transcript.txt,10_02_2018,"I love what they do in Fayetteville. I'm a big fan of Uptown Project. But when I asked about affordable housing, the truth was that the land is so valuable that it actually doesn't fall within affordable.",affordable housing
10_02_2018_fayetteville_meeting_minutes_compressed.mp3.0a9e3e44-2456-4ea7-8bea-b8033b7bde75.Transcript.txt,10_02_2018,"I just, I'd love to, I wish that we had just a big sack of money that we could just reach into and take it out and just sprinkle it here and have all the things that have all this wonderful maintained green space and still have affordable housing and still have maybe not so affordable housing for people that want to move here. We need all types of housing. And, you know, it's just a hard decision, but I'm going to vote in favor of this.",affordable housing
10_02_2018_fayetteville_meeting_minutes_compressed.mp3.0a9e3e44-2456-4ea7-8bea-b8033b7bde75.Transcript.txt,10_02_2018,"I'm the director of development for theater squared. I just wanted to take a quick minute and read a letter that we received from Solomon Birchfield, who is the director of operations for seven Hills homeless shelter each year for the past two years we've hosted what we call a picnic and a play. on a Saturday in May where we bring a number, quite a few of the homeless clients from Seven Hills.",homeless
10_02_2018_fayetteville_meeting_minutes_compressed.mp3.0a9e3e44-2456-4ea7-8bea-b8033b7bde75.Transcript.txt,10_02_2018,"As we discussed yesterday, there will always be a homeless population for various reasons, and that one of the things we can do to treat them as humans with dignity. What T2 has provided to them through this experience is a definition of that. For them to sit in theater and enjoy a world-class production, and maybe not be defined by their homelessness for at least a few hours.",homeless; homelessness
10_02_2018_fayetteville_meeting_minutes_compressed.mp3.0a9e3e44-2456-4ea7-8bea-b8033b7bde75.Transcript.txt,10_02_2018,"Young people are burdened with incredible amounts of student loan debt. Renting is the new reality, and we need to offer a variety of household types for people who rent. And if we want to have affordable housing, it is a lot more affordable to subdivide one lot into three separate units or multiple units to distribute the cost of that lot and land development over multiple units so that they can become more affordable.",affordable housing
01_04_2022_fayetteville_meeting_minutes.mp3.2bcc1899-2ce3-47db-987e-81f43450f09f.Transcript.txt,01_04_2022,"Number two, a resolution to authorize an agreement between the city of Feville, Arkansas and Ozark. Tennis Academy LLC to provide tennis programs for federal residents in 2022 with automatic renewals for up to four additional one-year terms at a total estimated cost of $61,000. Number three, a resolution to approve a proposal from King Electric Contractors, Inc. in the total amount of $218,125 pursuant to bid number 2058 for electrical service associated with Square Lighting and Electrical Improvements Project.  and downtown walkability project to approve a project contingency in the amount of twenty thousand dollars and to approve a budget adjustment this is 2019 street improvements bond and park improvement bond project number four a resolution to approve a contract seven hills homeless center to provide funding assistance in the amount of forty thousand dollars for maintenance and repairs at walker family residential community complex in 2022.",homeless
01_04_2022_fayetteville_meeting_minutes.mp3.2bcc1899-2ce3-47db-987e-81f43450f09f.Transcript.txt,01_04_2022,This is a strategy that works toward Fayetteville's 2040 plan for affordable housing. It works toward a wider range of housing options. There are already many standards which protect the city's interest related to property density and the rules that would keep a neighborhood in its own personality and what makes this neighborhood special.,affordable housing
01_18_2022_fayetteville_meeting_minutes.mp3.9b87bbae-c50a-4ad0-b7c4-a5e4d919bf72.Transcript.txt,01_18_2022,"I think looking at the city's 2040 plan and reading all the information on the city about planning that we need more density, we need more inflow. We simply will never get to affordable housing if we can't increase the number of units. And providing more options beyond just multi-story apartment complexes, I think will help get us closer to this goal.",affordable housing
01_18_2022_fayetteville_meeting_minutes.mp3.9b87bbae-c50a-4ad0-b7c4-a5e4d919bf72.Transcript.txt,01_18_2022,"but but we gotta add more houses um i know a lot of people want to protect the integrity of rsf4 but basically you can protect the art integrity of rsf4 or you can help homeless you can't do both and i know a lot of people are trying to say let's be creative  No, if you just don't allow houses, then you have decided houses should be more expensive or you've decided that you want people to drive through your city.",homeless
