city,article_title,article_date,article_source,city_source,paragraph_text,keywords_matched,original_count,processed_count,was_shortened,used_sentence_method,segment_count,segment_index
fayetteville,STATE-BY-STATE News from across the USA,2016-02-16T00:00:00Z,USA Today,Northwest Arkansas Democrat-Gazette,"Iowa Iowa City City staff is nearing completion of a draft ordinance intended to shape future growth and create more affordable housing stock in the growing Riverfront Crossings District, the Iowa City Press-Citizen reported.",affordable housing,1,1,False,True,1,0
fayetteville,STATE-BY-STATE,2016-02-16T00:00:00Z,Dayton Daily News (Ohio),Northwest Arkansas Democrat-Gazette,"IOWA Iowa City City staff is nearing completion of a draft ordinance intended to shape future growth and create more affordable housing stock in the growing Riverfront Crossings District, the Iowa City Press-Citizen reported.",affordable housing,1,1,False,True,1,0
fayetteville,"Alan D. Schnitzer CEO of Travelers in top 11% of price performers of NYSE stocks in past week Tuesday August 16, 2022",2022-08-16T00:00:00Z,News Bites - People in Business,Northwest Arkansas Democrat-Gazette,"We re in the business of taking care of the communities were privileged to serve, and in that spirit, were proud to help New Yorkers in need through the Homeless Assistance Fund",homeless,1,1,False,True,1,0
fayetteville,STATE-BY-STATE,2016-10-26T00:00:00Z,Dayton Daily News (Ohio),Northwest Arkansas Democrat-Gazette,"DISTRICT OF COLUMBIA WUSATV reported that the Vida Thrive 5K Run and Walk at Hains Point drew more than 600 participants and raised 16,000 for the citys homeless.",homeless,1,1,False,True,1,0
fayetteville,Best of Arkansas 2021,2021-08-02T00:00:00Z,Newstex Blogs,KUAF,"Sen. Joyce Elliott is indeed the best Arkansan. The Van, which supported the dignity of our homeless population even through the pandemic by helping them secure essentials like clothes, food and toothpaste, deserves accolades and support. Discoverys reign as the best gay bar should not and has not been challenged.",homeless,102,3,True,True,1,0
fayetteville,NEWS OF THE WEIRD,2017-04-23T00:00:00Z,The San Diego Union-Tribune,KFSM,"A June 2016 police raid on David Jessens Fresno County farmhouse caused a 150,000 mess when sheriffs deputies and Clovis Police Department officers rescued it from a trespassing homeless man - with the massive destruction leading to Jessens lawsuit announced in March. The misdemeanant helped himself to an ice cream bar, some milk and half a tomato, but was otherwise unarmed however, by the time the police standoff ended, the crime scene included more than 50 cop cars, a SWAT team and backups, two helicopters, standby ambulances, a police robot, and a crisis negotiation team. Windows, walls and wrought-iron doors were destroyed tear gas and a flash bomb were employed. Jessen suspects that the farmhouses isolation enticed police to decide that it presented an excellent training opportunity.",homeless,4,4,False,True,1,0
fayetteville,New Year Honours,2022-12-31T00:00:00Z,The Daily Telegraph (London),KFSM,"Yorkshire and Humberside, for services to Law and Order Prof Peter Ghazal, Ser Cymru II Prof of Systems Medicine, Cardiff Univ, for services to Systems Immunology James Bradley Gilbert, lately Deputy Director, Scottish Government, for services to Housing Hadley Gill, Sen Officer, National Crime Agency, for services to Law Enforcement and to Diversity Ravinder Gill, Founder, College of Accountancy, for services to Higher Education Matthew Cardover Gordon, Ch Executive Officer, Spectra First, for services to Vulnerable Young People Helen Goulden, Ch Executive Officer, Young Foundation, for services to the Dev of Sustainable Communities Beverley Karen Gower-Jones, Founder and Ch Executive Officer, Carbon Limiting Technologies, for services to Net Zero Innovation Stephen Graham, Actor, for services to Drama Helen Grant, MP, MP for Maidstone and the Weald, for Political and Public Service James Joshua Gray, jt MD, Gray and Adams Holdings, for services to Industry and to the community in Fraserburgh Peter Gray, jt MD, Gray and Adams Holdings, for services to Industry and to the community in Fraserburgh Ian Richard Green, Ch Executive, Terrence Higgins Trust for services to Charity and to Public Health Dr Rosemary Christine Green Rosemary Loftus, lately Ch Medical Officer, Macmillan for services to People with Cancer Maruska Greenwood-Dalecki, lately Ch Executive Officer, LGBT Health and Wellbeing, for services to Equality Puneet Gupta, Co-Founder and Ch Executive Officer, PG Paper, for services to Business, to Charity and to the community in Scotland Jennifer Anne Hall, Director of Nursing and Clinical Delivery, Covid-19 Vaccination Programme, NHS England and NHS Improvement, for services to the NHS, particularly during Covid-19 Simon David Hankins, Head of Operations, Parliamentary Security Department, for services to Parliament Mark Richard Harbord, Director of Cyber Security, Parliamentary Digital Service, for services to Parliament Ian John Hares, lately Ch Executive Officer, UK Asset Resolution, for services to the Financial Services Sector David Michael Harewood, Actor and Broadcaster for services to Drama and to Charity Prof Ewen Munro Harrison, Prof of Surgery and Data Science, Univ of Edinburgh for services to the Covid-19 Response Wendy Elizabeth Haxell, Technical Official, UK Athletics, for services to Athletics and to the community in Hampshire Dr Ross Hemingway, Civilian Medical Practitioner, Commando Training Centre, RM for services to the RM James Patrick Hepburne Scott, Director, Forest Carbon, for services to Forestry and to the Environment in Scotland Rachel Hick, Deputy Head, Finance Team, Army HQ, MoD for services to Defence Susan Julie Higginson, Principal and Ch Executive, Wirral Met College, Birkenhead, Merseyside for services to FE Patricia Anne Higson Paddy Higson, Patron and lately Ch Executive Officer, Glasgow Media Access Centre GMAC Film, for services to the Film and Television Industry and to Diversity and Inclusion in Film and Television Andrew Hill, Ch Executive, Hill Partnerships, for services to Affordable Housing Diane Patricia Hill, Employment Tribunal Lay Panel Member, Midlands West for services to the Admin of Justice Dr Vivian Ivor Hinchcliffe, Chair and Managing Trustee, St Jude Foundation, for services to Children and Young People with Special Educational Needs Peter James Hines, Headteacher, Perryfields Primary Pupil Referral Unit, Worcester, for services to Education Catherine Elizabeth Hinwood, Lead for Domestic Abuse and Sexual Violence, NHS England and lately Deputy Director, Victim and Witness Policy, Policy and Strategy Group, Ministry of Justice for Public Service Geoffrey Mark Hodgson, DL, Chair, Blyth Harbour Commission, for services to the UK Ports Sector and to the Economy in NE England Paula Ann Holland, Deputy Director, Work and Health Decision Making, Dept for Work and Pensions for Public Service Alaric Guy Code Horridge, Ch Executive, Cadet Vocational Qualification Organisation, for services to FE Dr Richard Charles Horton, Editor-in-Chief, Lancet, for services to Health and Medical Journalism Karen Anne Howell, Ch Executive, Wirral Community Health and Care NHS Foundation Trust, for services to Healthcare Paula Jane Hudgell,",affordable housing,1,1,False,True,1,0
fayetteville,New Year Honours,2022-12-31T00:00:00Z,The Daily Telegraph (London),KFSM,"Economy and to the community in Wrexham Edward Fletcher Lynch, Co-Founder, RJC Dance for services to Dance Iain Aitken Mackinnon, lately Sec, Maritime Skills Alliance for services to the Maritime Sector Geraldine Stewart Maclaine, for services to the community in the London Borough of Redbridge, Gt London Lucy Wolcott Maguire, Founder, Ch Executive Offr and Programme Director, Nucleo for services to Children and Young People Dr Shaid Mahmood, Chair of Govs, Leeds City College Group, for services to FE in Leeds Edward Roger Mallinson, Chair and Boat Manager, Shamrock Trust, for services to Steam Boating Heritage and to the community in Cumbria Prof David Charles Mangham, Prof of Musculoskeletal Pathology, Univ of Manchester and Manchester Univ NHS Foundation Trust, for services to Forensic Science Jaspal Singh Mann, Director, Simply Shred and Recyclefor services to the Environment David Claude Ernest Mann, Co-chair, Freehold LGBT CIC for services to Inclusion in the Property Industry Yiannis Kyriacos Maos, Founder and Ch Executive Officer, Birmingham Tech CIC, for services to the Technology Sector Jennie Kristina Martin, DG, ITS-UK, for services to Transport Technology Paula Margaret Matthews, Farmer, for services to Sustainable Agric Elizabeth Annette Maytom, Project Manager, Norwood and Brixton Foodbank for services to the community in the London Borough of Lambeth, particularly during Covid-19 Helen Esther McAleavy, Pte Sec to the Ch Medical Officer, DoH and Social Care for Public Service Richard James George McAvoy, Armed Forces Champion, Dept for Work and Pensions for Public Service Peter McBride, for services to the Economy and to the community in Co Tyrone Mary McCourt, Campaigner for Helens Law and Support After Murder and Manslaughter Merseyside, for services to Families of the Victims of Unlawful Killing Katrina McDonnell, Founder, Homeless Period Belfast for services to Womens Health James Anderson McEwan, for services to the Scotch Whisky Industry and to the community in Islay Patrick Joseph McGurn, Ch Executive Officer, Lakeland Community Care, for services to the community in Co Fermanagh and Tyrone Prof Sonja Jayne McIlfatrick, Dean of the Ulster Doctoral College and Prof of Nursing and Palliative Care, Ulster Univ, for services to Higher Education and Public Health Penelope Lewis McKissock, for services to the community in Somerset Samuel McKnight, Founder, Hair by Sam McKnight for services to the Fashion and Beauty Industries Teresa Michelle McLaughlin, Student Engagement and Student Voice Lead, Trafford College Group, Trafford, Gt Manchester for services to Education Hugh McLean, for services to the community in Oban and Lorn, Scotland Margaret Alison McLennan, lately Deputy Leader, Brent Council, London Borough of Brent, for services to Digital Inclusion and to the community in Brent Bethany Jane Mead, for services to Assn Football Dr Joel Meyer, Co-Founder, Life Lines and Intensive Care Consultant, Guys and St Thomas NHS Foundation Trust, for services to the NHS during Covid-19 Sophie Clare Milliken, Founder and Ch Executive Officer, Moja Group, for services to Business and to Education Nicholas John Millington, Director, Safety Task Force Network Rail for services to the Railway and to the NHS during Covid-19 John Mills, Vice-Chair and Director of Operations, Vasculitis UK, for services to People with Rare Diseases Prof Eugene Michael Gerard Milne, lately Director of Public Health, Newcastle City Council, for services to Public Health and Wellbeing Syed Khaja Mohi Moinuddin, Customs Cooperation Agreements Lead, HM Revenue and Customs, for Public Service Aston Moore, National Coach, British Athletics for services to Athletics Simon Peter Couldrey Moring, Det Supt, Met Police Service for services to Health and Wellbeing Elizabeth Morley, for services to the community in Bolton and Bury, Gt Manchester Sheila Mary Morrison, lately Gov, Meadow Primary, Epsom, Surrey, for services to Education Dr Stephen Huang Mowle, Hon Treasurer, Royal College of General Practitioners and General Practitioner, Hetherington Grp Practice, London Borough of Lambeth, for services to Healthcare Bejay Mulenga, Founder, Supa Network, for services to",homeless,1,1,False,True,1,0
fayetteville,New Year Honours: Full list of UK recipients,2022-12-30T00:00:00Z,The Herald (Scotland) Online,KFSM,"Andrew Hill. Chief Executive, Hill Partnerships Limited. For services to Affordable Housing. Cambridge, Cambridgeshire",affordable housing,4,4,False,True,1,0
fayetteville,New Year Honours: Full list of UK recipients,2022-12-30T00:00:00Z,The Herald (Scotland) Online,KFSM,"Katrina McDonnell. Founder, Homeless Period Belfast. For services to Womens Health. Belfast, Belfast",homeless,4,4,False,True,1,0
