city,article_date,article_source,city_source,keywords_matched,original_count,processed_count,was_shortened,used_sentence_method,segment_count,segment_index,Deidentified_article_title,Deidentified_paragraph_text
fayetteville,2016-02-16T00:00:00Z,USA Today,Northwest Arkansas Democrat-Gazette,affordable housing,1,1,False,True,1,0,STATE-BY-STATE News from across the [ORGANIZATION],"[PERSON] staff is nearing completion of a draft ordinance intended to shape future growth and create more affordable housing stock in the growing [ORGANIZATION], [ORGANIZATION] reported."
fayetteville,2016-02-16T00:00:00Z,Dayton Daily News (Ohio),Northwest Arkansas Democrat-Gazette,affordable housing,1,1,False,True,1,0,STATE-BY-STATE,"[PERSON] staff is nearing completion of a draft ordinance intended to shape future growth and create more affordable housing stock in the growing [ORGANIZATION], [ORGANIZATION] reported."
fayetteville,2022-08-16T00:00:00Z,News Bites - People in Business,Northwest Arkansas Democrat-Gazette,homeless,1,1,False,True,1,0,[ORGANIZATION] CEO of [ORGANIZATION] in top 11% of price performers of ORG1 stocks in [ORGANIZATION] DATE1,"We re in the business of taking care of the communities were privileged to serve, and in that spirit, were proud to help New Yorkers in need through [ORGANIZATION]"
fayetteville,2016-10-26T00:00:00Z,Dayton Daily News (Ohio),Northwest Arkansas Democrat-Gazette,homeless,1,1,False,True,1,0,STATE-BY-STATE,"[ORGANIZATION] reported that the Vida Thrive 5K Run and Walk at [ORGANIZATION] drew more than 600 participants and raised 16,000 for the citys homeless."
fayetteville,2021-08-02T00:00:00Z,Newstex Blogs,KUAF,homeless,102,3,True,True,1,0,Best of GPE0 DATE0,"Sen. [PERSON] is indeed the best [PERSON]. The Van, which supported the dignity of our homeless population even through the pandemic by helping them secure essentials like clothes, food and toothpaste, deserves accolades and support. Discoverys reign as the best gay bar should not and has not been challenged."
fayetteville,2017-04-23T00:00:00Z,The San Diego Union-Tribune,KFSM,homeless,4,4,False,True,1,0,[ORGANIZATION],"A [ORGANIZATION] police raid on PERSON0 [PERSON] farmhouse caused a 150,000 mess when sheriffs deputies and [ORGANIZATION] officers rescued it from a trespassing homeless man - with the massive destruction leading to PERSON1 lawsuit announced in [LOCATION]. The misdemeanant helped himself to an ice cream bar, some milk and half a tomato, but was otherwise unarmed however, by the time the police standoff ended, the crime scene included more than 50 cop cars, a ORG1 team and backups, two helicopters, standby ambulances, a police robot, and a crisis negotiation team. Windows, walls and wrought-iron doors were destroyed tear gas and a flash bomb were employed. ORG2 suspects that the farmhouses isolation enticed police to decide that it presented an excellent training opportunity."
fayetteville,2022-12-31T00:00:00Z,The Daily Telegraph (London),KFSM,affordable housing,1,1,False,True,1,0,New Year Honours,"[ORGANIZATION] and [PERSON], for services to [PERSON] and Order Prof PERSON0, [ORGANIZATION], [ORGANIZATION], for services to Systems Immunology PERSON1, lately Deputy Director, [ORGANIZATION], for services to [ORGANIZATION], [PERSON], ORG2, for services to [PERSON] Enforcement and to [ORGANIZATION], [PERSON], ORG3, for services to [ORGANIZATION], [ORGANIZATION] Officer, [PERSON], for services to [ORGANIZATION], [ORGANIZATION] Officer, [ORGANIZATION], for services to the Dev of Sustainable Communities PERSON6, [PERSON] and [ORGANIZATION] Officer, ORG6, for services to [ORGANIZATION], Actor, for services to ORG23 PERSON8, MP, MP for [ORGANIZATION] and the [PERSON], for [ORGANIZATION], jt [LOCATION], ORG7, for services to ORG8 and to the community in [PERSON], jt [LOCATION], ORG7, for services to ORG8 and to the community in [PERSON] PERSON11, [ORGANIZATION], ORG9 for services to [ORGANIZATION]0 and to Public Health Dr PERSON12 [PERSON], lately [ORGANIZATION], [ORGANIZATION]1 for services to [ORGANIZATION], lately [ORGANIZATION] Officer, [ORGANIZATION]2, for services to [ORGANIZATION]3 PERSON14, Co-[PERSON] and [ORGANIZATION] Officer, [ORGANIZATION]4, for services to [ORGANIZATION]5, to [ORGANIZATION]0 and to the community in GPE4 PERSON15, Director of Nursing and [PERSON], Covid-19 [ORGANIZATION], [ORGANIZATION]6 and [ORGANIZATION]7, for services to the [ORGANIZATION]8, particularly during [PERSON], Head of Operations, [ORGANIZATION]9, for services to [ORGANIZATION], Director of [ORGANIZATION], ORG20ary [ORGANIZATION], for services to ORG20 PERSON18, lately [ORGANIZATION] Officer, ORG22, for services to the [ORGANIZATION] Sector PERSON19, Actor and [PERSON] for services to ORG23 and to [ORGANIZATION]0 Prof PERSON20, Prof of Surgery and [ORGANIZATION], ORG24 for services to the Covid-19 Response PERSON21, [ORGANIZATION], [PERSON], for services to [ORGANIZATION] and to the community in GPE6 Dr PERSON22, [ORGANIZATION], ORG25, RM for services to the RM PERSON23, Director, ORG26, for services to [ORGANIZATION] and to the Environment in GPE4 PERSON24, Deputy Head, [ORGANIZATION], ORG27 HQ, ORG28 for services to ORG29 PERSON25, [PERSON] and [ORGANIZATION], ORG30, GPE7, GPE8 for services to FE PERSON26 PERSON27, [ORGANIZATION] and lately [ORGANIZATION] Officer, ORG31, for services to the Film and Television ORG8 and to ORG32 PERSON28, [ORGANIZATION], [ORGANIZATION], for services to ORG34 PERSON29, ORG35 [ORGANIZATION] Member, [ORGANIZATION] for services to the [PERSON] of Justice Dr PERSON30, Chair and Managing Trustee, ORG36, for services to Children and Young People with Special [ORGANIZATION]al Needs PERSON31, [LOCATION], [LOCATION], GPE9, for services to [ORGANIZATION] PERSON32, Lead for Domestic Abuse and Sexual Violence, [ORGANIZATION]6 and lately Deputy Director, [PERSON] and [PERSON], [ORGANIZATION], ORG38 PERSON33, DL, [ORGANIZATION], for services to the GPE5 Ports Sector and to the Economy in [LOCATION] PERSON34, Deputy Director, Work and Health Decision Making, [PERSON]0 for Public Service PERSON35, [ORGANIZATION], [PERSON]1, for services to FE Dr PERSON36, Editor-in-Chief, [PERSON]2, for services to [ORGANIZATION] PERSON37, [ORGANIZATION], Wirral Community Health and Care [ORGANIZATION]8 Foundation Trust, for services to [ORGANIZATION] PERSON38,"
fayetteville,2022-12-31T00:00:00Z,The Daily Telegraph (London),KFSM,homeless,1,1,False,True,1,0,New Year Honours,"Economy and to the community in [ORGANIZATION], [ORGANIZATION], [ORGANIZATION] for services to [PERSON], lately [ORGANIZATION], [ORGANIZATION] for services to the Maritime [ORGANIZATION]tor PERSON2, for services to the community in [ORGANIZATION], [PERSON], [PERSON], ORG2 and Programme Director, ORG3 for services to Children and Young People Dr PERSON4, Chair of ORG4, [ORGANIZATION], for services to [ORGANIZATION] in [PERSON], Chair and Boat Manager, [PERSON], for services to ORG7 and to the community in GPE4 Prof PERSON6, Prof of Musculoskeletal Pathology, [ORGANIZATION] and ORG9, for services to [ORGANIZATION], Director, [ORGANIZATION]0 and [ORGANIZATION] services to the Environment PERSON8, Co-chair, [ORGANIZATION] for services to [LOCATION] in [ORGANIZATION], [PERSON] and [ORGANIZATION] Officer, [ORGANIZATION]1, for services to the Technology [ORGANIZATION]tor PERSON10, [PERSON], [ORGANIZATION]2, for services to [ORGANIZATION]3 PERSON11, [PERSON], for services to [ORGANIZATION]4 PERSON12, Project Manager, [PERSON] and [PERSON] for services to the community in GPE7, particularly during Covid-19 [PERSON], Pte [ORGANIZATION] to [ORGANIZATION], [ORGANIZATION]5 and [ORGANIZATION]6 PERSON14, [ORGANIZATION], [ORGANIZATION]7 for Public Service PERSON15, for services to the Economy and to the community in [LOCATION], [PERSON] for [ORGANIZATION]8, for services to [ORGANIZATION] PERSON17, [PERSON], Homeless Period [LOCATION] for services to [ORGANIZATION]9 PERSON18, for services to [ORGANIZATION] and to the community in GPE9 PERSON19, [ORGANIZATION] Officer, [ORGANIZATION], for services to the community in [ORGANIZATION]0 and [ORGANIZATION]1 Prof PERSON20, [PERSON] of ORG21 and Prof of Nursing and [ORGANIZATION], ORG22, for services to ORG23 and [PERSON] PERSON21, for services to the community in [LOCATION] PERSON22, [PERSON], Hair by PERSON23 for services to ORG25 PERSON24, Student Engagement and [ORGANIZATION], ORG26, [ORGANIZATION]2, Gt [ORGANIZATION]3 for services to [ORGANIZATION] PERSON25, for services to the community in [ORGANIZATION]4 and [ORGANIZATION]5, [ORGANIZATION]6 PERSON26, lately Deputy [LOCATION], [ORGANIZATION]7, [ORGANIZATION]8, for services to ORG27 and to the community in [ORGANIZATION]9 GPE20, for services to [ORGANIZATION] PERSON27, [ORGANIZATION], Life Lines and Intensive Care Consultant, ORG29, for services to the ORG30 during DATE0 PERSON28, [PERSON] and [ORGANIZATION] Officer, ORG31, for services to Business and to [ORGANIZATION] PERSON29, Director, [ORGANIZATION] for services to the Railway and to the ORG30 during [ORGANIZATION], Vice-Chair and Director of [ORGANIZATION], ORG32, for services to People with Rare Diseases Prof PERSON30, lately Director of [PERSON], ORG33, for services to [PERSON] and Wellbeing PERSON31, [ORGANIZATION], ORG34, for Public Service PERSON32, [ORGANIZATION], [ORGANIZATION] for services to [ORGANIZATION] PERSON33, [PERSON], ORG35 for services to [ORGANIZATION] PERSON34, for services to the community in GPE21 and Bury, Gt [ORGANIZATION]3 [PERSON] PERSON35, lately Gov, FAC0, GPE23, GPE24, for services to [ORGANIZATION] Dr PERSON36, [PERSON], ORG36, ORG37, GPE25, for services to [ORGANIZATION] PERSON37, [PERSON], ORG38, for services to"
fayetteville,2022-12-30T00:00:00Z,The Herald (Scotland) Online,KFSM,affordable housing,4,4,False,True,1,0,New Year Honours: Full list of [ORGANIZATION] recipients,"PERSON0. Chief Executive, [ORGANIZATION]. For services to [ORGANIZATION]. [ORGANIZATION], [ORGANIZATION]shire"
fayetteville,2022-12-30T00:00:00Z,The Herald (Scotland) Online,KFSM,homeless,4,4,False,True,1,0,New Year Honours: Full list of [ORGANIZATION] recipients,"PERSON0. [ORGANIZATION], [ORGANIZATION]. For services to [ORGANIZATION]. [ORGANIZATION], [ORGANIZATION]"
