date,tweet_count
2024-08-27,1
2024-08-28,4
2024-08-31,1
2024-09-02,1
2024-09-06,6
2024-09-08,3
2024-09-09,3
2024-09-10,5
2024-09-12,1
2024-09-16,1
2024-09-18,1
2024-09-19,2
2024-09-21,2
2024-09-22,1
2024-09-23,1
2024-09-27,2
2024-10-01,1
2024-10-04,1
2024-10-05,4
2024-10-06,1
2024-10-07,1
2024-10-14,1
2024-10-17,1
2024-10-18,1
2024-10-19,1
2024-10-20,1
2024-10-22,1
2024-10-23,2
2024-10-24,2
2024-10-27,1
2024-11-08,2
2024-11-10,1
2024-11-11,1
2024-11-14,1
2024-11-15,1
2024-11-16,1
2024-11-18,1
2024-11-19,1
2024-11-20,3
2024-11-21,2
2024-11-22,2
2024-11-23,4
2024-11-25,5
2024-11-28,2
2024-12-04,4
2024-12-06,1
2024-12-10,1
2024-12-12,1
2024-12-13,2
2024-12-15,1
2024-12-17,3
2024-12-18,1
2024-12-22,1
2024-12-24,1
