city,article_title,article_date,article_source,city_source,paragraph_text,keywords_matched,original_count,processed_count,was_shortened,used_sentence_method,segment_count,segment_index
kzoo,STATE-BY-STATE,2018-02-14T00:00:00Z,Dayton Daily News (Ohio),Kalamazoo Gazette,"GEORGIA Atlanta Prolonged cold weather and the closing of a downtown shelter have produced a spike in homeless people spending nights at Hartsfield-Jackson airport, The Atlanta Journal-Constitution reports.",homeless,1,1,False,True,1,0
kzoo,STATE-BY-STATE,2018-02-14T00:00:00Z,Dayton Daily News (Ohio),Kalamazoo Gazette,HAWAII Honolulu Officials are getting complaints that Puuhonua O Waianae homeless camp residents dump human waste into Pokai Bay.,homeless,1,1,False,True,1,0
kzoo,GLOBAL - BANKING - UPDATED 5 DECEMBER 2019,2019-12-05T00:00:00Z,Industry SnapShot,WKZO,TD Group US Holdings LLC - TD Bank Provides 15.6 Million Loan for Construction of Affordable Housing for Homeless  25112019,"homeless, affordable housing",1,1,False,True,1,0
kzoo,GLOBAL - BANKING - UPDATED 5 DECEMBER 2019,2019-12-05T00:00:00Z,Industry SnapShot,WKZO,"70-unit development will provide supportive and affordable housing options in Jamaica, Queens",affordable housing,1,1,False,True,1,0
kzoo,GLOBAL - BANKING - UPDATED 5 DECEMBER 2019,2019-12-05T00:00:00Z,Industry SnapShot,WKZO,"New York City residents facing homelessness with behavioral health concerns and the elderly, will now have a new place to call home in Jamaica, Queens",homelessness,1,1,False,True,1,0
kzoo,Trump makes 90 false claims during final two weeks of 2019,2020-01-04T00:00:00Z,CNN Wire,WKZO,"Alleging environmental violations related to San Franciscos population of homeless people and people who inject drugs, Trump said, And we fined San Francisco -- and Los Angeles and San Francisco. But weve just sent them a tremendous dollar fine for what theyre doing. -- December 18 campaign rally in Battle Creek, Michigan",homeless,3,3,False,True,1,0
kzoo,Gates of Vienna News Feed 9/27/2021,2021-09-28T00:00:00Z,Gates of Vienna,WWMT,66 Enrollment Drops at Seattle Public School That Houses Violent Homeless Encampment67 Principal Tipton Blish of the Broadview Thompson K-8 public school in Seattle admitted in an email that classrooms will need to be reorganized to due to plummeting enrollment. The school is currently home to a violent homeless encampment which has been growing for more than a year. 68 FL Sheriff Calls on Armed Homeowners to Blow Suspect Out the Door After Weekend Shooting69 Nassau County Sheriff Bill Leeper is calling on armed citizens in his county to blow 35-year-old Patrick McDowell out the door if he targets their home.,homeless,229,3,True,True,2,0
kzoo,Gates of Vienna News Feed 9/27/2021,2021-09-28T00:00:00Z,Gates of Vienna,WWMT,"The man who shot President Ronald Reagan in 1981 will be released unconditionally, a federal judge ruled Monday. 100 Seattle Fire Department Reports Over 900 Homeless Encampment Fires Since Start of the Year101 The city of Seattle has exceeded last years record-breaking number of homeless encampment fires that have since cultivated an extreme risk to public safety throughout the city. According to the Seattle Fire Department, over 900 encampment fires have been recorded this year alone, up from 2020s recorded number of 825.",homeless,229,4,True,True,2,1
kzoo,Patrick Lyoya's life mattered,2022-06-28T00:00:00Z,Newstex Blogs,WWMT,"You can make a donation to their cause here18. According to their website, they are currently working to open a childcare center and provide help with finding affordable housing solutions for its community members. They are also looking for volunteers and donations of household goods, including food and diapers.",affordable housing,59,3,True,True,1,0
kzoo,8 ways the coronavirus is more dangerous for veterans,2020-05-22T00:00:00Z,Newstex Blogs,WWMT,"Veterans are among the most hard-hit4, with heightened health and economic threats from the pandemic. These veterans face homelessness, lack of health care, delays in receiving financial support and even death. I have spent the past four years studying veterans with substance use and mental health disorders who are in the criminal justice system5.",homelessness,12,3,True,True,1,0
kzoo,8 ways the coronavirus is more dangerous for veterans,2020-05-22T00:00:00Z,Newstex Blogs,WWMT,"6. Complications for homeless veterans and those in the justice system An estimated 45,000 veterans28 are homeless on any given night, and 181,500 veterans29 are in prison or jail. Thousands more are under court-supervised substance use and mental health treatment in veterans treatment courts30. More than half31 of veterans involved with the justice system have either mental health problems or substance use disorders. As residential facilities close to new participants, many veterans eligible to leave prison or jail have nowhere to go. They may stay incarcerated or become homeless. Courts have moved online32 or ceased formal operations altogether, meaning no veteran charged with a crime can be referred to a treatment court.",homeless,66,7,True,True,1,0
