filename,date,paragraph,matched_words
12_01_2016_portland_meeting_minutes_combined.mp3.694d73c2-a2af-4375-b1ef-ee70ba6e71ea.Transcript.txt,12_01_2016,"in order to evaluate the progress we've made towards our shared affordable housing goals. The data within the 2016 report indicates that housing affordability in Portland in the last year has gotten worse. We know that this is an issue that disproportionately impacts low-income residents, communities of color, seniors, and individuals with disabilities.",affordable housing
12_01_2016_portland_meeting_minutes_combined.mp3.694d73c2-a2af-4375-b1ef-ee70ba6e71ea.Transcript.txt,12_01_2016,"As a council, we have taken incredible steps over this past year,  to increase and diversify the funding sources and tools we have to build and preserve affordable housing throughout our city. And I'd just like to take a moment to revisit and highlight a few of those steps. As a council, we voted to increase the funds dedicated to affordable housing in our urban renewal areas from 30% to 45%.",affordable housing
12_01_2016_portland_meeting_minutes_combined.mp3.694d73c2-a2af-4375-b1ef-ee70ba6e71ea.Transcript.txt,12_01_2016,"We released a $62 million solicitation for affordable housing proposals, the largest ever in the city's history. We established a construction excise tax dedicated to affordable housing and dedicated revenue from the lodging taxes of short-term rentals to affordable housing development and production. We all advocated tirelessly to lift the preemption on inclusionary zoning.",affordable housing
12_01_2016_portland_meeting_minutes_combined.mp3.694d73c2-a2af-4375-b1ef-ee70ba6e71ea.Transcript.txt,12_01_2016,"And we've worked hard over the past eight months gathering input and crafting an inclusionary housing program that we will have a hearing on next week. And our community has rallied around the issue of affordable housing, and together we passed a $258 million general obligation bond measure, the first bond measure in the city's history dedicated to affordable housing. We currently have almost 2,000 units, affordable housing units, in the pipeline.",affordable housing
12_01_2016_portland_meeting_minutes_combined.mp3.694d73c2-a2af-4375-b1ef-ee70ba6e71ea.Transcript.txt,12_01_2016,"And by in the pipeline, I mean either being permitted or in construction. And I expect that number to increase significantly in the coming years. With all of our great work being done to address the affordable housing crisis in our city, we must not lose sight of the reason why we do this work.",housing crisis; affordable housing
12_01_2016_portland_meeting_minutes_combined.mp3.694d73c2-a2af-4375-b1ef-ee70ba6e71ea.Transcript.txt,12_01_2016,"The actions that are mentioned, of course, the housing and homelessness emergency, even places like Los Angeles and the L.A. Times asked me what difference the housing emergency has made because they, of course, have declared a state of housing emergency in Los Angeles recently. The press can't tell what difference it has made. So I'm able to point to several actions where tangible resources have resulted from your declaration of action, including code amendments and citing standards for emergency shelters.",homelessness
12_01_2016_portland_meeting_minutes_combined.mp3.694d73c2-a2af-4375-b1ef-ee70ba6e71ea.Transcript.txt,12_01_2016,"You adopted the first step in additional tenant protections, which was ultimately upheld by action of the state legislature, and you've dedicated short-term rental revenues to affordable housing production and preservation. I might add that many cities are still debating whether or not to even tax short-term rentals. We're there.",affordable housing
12_01_2016_portland_meeting_minutes_combined.mp3.694d73c2-a2af-4375-b1ef-ee70ba6e71ea.Transcript.txt,12_01_2016,"We've led the way, and many people look at Portland as an example. Of course, we were...  disciplined, focused, and successful with the state legislature by working the 32 days out of the 35-day session to get the inclusionary zoning prohibition lifted after some 17 years, and worked diligently for over six months on the intergovernmental agreement with the chair of the Multnomah County Board of Commissioners to create the Joint Office of Homeless Services. As mentioned by Commissioner Saltzman, you enacted August 1st",homeless
12_01_2016_portland_meeting_minutes_combined.mp3.694d73c2-a2af-4375-b1ef-ee70ba6e71ea.Transcript.txt,12_01_2016,"effectively a construction excise tax, which inures to a housing investment fund, which is tapping the hydraulics of the private market with respect to commercial, industrial, and residential development to help provide offsetting resources for people otherwise priced out of Portland. And, of course, voters were given the prospect of the largest ever capital investment, a affordable housing bond, which was resoundingly supported, approving some $258.4 million for capital resources, which will be allocated in the next five years and spent within seven years. Could you remind me what the total amount of the construction excise tax is?",affordable housing
12_01_2016_portland_meeting_minutes_combined.mp3.694d73c2-a2af-4375-b1ef-ee70ba6e71ea.Transcript.txt,12_01_2016,"They have over 13,000 units of affordable housing available and available. suburban Bethesda, places like outside of Washington, D.C., and Montgomery County. Fairfax, Virginia instituted it somewhat later, 26 years ago, and they have about 8,000 units of housing currently in service.",affordable housing
12_01_2016_portland_meeting_minutes_combined.mp3.694d73c2-a2af-4375-b1ef-ee70ba6e71ea.Transcript.txt,12_01_2016,"The bond gives us that opportunity. And we've got to prepare people for the fact that if we're going to provide that housing to people at zero to 30, which to put the human face on it, as Dan often does, full-time minimum wage workers, an older adult on SSI, a formerly homeless family, they're going to be slightly more expensive because they have to come with a subsidy. But if we don't tackle that problem, then all the good work that you're doing at the bottom of this slide about getting people into shelter and to transitional housing falls short because we have a bottleneck, unless we have the units that they can move into permanently.",homeless
12_01_2016_portland_meeting_minutes_combined.mp3.694d73c2-a2af-4375-b1ef-ee70ba6e71ea.Transcript.txt,12_01_2016,"So the half-a-million-dollar house is a fleeting rarity in Portland, and we look at these trends with great concern because obviously folks are pushed to the very edges of the city, if not out of the county and out of the state entirely as they manage their own budgets and try to find affordable housing. Can I ask you a question off the slide? Yes, sir.",affordable housing
12_01_2016_portland_meeting_minutes_combined.mp3.694d73c2-a2af-4375-b1ef-ee70ba6e71ea.Transcript.txt,12_01_2016,"So, you know, I think we'll have time to do that. And we are recognizing that any system requires a bit of an adjustment. We've been very transparent and open about the changes, and people are hedging their bets by investing their resources now to get their projects permitted, but they may well choose to include affordable housing instead.  and will be ready for them when they want to negotiate a particular voluntary program.",affordable housing
12_01_2016_portland_meeting_minutes_combined.mp3.694d73c2-a2af-4375-b1ef-ee70ba6e71ea.Transcript.txt,12_01_2016,"Process improvements are quite important, and I don't want to underestimate the value of  the governmental accountability and transparency review that Mayor Hales and Commissioner Saltzman have initiated. Our goal was to reduce the throughput time so that as we increase funding for affordable housing, that we also shorten the review time. And we are seeing tangible results in that regard.",affordable housing
12_01_2016_portland_meeting_minutes_combined.mp3.694d73c2-a2af-4375-b1ef-ee70ba6e71ea.Transcript.txt,12_01_2016,"And certainly not least, the building on the current partnership with Multnomah County for the successful implementation of the Joint Office of Homeless Services is quite profound. And it should take and will take a significant amount of time in the upcoming year. So that's a preview of what we think are the next steps to respond to this continuing housing emergency.",homeless
12_01_2016_portland_meeting_minutes_combined.mp3.694d73c2-a2af-4375-b1ef-ee70ba6e71ea.Transcript.txt,12_01_2016,"Again, my major concern, again, is focusing on the 30 percent and below median income. I think we're beginning to really do that with the bond implementation that was approved last  and to really begin to focus on that area. Again, I'm looking at the chronic homeless.",homeless
