date,matched_words,Deidentified_paragraph
12_01_2016,affordable housing,"in order to evaluate the progress we've made towards our shared affordable housing goals. The data within the [ORGANIZATION] report indicates that housing affordability in [ORGANIZATION] in [LOCATION] has gotten worse. We know that this is an issue that disproportionately impacts low-income residents, communities of color, seniors, and individuals with disabilities."
12_01_2016,affordable housing,"As a council, we have taken incredible steps over [ORGANIZATION],  to increase and diversify the funding sources and tools we have to build and preserve affordable housing throughout our city. And I'd just like to take a moment to revisit and highlight a few of those steps. As a council, we voted to increase the funds dedicated to affordable housing in our urban renewal areas from 30% to 45%."
12_01_2016,affordable housing,"We released a $62 million solicitation for affordable housing proposals, the largest ever in the city's history. We established a construction excise tax dedicated to affordable housing and dedicated revenue from the lodging taxes of short-term rentals to affordable housing development and production. We all advocated tirelessly to lift the preemption on inclusionary zoning."
12_01_2016,affordable housing,"And we've worked hard over [ORGANIZATION] gathering input and crafting an inclusionary housing program that we will have a hearing on [LOCATION]. And our community has rallied around the issue of affordable housing, and together we passed a $258 million general obligation bond measure, the first bond measure in the city's history dedicated to affordable housing. We currently have almost 2,000 units, affordable housing units, in the pipeline."
12_01_2016,housing crisis; affordable housing,"And by in the pipeline, I mean either being permitted or in construction. And I expect that number to increase significantly in [ORGANIZATION]. With all of our great work being done to address the affordable housing crisis in our city, we must not lose sight of the reason why we do this work."
12_01_2016,homelessness,"The actions that are mentioned, of course, the housing and homelessness emergency, even places like [ORGANIZATION] and [ORGANIZATION] asked me what difference the housing emergency has made because they, of course, have declared a state of housing emergency in [ORGANIZATION] recently. The press can't tell what difference it has made. So I'm able to point to several actions where tangible resources have resulted from your declaration of action, including code amendments and citing standards for emergency shelters."
12_01_2016,affordable housing,"You adopted the first step in additional tenant protections, which was ultimately upheld by action of the state legislature, and you've dedicated short-term rental revenues to affordable housing production and preservation. I might add that many cities are still debating whether or not to even tax short-term rentals. We're there."
12_01_2016,homeless,"We've led the [STREET], and many people look at [ORGANIZATION] as an example. Of course, we were...  disciplined, focused, and successful with the state legislature by working [ORGANIZATION] out of the DATE1 session to get the inclusionary zoning prohibition lifted after DATE2, and worked diligently for [ORGANIZATION] on the intergovernmental agreement with the chair of [ORGANIZATION] to create ORG1. As mentioned by Commissioner [PERSON], you enacted DATE4"
12_01_2016,affordable housing,"effectively a construction excise tax, which inures to a housing investment fund, which is tapping the hydraulics of the private market with respect to commercial, industrial, and residential development to help provide offsetting resources for people otherwise priced out of [ORGANIZATION]. And, of course, voters were given the prospect of the largest ever capital investment, a affordable housing bond, which was resoundingly supported, approving some $258.4 million for capital resources, which will be allocated in [ORGANIZATION] and spent within [LOCATION]. Could you remind me what the total amount of the construction excise tax is?"
12_01_2016,affordable housing,"They have over 13,000 units of affordable housing available and available. suburban [ORGANIZATION], places like outside of [PERSON], [ORGANIZATION], and [PERSON]. GPE4, [PERSON] instituted it somewhat later, [ORGANIZATION], and they have about 8,000 units of housing currently in service."
12_01_2016,homeless,"The bond gives us that opportunity. And we've got to prepare people for the fact that if we're going to provide that housing to people at zero to 30, which to put the human face on it, as [ORGANIZATION] often does, full-time minimum wage workers, an older adult on SSI, a formerly homeless family, they're going to be slightly more expensive because they have to come with a subsidy. But if we don't tackle that problem, then all the good work that you're doing at the bottom of this slide about getting people into shelter and to transitional housing falls short because we have a bottleneck, unless we have the units that they can move into permanently."
12_01_2016,affordable housing,"So the half-a-million-dollar house is a fleeting rarity in [ORGANIZATION], and we look at these trends with great concern because obviously folks are pushed to the very edges of the city, if not out of the county and out of the state entirely as they manage their own budgets and try to find affordable housing. Can I ask you a question off the slide? Yes, sir."
12_01_2016,affordable housing,"So, you know, I think we'll have time to do that. And we are recognizing that any system requires a bit of an adjustment. We've been very transparent and open about the changes, and people are hedging their bets by investing their resources now to get their projects permitted, but they may well choose to include affordable housing instead.  and will be ready for them when they want to negotiate a particular voluntary program."
12_01_2016,affordable housing,"Process improvements are quite important, and I don't want to underestimate the value of  the governmental accountability and transparency review that Mayor [PERSON] and Commissioner [PERSON] have initiated. Our goal was to reduce the throughput time so that as we increase funding for affordable housing, that we also shorten the review time. And we are seeing tangible results in that regard."
12_01_2016,homeless,"And certainly not least, the building on the current partnership with [ORGANIZATION] for the successful implementation of [ORGANIZATION] is quite profound. And it should take and will take a significant amount of time in [ORGANIZATION]. So that's a preview of what we think are the next steps to respond to this continuing housing emergency."
12_01_2016,homeless,"Again, my major concern, again, is focusing on the 30 percent and below median income. I think we're beginning to really do that with the bond implementation that was approved last  and to really begin to focus on that area. Again, I'm looking at the chronic homeless."
12_01_2016,affordable housing,"Every city that does get an affordable housing bond, I would like him to match dollar for dollar on that housing bond. I'd like him to look at that very close. There's nobody that's been elected as a president who knows more about housing, building housing, development, financing than President-elect [ORGANIZATION]."
12_01_2016,affordable housing,"I'm with [ORGANIZATION]. We're a statewide association of affordable housing and community development nonprofits. I just wanted to come and thank you for this really important report and for shining the light on the affordability crisis and the stark racial disparities, the ones that are unacceptable and worsening in our city, both for rental housing and also for homeownership opportunity."
12_01_2016,homeless,"So I think that's something that we're going to have to remember, that that means that only 39% of renters actually are able to use transit or walk or bicycle. And we've got to plan for that at the same time as looking at  at housing units being big enough for families, recognising that some of the numbers are hidden in here because there's some cultures where there's a lot of people living in a single unit who actually would otherwise be homeless or in a shelter. So it's helpful to know the numbers, to see what progress we've made, and to give us even more intent to continue working until we get this."
12_01_2016,homelessness,"There are all kinds of ways to suffer from traffic collisions. I work in social services and [ORGANIZATION] talk to families on [ORGANIZATION] cash assistance or food stamps because a car crash has resulted injuries, lost jobs, homelessness, loss of transportation, addiction, and mental health problems. You passed a resolution to work toward [ORGANIZATION], and I ask that you continue in that endeavor."
11_08_2018,affordable housing,"We were, Commissioner [PERSON] and I, were at the ribbon-cutting ceremony for the new FAC0 in northeast [ORGANIZATION]. This is the first affordable housing project that is actually opened under [ORGANIZATION]. So it's a great milestone for the city of [ORGANIZATION], but I do apologize for my tardiness."
11_08_2018,affordable housing,"Thank you. PERSON0, can you please read the first item? Item [DATE], amend ordinance for interim use of the multiple unit limited tax exemption program for affordable housing in housing developments not subject to inclusionary housing to be in accord with [ORGANIZATION] modifications."
11_08_2018,affordable housing,"So just for some background and clarification that [ORGANIZATION] already covered a little bit, when inclusionary housing went into effect in [ORGANIZATION], it included use of the multi-program as one of the financial incentives provided to help offset the affordable housing being included in the new construction of new developments. And in [LOCATION] and then in [DATE], the city and county adopted a rolling cap on the amount of foregone revenue available for use with the multi-program, which kept the original $[ADDRESS] but allowed it to adjust to any housing surges, any cycles of development that increase during a given [ORGANIZATION] period. And as [ORGANIZATION] mentioned, in [DATE] we were here before you to adopt the multi-program for use of, for projects prior to the inclusionary housing."
11_08_2018,affordable housing,"Women voting was not constitutional, but we addressed it. It may be a heavy lift, but for the sake of our city and our state, bold decisions need to be made and work needs to be done. We just passed a constitutional amendment for affordable housing."
11_08_2018,homelessness,"The city could solve the homelessness issue, the [STREET] brawls, and the alleged need for more police all at once by asking its citizens to send 60% of their federal tax money to local causes instead of diverting it to weapons of war. The impulse to do something without a deep look at how differently it will affect democracy is the hallmark of a certain other elected leader,  who is now in [ORGANIZATION]. [ORGANIZATION] can do better than this, and we must."
11_08_2018,houseless,"[ORGANIZATION] commits violence against black, trans, people of color, immigrant, and houseless community members. It comes to the aid of white nationalist groups. [ORGANIZATION] is indeed a brand and a tourist destination."
11_08_2018,houseless,"I'd like to know why it is that money is being wasted on things like this, and by useless ordinances, when people are out on the streets dying on the sidewalks that are houseless. You sat here and you watched this woman cry in this very chair [ORGANIZATION], and did not know what to do with her. I applaud you for going out in the hallway and talking to her."
11_08_2018,houseless,"I encourage you to do that. In the country where some genius crunched the numbers, okay, of all the houseless people nationwide, you can house each and every houseless person 28 times each. My friends are literally dying on the sidewalk right now, and you're holding a meeting about this?"
10_09_2019,houseless,"This included a former cop, [ORGANIZATION], urban and forest firefighter who volunteers [ORGANIZATION] for over [DATE] to help people who are houseless, including preparing meals. He delivers to our houseless neighbors living near FAC0. We have four high school search and rescue volunteer first aiders."
10_09_2019,houseless,Panthers also support sensible gun laws to ban assault weapons and ban high capacity magazines. We support the [ORGANIZATION] boycott to end gun violence. Panthers support housing the houseless in our city and we support diversity and equity code changes.
12_02_2015,affordable housing,"That's why I wanted to cue this up, because if there's a chance that there's –  majority or better yet a consensus of the council to move forward on this I'm certainly willing to take more time on the old measure twice cut one proposition if there's simply not a majority of the council that wants to do this ever then I need to know that and that's that's an acceptable outcome though I think again the question will arise if we're not going to do this and  and we're not going to do nothing, what are we going to do to deal with the pace of demolitions and the loss of architectural character in our neighborhoods? And what are we going to do to provide funding for affordable housing? Because this is the first actual new revenue for affordable housing that we've come up with so far."
12_02_2015,affordable housing,"It's very enticing to find a new reliable source of revenue for affordable housing. By just saying that, it's indicative that actually this won't stop that many demolitions and that there will be a sizable chunk of change for affordable housing. It doesn't seem reasonable to me to pay for affordable multifamily housing by making single-family housing even more unaffordable."
12_02_2015,affordable housing,"One is a demolition of an older house to make [STREET] for affordable housing. And then we...  One of the things we've tried to encourage, we have different criteria for the applications, and one of them is how are you being innovative? So what are you doing to save time and reduce costs?"
12_02_2015,affordable housing,"uh these three projects reflect the total of 409 units 20 of which will be affordable units 27 will be affordable to households at 60 percent of median family income and 55 will be affordable to households below 80 percent of median family income these projects are also located in amenity rich areas of the city which we just where we desperately need more affordable housing  Two of the projects are located in [ORGANIZATION] in the FAC0 area, and one is in the [PERSON] neighborhood. In addition to providing affordability, all of the projects include universal design accessibility features, and 5% of the affordable units will be fully adaptable. Additionally, the developers of all three proposed projects have entered into technical assistance contracts with experts in minority contracting."
12_02_2015,affordable housing,"Is that your intent following [ORGANIZATION] of experience with these new guidelines to do a review and come back to us with any suggestions you might have for refinement? That's correct. I think in this market in particular, it's very critical that we are constantly monitoring the effectiveness of not just the multi-program, but all of our affordable housing programs, and if there's opportunities for revisions or tweaks, that we're aware of those and tracking that possibility."
12_02_2015,affordable housing,"He's thrilled to be living in a [STREET] where the services he needs to access are close. He doesn't have to travel very far to get services. And working with one more, having a [STREET] that gives vets priority to  And just having the access to that affordable housing piece is huge, especially to our organization that works with people who are all under that stress."
12_02_2015,affordable housing,"We've worked closely with [ORGANIZATION] over [ORGANIZATION] on their four mixed-use projects, totaling over 300 units of apartments they'll begin building in [LOCATION]. They've been responsive to many of our requests, and they will be an asset to our neighborhood. Awarding the multi-grant [ORGANIZATION] has applied for is a concrete action the city can take now, which will provide 57 affordable housing units in [ORGANIZATION]."
12_02_2015,affordable housing,"We also recognize the need for and support significant investment in a variety of affordable housing types in [ORGANIZATION] and citywide, including single-family home ownership, home repair, housing for families, veterans, and seniors, and assistance for first-time moderate-income homebuyers. We urge the [ORGANIZATION] to vote in support of ORG1 multi-grant application. Thank you."
10_12_2017,homeless,The buildings are too high to allow sun access and the view of the sky. The purple [ORGANIZATION] has almost disappeared. The tunnel connecting the courtyard and the park is too low and will be unfriendly and encourage homeless and social problems.
10_12_2017,affordable housing,"There are already too many market rate units. In addition, there's plenty of room in the Conway Master Plan for more housing than you can imagine with the FAR that's supposed to be moved there from this site and elsewhere. Finally, you have the promise of affordable housing."
10_12_2017,affordable housing,"Well, the affordable housing that's going into this program only has a [ORGANIZATION] commitment. So there's a [ORGANIZATION] commitment for affordable housing that will do harm to a DATE1 square. That's not the right balance."
10_12_2017,affordable housing,"The first is the ongoing disagreement about how to best solve the problem of the competing burdens that are placed on this property. The second is a series of arguments that are outside the actual legal criteria of the case, and I'd like to spend [TIME] with those because they attempt to set up a straw man, knock them down, and claim that means something, and I'd like to talk about those four points so we can make sure they don't distract from the central issues in the case. The first is the often repeated claim, which is in the appeal, that the applicant is driven by a goal of avoiding the city's affordable housing requirements."
10_12_2017,affordable housing,"Call it what you want, [ORGANIZATION] has a housing shortage. We have a significant shortage of affordable housing, nowhere near enough to meet current or future demand. We intend to build 200 apartments right at the future streetcar stop and still leave 65% of the site open to the public."
10_12_2017,affordable housing,"You already approved our multi-affordable housing proposal, and now 40 units are designated for households at or below 80% area median income. For those households, rents will be discounted 37% to 56%, representing $400 to $1,500 [DATE] in rent. For how long would that be?"
10_12_2017,housing crisis,"And while with the development we'll be extremely challenged by the lack of parking in the neighborhood, we also realize it's critical to [ORGANIZATION]'s future to solve the housing crisis in [PERSON] and beyond. While I'm not an expert on squares or the master plan, we support buildings that are part of the solution to the housing shortage. With a range of rents, including the inclusionary housing for families earning 80% of the [PERSON] median family income,  The development provides options to [PERSON]ers looking for stable housing, potentially including some of our employees."
10_12_2017,affordable housing,"It goes without saying the central dilemma of our affordable housing challenge is that housing costs more than local wages and have the power to buy or rent. It is a wage problem at one end. In the case of [ORGANIZATION] markets, a problem is strong demand for external equity and wealth on the other."
10_12_2017,affordable housing,"Inevitably, it boils down to math. For us, affordable housing for our [TIME] workforce is our biggest concern. We frequently have more than 20 positions that we cannot fill because of lack of rentals.  but stable housing for all Oregonians will lead to community resilience and a strong foundation for our business."
10_12_2017,homeless,"Now, you will have some issues like we're having right now because of the homeless situation. But generally, it can be managed. But I do think that it certainly opens up the neighborhood."
10_12_2017,affordable housing,"And I think the idea of opening up to the park, participating in the kind of events that would take [STREET], I think it's very engaging. The only other comment I'd have is that, if anything, I've learned in [ORGANIZATION] –  Is any nook and cranny anywhere we can find affordable housing, we need to get it. And we need to get as much of it as we can."
10_12_2017,affordable housing,"Having been charged with building out a number of master plans, I have been humbled by things called market timing, access to capital, private sector decision-making. The best of intentions, we're still going to build things out in a [STREET] that is flexible and is market-driven. And the best example of that on the negative end is how few cranes we had in the air during the recession, how difficult it was to do affordable housing."
10_12_2017,affordable housing,"So I'd like to just discuss the issue for me. I mean, we were told that we need this housing, therefore the public benefit outweighs the public damage. But the affordable housing is paid for by the tax abatement, and it's on the whole building, and it's not all that affordable anyway at 80%."
10_12_2017,affordable housing,"Well, I'm just on the issue. On the discussion point of view, I would agree with you, Commissioner [PERSON]. There is a benefit to the developer by doing the affordable housing."
10_12_2017,affordable housing,"I'm excited about the plaza. I'm happy we'll get some affordable housing. I agree with Commissioner [PERSON] and [PERSON], though, that we really do have a glut of market and luxury rate units."
11_29_2018,affordable housing,"Commissioners, I'm [PERSON], co-chair of [ORGANIZATION]. Affordable housing and historic preservation are not mutually exclusive. We're here to tell you we support high-density housing throughout northwest [ORGANIZATION]."
11_29_2018,housing crisis; affordable housing,"[ORGANIZATION] is responsible for supporting affordable housing and protecting historic resources, which is the dilemma of the case you have in front of you here [ORGANIZATION]. And we believe you can balance these goals and that by doing so will ensure integrity, livability, and the continued special character of [ORGANIZATION]. And in the context of a housing crisis that is [LOCATION] in the making, [ORGANIZATION] is proud to have supported the over 3,500 new housing units that have been built in the neighborhood since DATE2."
11_29_2018,affordable housing,"Not directly in the approval criteria, but certainly in the [STREET] this proposal has been presented, discussed, reviewed, and considered. Discussion of affordable housing has pervaded all aspects of this case, and even in the wording of the approval, and even in [TIME] of discussion this council has had. Well, the affordability-"
11_29_2018,affordable housing,"The inclusionary housing would require that 20% of the units be at 80% of median family income. But we think that their proposal that all of them be at 60% of MFI has colored all of us, all of our perceptions of this project, and has made us...  less harsh in our judgment of it because we know that the need for affordable housing is so dire. But we are concerned that if, for example, they were unable to get funding because they have not yet secured funding, if they weren't able to get funding, that approval would be sitting there and another developer could come along and say, oh wait, we got this approval, let's build this for market rate."
11_29_2018,affordable housing,"But make no mistake about it, there's not a single person that doesn't want development on that site, not a single person that's happy that [ORGANIZATION] will be seismically upgraded and rehabilitated, and not a single person that doesn't want truly affordable housing there or affordable in the sense that it's cheaper than normal. There's more background. This is all on the record."
11_29_2018,affordable housing,"They certainly disregarded their criteria in terms of scope and compatibility, and I really hope you will come out and walk this block. This is the treasure of [ORGANIZATION], and what is proposed there, in terms of scale and compatibility, it's a monstrosity. I support affordable housing, and the other part of my argument is, and I believe I'm allowed to say this, I think this is a bait-and-switch argument."
11_29_2018,affordable housing,"We need affordable housing, and this site would be great for affordable housing. But there are no deed restrictions and there are no conditions here that would require these people to do anything other than say, we're going to give you affordable housing. They're going to give you market rate bait and switch."
11_29_2018,affordable housing,"And I, as a taxpayer who believes that every neighborhood has a responsibility to provide affordable housing,  Let's make sure we can get it there. And it would be nice if it didn't look like a woman's prison, but I think it could be great, and I hope you'll stand firm and apply the law and reject this proposal and let them rework it so that it could be.  and have affordable housing in it. Thank you."
11_29_2018,affordable housing,"So was there anything else that was in your email that you wanted to make sure the council is aware of? I primarily had the two arguments because having attended a number of meetings, I never really understood that they were going to push the affordable housing. And when [ORGANIZATION] said,  approved this, I was flabbergasted because the testimony was so strong that they were totally not meeting any of the criteria for this building."
11_29_2018,affordable housing,"My historic buildings are fragile. We've testified in front of [ORGANIZATION] several times, and they've concurred with us time and again until it was announced that the new construction would be used for affordable housing. Nowhere in the Standards for Rehabilitation grants exceptions to the covenants based on who the tenants are."
11_29_2018,affordable housing,"The standards are so restrictive, I'm not allowed to make major changes to my buildings due to their historic status. And the historic rentals are the last bastion of affordable housing in that area. My top rent for a two-bedroom is $1,650 a month."
11_29_2018,affordable housing,"Okay. My name is [ORGANIZATION], and I live across the [STREET] in one of the [PERSON] homes. I want you to know that I'm an ardent supporter of affordable housing, have been so for [ORGANIZATION]."
11_29_2018,homeless; affordable housing,"I've worked in the field. I have been an affordable housing consultant, a housing and homeless services manager at the state, and a director of permanent supportive housing evaluation project, and have talked to a lot of – as part of my job, talked to a lot of people that live in housing. I'm asking that you reverse the [ORGANIZATION] decision and deny the proposed design."
