city,article_title,article_date,article_source,city_source,paragraph_text,keywords_matched
portland,Mayoral candidate's homeless plan takes words from rival,2016-03-01T00:00:00Z,Associated Press State & Local,The Oregonian,"PORTLAND, Ore. AP - Portland mayoral candidate Ted Wheelers new plan to tackle homelessness includes two statements plagiarized from his rival, Jules Bailey, plus two other phrases with very similar language.",homelessness
portland,Mayoral candidate's homeless plan takes words from rival,2016-03-01T00:00:00Z,Associated Press State & Local,The Oregonian,"Homelessness and affordable housing have become a driving theme in this years race to replace Mayor Charlie Hales, who recently sanctioned tent camping. In December, Wheeler pledged that all homeless Portlanders would have access to indoor shelter by 2019 and he promised to release a more comprehensive homelessness plan later in the campaign season.","homeless, homelessness, affordable housing"
portland,Mayoral candidate's homeless plan takes words from rival,2016-03-01T00:00:00Z,Associated Press State & Local,The Oregonian,"Earlier this month, Wheelers advisors were trading emails about how to respond to questions from a media outlet about homelessness. On Feb. 14, Julie Edwards of Storefront Political Media suggested that the answers could be the foundation of Wheelers overarching plan, according to an email provided by Cox.",homelessness
portland,Mayoral candidate's homeless plan takes words from rival,2016-03-01T00:00:00Z,Associated Press State & Local,The Oregonian,"Asked why Baileys statements were included in the February email chain about Wheelers homelessness plan, Cox said Just to review what our opponent was saying.",homelessness
portland,Editorials from around Oregon,2018-09-12T00:00:00Z,Associated Press State & Local,The Oregonian,"The Register-Guard, Sept 12, on candidates executing plans on homelessness",homelessness
portland,Editorials from around Oregon,2018-09-12T00:00:00Z,Associated Press State & Local,The Oregonian,"Gov. Kate Brown and challenger Knute Buehler have both unveiled plans to reduce homelessness in Oregon. They deserve credit for elevating homelessness to a top issue in the governors race. Their solutions, if implemented, will resonate throughout Oregon, including Lane County. One study said the county had one of the nations highest rates of homelessness. But the Boston-based Technical Assistance Collaborative, which is analyzing the countys homelessness and need for shelter beds, said the county also has a remarkable level of community engagement in the issue of homelessness. This is a unique asset.",homelessness
portland,Editorials from around Oregon,2018-09-12T00:00:00Z,Associated Press State & Local,The Oregonian,"In Browns homelessness plan, she uses Lane County as a positive example. Indeed, the Statesman Journal newspaper in Salem editorialized this summer that Eugene was doing far more on homelessness than the state capital was. But much more must be done... in Eugene, Springfield and elsewhere. And while it is tempting to compare the candidates competing proposals, such comparisons would be inaccurate, irrelevant and ultimately inconclusive. The reasons are managerial, political and economic.",homelessness
portland,Editorials from around Oregon,2018-09-12T00:00:00Z,Associated Press State & Local,The Oregonian,"State action on homelessness hinges on the central issue in the governors race. Would Democratic Gov. Kate Brown or Republican Rep. Knute Buehler be the more effective leader? The governors most important role arguably is as CEO of state government. That requires the wisdom to hire effective staff, including agency directors the leadership to get state agencies working in the same direction and the tenacity to keep atop that work instead of jumping from priority to priority. Candidates always campaign on their vision for the state. The electorate must assess whether they have the skills, expertise and experience to convert that vision into reality, whether on homelessness or any other issue.",homelessness
portland,Editorials from around Oregon,2018-09-12T00:00:00Z,Associated Press State & Local,The Oregonian,"Regardless of what the governor proposes, the Legislature controls the purse strings and passes the laws that govern state policy. The governor must negotiate with the Legislature, the members of which have their own priorities. Lawmakers could agree with the governor. Or, as often happens, they could revise or even ignore the governors priorities. The strength of the governors leadership, along with the political composition of the Legislature, will greatly affect whether a governors homeless plan becomes reality.",homeless
portland,Editorials from around Oregon,2018-09-12T00:00:00Z,Associated Press State & Local,The Oregonian,Oregons housing crisis,housing crisis
portland,Editorials from around Oregon,2018-09-12T00:00:00Z,Associated Press State & Local,The Oregonian,"Homelessness can involve a number of issues, from mental illness and substance abuse to a lack of family-wage jobs and affordable housing. Both Brown and Buehler seem to be taking an enlightened approach, recognizing the value of getting the homeless into supportive housing instead of first expecting them to clean up their act. Both also stress the need for affordable housing.","homeless, homelessness, affordable housing"
