city,article_title,article_date,article_source,city_source,paragraph_text,keywords_matched,original_count,processed_count,was_shortened,used_sentence_method,segment_count,segment_index
portland,Mayoral candidate's homeless plan takes words from rival,2016-03-01T00:00:00Z,Associated Press State & Local,The Oregonian,"PORTLAND, Ore. AP - Portland mayoral candidate Ted Wheelers new plan to tackle homelessness includes two statements plagiarized from his rival, Jules Bailey, plus two other phrases with very similar language.",homelessness,1,1,False,True,1,0
portland,Mayoral candidate's homeless plan takes words from rival,2016-03-01T00:00:00Z,Associated Press State & Local,The Oregonian,"Homelessness and affordable housing have become a driving theme in this years race to replace Mayor Charlie Hales, who recently sanctioned tent camping. In December, Wheeler pledged that all homeless Portlanders would have access to indoor shelter by 2019 and he promised to release a more comprehensive homelessness plan later in the campaign season.","homeless, homelessness, affordable housing",2,2,False,True,1,0
portland,Mayoral candidate's homeless plan takes words from rival,2016-03-01T00:00:00Z,Associated Press State & Local,The Oregonian,"Earlier this month, Wheelers advisors were trading emails about how to respond to questions from a media outlet about homelessness. On Feb. 14, Julie Edwards of Storefront Political Media suggested that the answers could be the foundation of Wheelers overarching plan, according to an email provided by Cox.",homelessness,2,2,False,True,1,0
portland,Mayoral candidate's homeless plan takes words from rival,2016-03-01T00:00:00Z,Associated Press State & Local,The Oregonian,"Asked why Baileys statements were included in the February email chain about Wheelers homelessness plan, Cox said Just to review what our opponent was saying.",homelessness,1,1,False,True,1,0
portland,Editorials from around Oregon,2018-09-12T00:00:00Z,Associated Press State & Local,The Oregonian,"The Register-Guard, Sept 12, on candidates executing plans on homelessness",homelessness,1,1,False,True,1,0
portland,Editorials from around Oregon,2018-09-12T00:00:00Z,Associated Press State & Local,The Oregonian,"Gov. Kate Brown and challenger Knute Buehler have both unveiled plans to reduce homelessness in Oregon. They deserve credit for elevating homelessness to a top issue in the governors race. Their solutions, if implemented, will resonate throughout Oregon, including Lane County. One study said the county had one of the nations highest rates of homelessness. But the Boston-based Technical Assistance Collaborative, which is analyzing the countys homelessness and need for shelter beds, said the county also has a remarkable level of community engagement in the issue of homelessness. This is a unique asset.",homelessness,6,6,True,True,1,0
portland,Editorials from around Oregon,2018-09-12T00:00:00Z,Associated Press State & Local,The Oregonian,"In Browns homelessness plan, she uses Lane County as a positive example. Indeed, the Statesman Journal newspaper in Salem editorialized this summer that Eugene was doing far more on homelessness than the state capital was. But much more must be done... in Eugene, Springfield and elsewhere. And while it is tempting to compare the candidates competing proposals, such comparisons would be inaccurate, irrelevant and ultimately inconclusive. The reasons are managerial, political and economic.",homelessness,5,5,False,True,1,0
portland,Editorials from around Oregon,2018-09-12T00:00:00Z,Associated Press State & Local,The Oregonian,"State action on homelessness hinges on the central issue in the governors race. Would Democratic Gov. Kate Brown or Republican Rep. Knute Buehler be the more effective leader? The governors most important role arguably is as CEO of state government. That requires the wisdom to hire effective staff, including agency directors the leadership to get state agencies working in the same direction and the tenacity to keep atop that work instead of jumping from priority to priority. Candidates always campaign on their vision for the state. The electorate must assess whether they have the skills, expertise and experience to convert that vision into reality, whether on homelessness or any other issue.",homelessness,6,6,True,True,1,0
portland,Editorials from around Oregon,2018-09-12T00:00:00Z,Associated Press State & Local,The Oregonian,"Regardless of what the governor proposes, the Legislature controls the purse strings and passes the laws that govern state policy. The governor must negotiate with the Legislature, the members of which have their own priorities. Lawmakers could agree with the governor. Or, as often happens, they could revise or even ignore the governors priorities. The strength of the governors leadership, along with the political composition of the Legislature, will greatly affect whether a governors homeless plan becomes reality.",homeless,5,5,False,True,1,0
portland,Editorials from around Oregon,2018-09-12T00:00:00Z,Associated Press State & Local,The Oregonian,Oregons housing crisis,housing crisis,1,1,False,True,1,0
portland,Editorials from around Oregon,2018-09-12T00:00:00Z,Associated Press State & Local,The Oregonian,"Homelessness can involve a number of issues, from mental illness and substance abuse to a lack of family-wage jobs and affordable housing. Both Brown and Buehler seem to be taking an enlightened approach, recognizing the value of getting the homeless into supportive housing instead of first expecting them to clean up their act. Both also stress the need for affordable housing.","homeless, homelessness, affordable housing",3,3,False,True,1,0
portland,Editorials from around Oregon,2018-09-12T00:00:00Z,Associated Press State & Local,The Oregonian,"As Register-Guard reporter Christian Hill explored Rough time for renters in Eugene-Springfield, Sept. 5, many residents have difficulty finding rental homes or apartments they can afford. That is backed up by a study that found Lane County residents had the fourth-highest housing cost burden in Oregon. The median household income in the county also trails the state median income. The lack of affordable housing is a serious problem throughout Oregon, whether urban or rural.",affordable housing,4,4,False,True,1,0
portland,Editorials from around Oregon,2018-09-12T00:00:00Z,Associated Press State & Local,The Oregonian,"Buehler has called for a state summit on homelessness, but the aspect of affordable housing deserves a summit of its own. Society, including government, must make it worthwhile for builders and financiers to invest in affordable and middle-income housing. Gubernatorial and legislative candidates, as well as incumbent politicians, must ask whether state and local tax, building and land-use regulations encourage or discourage such development.","homelessness, affordable housing",3,3,False,True,1,0
portland,Editorials from around Oregon,2018-09-12T00:00:00Z,Associated Press State & Local,The Oregonian,"That is a small example, and certainly not a finite answer to homelessness. But it illustrates how the challenges of homelessness and housing have ramifications far beyond the proposals laid down by Brown and Buehler.",homelessness,2,2,False,True,1,0
portland,The Past 2 Years Have Left Portland Reeling. What Kind of Recovery Comes Next?,2021-10-05T00:00:00Z,The Nation Blogs,The Oregonian,"Dramatic clashes between protesters and law enforcement provided the opportunity for right-wing politicians and media to depict the city as besieged by violent anarchists and, as Donald Trump claimed, ablaze all the time. Commenters linked Portlands protest movement to homelessness and rising gun violence, marshaling it all as evidence of a city in precipitous decline.5 Now, with civic leaders focused on economic recovery, advocates are concerned that efforts to rehabilitate Portlands brand may eclipse the tentative steps taken toward reform. The pandemic, the protests, and a series of climate-related crises exposed major fault lines in Portland, from public safety and racial inequity to gentrification and homelessness. Wheeler, who is regularly accosted when he goes out in public, is facing a recall campaign5. Business leaders have pressed city officials to be more aggressive in their treatment of protesters and in clearing homeless encampments. Gun violence has fueled calls for reinvestment in Portlands police force and the reinstatement of some of the disbanded units. During the weekend of the downtown reopening, FBI agents and members of a new police unit coordinated to provide a high-visibility presence6a potent illustration of how the winds have shifted.6 We really are a tale of two cities, said Hardesty, who has led police reform efforts on the City Council. One is a city that would like to flip a switch and pretend that the last 15 months didnt happenlike, Lets just clean up the graffiti, get the trash up, and move all the houseless people so we can look like everythings back to normal. And then you have another city that understands we have to fundamentally, radically change a lot of our systems.7 Current Issue many Portland residents, I have fielded a number of questions about how safe the city is from friends living elsewhere.","homeless, homelessness, affordable housing, unhoused, houseless",184,10,True,True,7,0
portland,The Past 2 Years Have Left Portland Reeling. What Kind of Recovery Comes Next?,2021-10-05T00:00:00Z,The Nation Blogs,The Oregonian,"Shootings were rising, and in June, dozens of people died during an unprecedented heat wave. The fact that some 4,000 people lacked housing became impossible to ignore as the city paused its regular sweeps of homeless encampments7 and tents became more visible. The weakness of the states mental health care system became starker, too There were few sources of help that residents could call during encounters with people in the midst of a crisis.9 Many of these challenges are not unique to Portland.","homeless, homelessness, affordable housing, unhoused, houseless",184,3,True,True,7,1
portland,The Past 2 Years Have Left Portland Reeling. What Kind of Recovery Comes Next?,2021-10-05T00:00:00Z,The Nation Blogs,The Oregonian,"New York Times columnist Nicholas Kristof, who is considering a run for Oregon governor, decried10 a lack of law and order in the city.11 In May, The Oregonian published the results of a poll of metro area residents and their views on downtown Portland. Destroyed, trashed, riots, and homelessness were some of the words frequently used, according to the main story11. Yet 45 percent of the respondents hadnt been downtown at all since the onset of the pandemic, suggesting that what was driving many of these opinions was not experience but media coverage.","homeless, homelessness, affordable housing, unhoused, houseless",184,3,True,True,7,2
portland,The Past 2 Years Have Left Portland Reeling. What Kind of Recovery Comes Next?,2021-10-05T00:00:00Z,The Nation Blogs,The Oregonian,"Today, white families in Portland make more than twice13 what Black families do, while the school district suspends and expels Black students four to five times more often than white students. Once you start peeling back the realities, said Donovan Smith, a vice chair of the Portland chapter of the NAACP, this has been a state that has been so hostile towards Black people, and there should be anger from a lot of people.15 Means of survival Homelessness in Portland has become far more visible since the pandemic began. The city has created safe rest villages in response.","homeless, homelessness, affordable housing, unhoused, houseless",184,3,True,True,7,3
