created_at,user_location,tweet_geo,tweet_country,place_type,is_retweet,keywords_matched,Deidentified_text
2024-12-31T23:53:59.000Z,Oregon,,,,True,,"[ORGANIZATION]: In [ORGANIZATION],  especially around [P[ORGANIZATION]SON].   It appears that more than 70% of our [ORGANIZATION] visits &amp; [ORGANIZATION] is being used by o…"
2024-12-31T23:52:57.000Z,"Oregon, USA",,,,True,"homeless, homelessness","[ORGANIZATION] is “a piece of cake” DATE0 I was in downtown [ORGANIZATION], [PERSON] on [LOCATION] and inte…"
2024-12-31T23:51:12.000Z,"Austin, TX",,,,True,"homeless, homelessness","[ORGANIZATION] is “a piece of cake” DATE0 I was in downtown [ORGANIZATION], [PERSON] on [LOCATION] and inte…"
2024-12-31T23:44:49.000Z,PNW,,,,True,"homeless, homelessness","[ORGANIZATION] is “a piece of cake” DATE0 I was in downtown [ORGANIZATION], [PERSON] on [LOCATION] and inte…"
2024-12-31T23:43:08.000Z,"Oregon, USA",,,,True,"homeless, homelessness","[ORGANIZATION] is “a piece of cake” DATE0 I was in downtown [ORGANIZATION], [PERSON] on [LOCATION] and inte…"
2024-12-31T23:41:14.000Z,Wa. st. USA,,,,True,"homeless, homelessness","[ORGANIZATION] is “a piece of cake” DATE0 I was in downtown [ORGANIZATION], [PERSON] on [LOCATION] and inte…"
2024-12-31T23:41:09.000Z,PNW,,,,False,homeless,[PERSON] at a hospital with a lot of homeless around and caught one gal in our office going through our parts bin then we asked her to leave and she said she was from [ORGANIZATION] and got raped a lot . Drugs are easy to get here in [PERSON].
2024-12-31T23:38:04.000Z,,,,,True,"homeless, homelessness","[ORGANIZATION] is “a piece of cake” DATE0 I was in downtown [ORGANIZATION], [PERSON] on [LOCATION] and inte…"
2024-12-31T23:31:30.000Z,"Treasure Valley, ID",,,,False,homeless,"[[ORGANIZATION] from lifted trucks, but not mentally ill, drug addled homeless people sh!tting in public, breaking into vehicles, or attacking people on the [STREET] and public transportation of course. 

[ORGANIZATION] folks gonna [ORGANIZATION]. [URL]"
2024-12-31T23:31:16.000Z,,,,,True,"homeless, homelessness","[ORGANIZATION] is “a piece of cake” DATE0 I was in downtown [ORGANIZATION], [PERSON] on [LOCATION] and inte…"
2024-12-31T23:30:21.000Z,Oregon,,,,True,"homeless, homelessness","[ORGANIZATION] is “a piece of cake” DATE0 I was in downtown [ORGANIZATION], [PERSON] on [LOCATION] and inte…"
2024-12-31T23:26:04.000Z,,,,,True,"homeless, homelessness","[ORGANIZATION] is “a piece of cake” DATE0 I was in downtown [ORGANIZATION], [PERSON] on [LOCATION] and inte…"
2024-12-31T23:24:52.000Z,"Washington, USA",,,,True,"homeless, homelessness","[ORGANIZATION] is “a piece of cake” DATE0 I was in downtown [ORGANIZATION], [PERSON] on [LOCATION] and inte…"
