filename,date,paragraph,matched_words
01_19_2016_rockford_meeting_minutes.mp3.d09b2367-476a-4388-bfdb-38103f069e23.Transcript.txt,01_19_2016,"This townhouse ordinance, because it requires one parking space, we know what it was intended for. Infill in urban areas which normally don't have a lot of excess parking space wasn't intended for green space development. But as Mr. Alderman Getch has said, congratulations to Gorman and RHA, they found a loophole and  really put it to the city of Rockford and its residents because we're going to have a development totally out of character with the neighborhood not doing a service to the people who are going to live there by its design but they get what they want it's going to make money because they were able to pack people into a small area in a tightly confined space and that's going to give them money but it's not going to give the city what it  one of the reasons we as a council engaged private council and Sean Culbertson and our other consultants was to give us a good independent and objective analysis of what we needed to do with regard to public and affordable housing and as Alderman McNamara said going forward we are going to have to stand up and be heard we are going to have to stand up and insist  that these designs and developments not just for 49 units but for 1100 units are truly what's best for the citizens of Rockford but first and foremost for the people who are going to live in that housing I grew up with public housing I've watched the failures I went to meetings with my dad as a kid where they begged begged Rockford housing authority not to rebuild Orton keys not to build fairgrounds  in the way that they did.",affordable housing
01_20_2015_rockford_meeting_minutes.mp3.a017e1e6-fe70-4aef-b3e1-daee27d5124a.Transcript.txt,01_20_2015,"One of the liberties clearly defined by the Constitution and very clearly redefined by the Supreme Court is the Free Exercise Clause of the First Amendment, that Congress shall pass no laws prohibiting the free exercise of religion. I was flabbergasted to hear the State Fire Marshals came to Rockford and imposed rules and inconceivable zoning permit costs inhibiting their ability to help the homeless. Helping the less fortunate is a sacred religious ideal held by Judeo-Christian and Muslims alike.",homeless
01_20_2015_rockford_meeting_minutes.mp3.a017e1e6-fe70-4aef-b3e1-daee27d5124a.Transcript.txt,01_20_2015,"Either we can fight to increase funding for the Winnebago County Jail, or we can make less criminals. Ordinance had been put in place to make it illegal for there to be more than 81 homeless men at a time in Winnebago County Jail. If churches and homeless shelters are willing to come together and use link programs, we can get the cost down to about $7 a day per homeless person per head.",homeless
01_20_2015_rockford_meeting_minutes.mp3.a017e1e6-fe70-4aef-b3e1-daee27d5124a.Transcript.txt,01_20_2015,"Why should Illinois taxpayers have to pay $105 a day to house them in jails? It doesn't make sense legally, financially, or politically to pursue this policy of making homelessness a crime. Thank you guys for your time.",homelessness
02_04_2019_rockford_meeting_minutes.mp3.cbeafab0-1dc8-48a9-aaf4-bcc91dda90dc.Transcript.txt,02_04_2019,"Thank you your honor I have the award of RFP for emergency solutions grant to remedies shelter for $50,000 and  for emergency shelter operations, Institute for Community Alliances for $29,000, for HMIS, which is Homeless Management Information System, Shelter Care Ministries for $30,500 for emergency shelter operations and services. The contract duration is two years. Funding sources is the US Department of Housing and Urban Development.",homeless
01_04_2016_rockford_meeting_minutes.mp3.b82fdf48-ddf5-4f03-b7be-cdd24dd0ea88.Transcript.txt,01_04_2016,Enough money to keep your budget balanced. Enough money to help eliminate homeless. Enough money to help reduce poverty.,homeless
01_17_2023_rockford_meeting_minutes.mp3.a80c1822-988c-42f9-b28a-7b8a326b8669.Transcript.txt,01_17_2023,The fourth cause is despair. Hopelessness and despair is the mother of crime. The fifth cause is homelessness.,homelessness
01_29_2024_rockford_meeting_minutes.mp3.bccb5b68-c701-41b8-bfe7-af7b57b3d724.Transcript.txt,01_29_2024,Trinity hopes to inspire others to follow their dreams and be their best selves. She is interested in hosting workshops and other poetry readings at our local homeless shelters. Trinity is heavily involved at her church.,homeless
01_29_2024_rockford_meeting_minutes.mp3.bccb5b68-c701-41b8-bfe7-af7b57b3d724.Transcript.txt,01_29_2024,"Sweeping get tough feel-good policies do not work, what they do accomplish is to squander, scare resources that could be put to better use. Help for drug abuse, unemployment, homelessness, poverty, programs for at-risk and troubled youth, cracking down on truancy, focusing juvenile anti-crime police efforts and especially urban areas, rather than printing away money and effort on broad brush ineffective tactics. above all, white, red community and parental concern needs to be stepped up.",homelessness
02_19_2019_rockford_meeting_minutes.mp3.09285663-50dc-46e8-a183-0eeb920af4f2.Transcript.txt,02_19_2019,"I want to thank director Davis and his staff I'm a little late in reporting this but I am very pleased with director Davis and his staff for helping a homeless man  find a place to stay. He was, I shouldn't have said homeless, but he had moved here from the Chicago area to be with his daughter that had moved here from Chicago and his grandkids. And he was staying in a hotel and his funding was getting low.",homeless
09_16_2019_rockford_meeting_minutes.mp3.ef29ddbe-09de-4c18-b3a3-9af160299b2b.Transcript.txt,09_16_2019,"They gave $5,000 to Feed the Hungry, the homeless. Um, just coming into this community, they saw a need and they addressed that need. So I want to personally appreciate them being partners in wanting to be partners of this community and wanting to expand their generosity and work in the community.",homeless
09_16_2019_rockford_meeting_minutes.mp3.ef29ddbe-09de-4c18-b3a3-9af160299b2b.Transcript.txt,09_16_2019,"And it was a point where he was holding his guts in his hands and he's homeless. You know, his mom is homeless. He has two younger brothers that he has to take care of.",homeless
09_16_2019_rockford_meeting_minutes.mp3.ef29ddbe-09de-4c18-b3a3-9af160299b2b.Transcript.txt,09_16_2019,"I do, for someone that also, myself, that does support children's initiatives, i.e. the YMCA has a number of programs which I personally support, and I question also the, as the board has said,  Alderman Frost alluded to with the schools that I think there is a whole slew of Christian based organizations out there that I believe may be not utilized to the fullest extent I would like to know if they are and those are costs that are not incurred at all by the taxpayer unless they choose to make a donation to  So I do have a problem with that amount for a program that hasn't been proven, I think, to the fullest extent. But also, Alderman Hervey brings up an excellent point, is that constituents regularly tell me whether they see more homeless individuals and vagrants walking downtown than they have in the past, whether that's true or not. or whether it's some people's observations whether true or not",homeless
11_04_2019_rockford_meeting_minutes.mp3.d19505cb-8118-4f0b-9313-a19c8707c8a6.Transcript.txt,11_04_2019,The ninth cause is homelessness. The tenth cause health problems. The eleventh cause is poverty.,homelessness
10_24_2016_rockford_meeting_minutes.mp3.7c35b401-edb2-4564-872a-5088c06f4477.Transcript.txt,10_24_2016,"Without it, our economy in Iraq would not become strong like it should. By using my two systems, the MIS system and your 12 resources and have the bus run 24 hours a day, 7 days a week, fix and flex rock, you  put 80,000 people to work in Rockford. This would help lower your unemployment rate, your homeless rate, your poverty rate, and your crime rate at the same time, and help raise more revenue for Rockford so your budget will be balanced.",homeless
11_19_2018_rockford_meeting_minutes.mp3.adbfd25b-e9f9-4f51-a989-a7c1b7c99427.Transcript.txt,11_19_2018,I'm getting to travel to various cities to see how they handle homelessness And their low-income housing and I just returned about a week ago this time from Atlanta And I have to say just like when I came home from San Francisco.,homelessness
11_19_2018_rockford_meeting_minutes.mp3.adbfd25b-e9f9-4f51-a989-a7c1b7c99427.Transcript.txt,11_19_2018,"I was so glad to be back and  We get so much negative comments, but we are really a great city. As I said when I came back from San Francisco, they had 175,000 homeless every night. When I came back from Atlanta, again, I was so impressed with how we're handling the issue.",homeless
11_19_2018_rockford_meeting_minutes.mp3.adbfd25b-e9f9-4f51-a989-a7c1b7c99427.Transcript.txt,11_19_2018,"Because we got to a point where we couldn't go out in the evening from the hotel because it was like a gauntlet of homeless people. I mean, it was actually rather frightening, and we got in by dark. We don't see that in Rockford.",homeless
11_16_2015_rockford_meeting_minutes.mp3.d5a5b3bf-86c8-4098-94cc-549c1aa892f8.Transcript.txt,11_16_2015,"And I'm having a problem with the alcoholics, the homeless, and the liquor store. And my school, King's School, if you would leave where I live, I would be able to get  I think you would like your children to look what I'm looking now and keep school with the liquor store and all the men running in the alley, my alley. I have to do all the cleaning around my house and everything.",homeless
11_16_2015_rockford_meeting_minutes.mp3.d5a5b3bf-86c8-4098-94cc-549c1aa892f8.Transcript.txt,11_16_2015,I know that all the aldermen and all the women were handed some information. What I'm talking about tonight is youth homelessness. This is Youth Homeless Awareness Month.,homeless; homelessness
11_16_2015_rockford_meeting_minutes.mp3.d5a5b3bf-86c8-4098-94cc-549c1aa892f8.Transcript.txt,11_16_2015,It's also Hunger and Homeless Awareness Week. I work at YSN and have worked at YSN for 24 years. I'm the administrative director.,homeless
11_16_2015_rockford_meeting_minutes.mp3.d5a5b3bf-86c8-4098-94cc-549c1aa892f8.Transcript.txt,11_16_2015,"I'm also co-chair of the Rock River Coalition. We have two shelters in our community, 4th Street Bridge and Rockford Meld. In 2008, we had about $1.2 million coming into the community for homeless youth.",homeless
11_16_2015_rockford_meeting_minutes.mp3.d5a5b3bf-86c8-4098-94cc-549c1aa892f8.Transcript.txt,11_16_2015,"Right now, we're at $791,000. And as you know, there's nothing coming in right now from Department of Human Services. We've had to reduce our services for homeless youth and for crisis intervention.",homeless
11_16_2015_rockford_meeting_minutes.mp3.d5a5b3bf-86c8-4098-94cc-549c1aa892f8.Transcript.txt,11_16_2015,"Crisis intervention is a program that works with, in conjunction with homeless, works with kids who have run away from home, who've been locked out of their homes, are victims of domestic violence. Many times they come into our shelter. We served over 300 youth between the ages of 14 and 21 last year.",homeless
11_16_2015_rockford_meeting_minutes.mp3.d5a5b3bf-86c8-4098-94cc-549c1aa892f8.Transcript.txt,11_16_2015,"For the petitions and communications, I'll let them go. Chris Black, finance director regarding the 2016 fee schedule. A random from Patrick Hayes, legal director regarding the road referendum for March 2015-2016 for the extension of non-homeless sales tax for infrastructure.",homeless
11_16_2015_rockford_meeting_minutes.mp3.d5a5b3bf-86c8-4098-94cc-549c1aa892f8.Transcript.txt,11_16_2015,"I have one proclamation this evening, one special presentation that we'll be doing. The proclamation is regarding Hunger and Homelessness Awareness Week. I invite Shelton Kaye from the Crusader Community Health, who is the co-chair of the Mayor's Task Force on Homelessness, our coalition on homelessness, to please come forward and accept the proclamation.",homelessness
11_16_2015_rockford_meeting_minutes.mp3.d5a5b3bf-86c8-4098-94cc-549c1aa892f8.Transcript.txt,11_16_2015,"Whereas hundreds of individuals in Winnebago County, many of them children and families, experience homelessness each year. Whereas more than 30,000 people in our community are living in poverty, many of them having to use services of a local food pantry or soup kitchen. Whereas the National Coalition for Homeless and National Student Campaign Against Hunger and Homelessness are sponsoring National Hunger and Homelessness Awareness Week.",homeless; homelessness; soup kitchen
11_16_2015_rockford_meeting_minutes.mp3.d5a5b3bf-86c8-4098-94cc-549c1aa892f8.Transcript.txt,11_16_2015,"The purpose of this campaign is to educate the public about the many reasons people go hungry and homeless, including the shortage of affordable housing for very low income residents and to encourage support for homeless assistance service providers as well as community resource opportunities for students and school service organizations. Whereas there are many organizations committed to sheltering and providing supportive services, as well as meals and food supplies for homeless through the efforts of the Rockford Winnebago County's continuing care. Whereas the City of Rockford recognizes that hunger and homelessness continues to be a serious problem for many individuals and families in our community.",homeless; homelessness; affordable housing
11_16_2015_rockford_meeting_minutes.mp3.d5a5b3bf-86c8-4098-94cc-549c1aa892f8.Transcript.txt,11_16_2015,Now therefore I Lawrence J. Morse as mayor of the city of Rockford do hereby proclaim the week of November 14th through the 22nd to be hunger and homelessness awareness week. We encourage our citizens to recognize that many people do not have housing and are in need of the support of our community. I just want to start by thanking you Shelton for your leadership on the continuum and thank all of our community partners that help us and invite you to share a few more comments.,homelessness
11_16_2015_rockford_meeting_minutes.mp3.d5a5b3bf-86c8-4098-94cc-549c1aa892f8.Transcript.txt,11_16_2015,"Thank you very much. First of all, I'd like to say thank you for your continuing support. We really appreciate this, helping us promote Hunger and Homelessness Awareness Week.",homelessness
11_16_2015_rockford_meeting_minutes.mp3.d5a5b3bf-86c8-4098-94cc-549c1aa892f8.Transcript.txt,11_16_2015,"We also appreciate the support you give us. One of the things we've signed on to is the Zero 2016 effort, and we can say we've made great strides in eliminating veterans' homelessness for 2015, and we've also made some progress on eliminating chronic homelessness by the end of 2016. So thank you for your ongoing support, because it really is making a difference in our community.",homelessness
11_16_2015_rockford_meeting_minutes.mp3.d5a5b3bf-86c8-4098-94cc-549c1aa892f8.Transcript.txt,11_16_2015,"Just on that final point, I just thank George Davis and our city human services department, which works as our...  Community Action Agency for Boonawag, Winnebago County and their leadership and support for our efforts to end veterans' homelessness by the end of the year, chronic homelessness, as well as the 2016 pledge. And if you'd like to learn more about that, George and his staff have a great deal of information. Shelton Kaye also and his team of partners at the continuum of care.",homelessness
11_16_2015_rockford_meeting_minutes.mp3.d5a5b3bf-86c8-4098-94cc-549c1aa892f8.Transcript.txt,11_16_2015,"And we also go over this every month at our ROC staff meetings when we review our overall efforts to get to a net of zero  on our chronic homelessness tally. Next, I'd like to invite our friends that are here from Sweden, one of our sister cities, and an industrial partnership agreement that we've had for coming up next year on 10 years with the city of Lidschipping, and our partners that we work with them. I'd invite Linnea Bengtsson, who will help us to introduce the delegation members, and we appreciate their being here today, and we'll have a few words to say after they join us.",homelessness
11_16_2015_rockford_meeting_minutes.mp3.d5a5b3bf-86c8-4098-94cc-549c1aa892f8.Transcript.txt,11_16_2015,"We're close, hopefully, to getting  same page with some of our counterparts over in the county and i think that's a really important first step so that we can help review and enjoy the presentation between the city and the county on the next steps but i appreciate you bringing up the topic it is an absolutely critical conversation thank you i was given this by profit use of is the one where speaker here is going to buy now a little quickly regarding about homeless and  and the money that's being withheld from groups that desperately needed 9-1-1 community to put throughout.",homeless
12_04_2017_rockford_meeting_minutes.mp3.ffc07ee1-af28-4fe1-8cc8-a374612563df.Transcript.txt,12_04_2017,"Chronic refers to serving a population that meets the definition of chronic homelessness. And the rapid rehousing, which is I think the other set of alphabet soup that you were referring to, refers to the ability to quickly get someone into housing that is already homeless and then provide supportive services to them up to 18 months while they are stabilized in terms of income and permanency. So, it's an extension of what normally would be a temporary housing solution for up to 18 months.",homeless; homelessness
12_04_2017_rockford_meeting_minutes.mp3.ffc07ee1-af28-4fe1-8cc8-a374612563df.Transcript.txt,12_04_2017,"Right, and the third funding, the third organization that we're funding there is Rockford MEL, which is historically provides support for young moms, you know, teen moms and young moms up to age 21 who are homeless and also are single parents. And so that's a particular category or a particular population that they're serving. And then we also provide some services to the women's shelter that's provided through Remedy.",homeless
12_04_2017_rockford_meeting_minutes.mp3.ffc07ee1-af28-4fe1-8cc8-a374612563df.Transcript.txt,12_04_2017,"In shelter services and operations, remedies, $25,000. In shelter services and operations...  and the Institute for Community Alliances, 29,000 for Homeless Management Information Services. The funding source is the U.S. Department of Housing and Urban Development.",homeless
10_21_2019_rockford_meeting_minutes.mp3.0c97cdaa-6d3b-4eff-89fc-17945e79623b.Transcript.txt,10_21_2019,"Good evening, ladies and gentlemen. In the book of Proverbs, the 22nd chapter, the ninth verse, written by a wise man named Solomon, a generous man will himself be blessed, for he shares his fool with the poor.  what i want to speak about tonight confronting the abandoned crisis here's a staggering number 553 000 imagine what you would do if 553 000 were deposited into your bank account today imagine what you can see if you travel 553 000 miles around the world that is a significant number the truth is that's the number of homeless people  recorded in the United States in 2018. Yes, the most developed country in the world allows a whopping 17% of its population to live on the streets.",homeless
10_21_2019_rockford_meeting_minutes.mp3.0c97cdaa-6d3b-4eff-89fc-17945e79623b.Transcript.txt,10_21_2019,"California holds a total of 113,952 abandoned homeless individuals. This represents 20% of all homeless people in the United States. Approximately 15,179 are veterans.",homeless
10_21_2019_rockford_meeting_minutes.mp3.0c97cdaa-6d3b-4eff-89fc-17945e79623b.Transcript.txt,10_21_2019,People in this country are turning a blind eye as if this is some new norm. We have abandoned our neighbors and homelessness is a clear symptom. I live each day fighting poverty and homelessness.,homelessness
10_21_2019_rockford_meeting_minutes.mp3.0c97cdaa-6d3b-4eff-89fc-17945e79623b.Transcript.txt,10_21_2019,"for the future were begging for food. I still remember my first encounter on the streets of Chicago's Stitt Road 38 years ago. Like most people, I had no comprehension of the magnitude of the problem of homelessness, abandonment, until I saw men, women, and children,",homelessness
10_21_2019_rockford_meeting_minutes.mp3.0c97cdaa-6d3b-4eff-89fc-17945e79623b.Transcript.txt,10_21_2019,Abandoned citizens die homeless in the streets each day. But it doesn't make the evening news everyone to wonder why. Could it be because the problem is a sober reflection on all of us in the United States?  I imagine senior citizens who live their golden years in full insecurity or children who go to bed hungry every night.,homeless
10_21_2019_rockford_meeting_minutes.mp3.0c97cdaa-6d3b-4eff-89fc-17945e79623b.Transcript.txt,10_21_2019,"Three, affordable education. Four, a better life.  bus transportation run 24 hours a day, five, alcohol treatment for self, six, drug treatment for self, seven, mental health for self, eight, 24 hours daycare service so women can go to work or school that the government paid for, nine, let's stop referring to our brothers and sisters, our children and veterans as homeless. They are indeed abandoned.",homeless
09_21_2020_rockford_meeting_minutes.mp3.9ba0177b-2237-4c65-8ea9-f83601a654bd.Transcript.txt,09_21_2020,"But I do come for those who need bikes as a means of essential transportation. At Carpenters Place, we work with homeless adults and we provide the tools for rebuilding their lives. In the case of transportation, a bike really is that key to success many, many times.",homeless
10_13_2020_rockford_meeting_minutes.mp3.2f2a3508-8f1a-462e-b5cd-35f9e4e5e1fa.Transcript.txt,10_13_2020,"yeah, it may have been a little excessive with the many tents and the generators and all the other things. But, you know, if we're following the heart of Christ and the God that we trust that's written on the back of our dollar bill,  then feeding the homeless and sheltering the homeless, feeding the hungry and clothing the poor, that's exactly what righteousness calls us to do, to serve.",homeless
12_19_2022_rockford_meeting_minutes.mp3.c776a67c-bc59-4d8b-b593-3710c8a04772.Transcript.txt,12_19_2022,"Majority of them have incomes less than $26,000 per year, and I'm not sure how they can factor a basic comfortable living in those means. Veterans are 50% more likely to become homeless than other Americans due to poverty, lack of support networks, and dismissal of living conditions over crowded substandard housing. The VA has estimated that on any given night, there were 76 veterans can be found laying on the streets of America.",homeless
12_19_2022_rockford_meeting_minutes.mp3.c776a67c-bc59-4d8b-b593-3710c8a04772.Transcript.txt,12_19_2022,"Being that my husband is a 20-year-old Vietnam veteran, I have witnessed the lack of care, attentiveness, and honor of our veterans. I have experienced those that live in poor living conditions decline rapidly in mental health and physically, especially without the support and resources they need basically. My team have the drive, the passion, experience of dealing with housing and homelessness with the help of my parents, who have been in the same field for 32-plus years.",homelessness
12_19_2022_rockford_meeting_minutes.mp3.c776a67c-bc59-4d8b-b593-3710c8a04772.Transcript.txt,12_19_2022,"Thank you, Mayor. I would just like to thank the Mayor and the City staff for the following through on the, with the unveiling of the Give Better campaign, which for those who may have missed it, is sort of the next step from the blue and white signs that discourage giving money to panhandlers in our intersections and encourages people to instead contribute to charities that work to end homelessness and I don't think I again, I believe that while this is probably not the answer it could be the answer I mean if if this really catches fire and wins over the hearts and minds of a significant number of people in Rockford and we can redirect the money then the Issue that I hear a lot of people complaining about would Potentially go away. And so I It's going to be, it's going to expound on the blue and white signs with billboards, social media campaign, some PSAs.",homelessness
12_05_2016_rockford_meeting_minutes.mp3.4e6c23f9-cc0e-4080-8cf5-fd801b8db6fe.Transcript.txt,12_05_2016,Enough money to keep your budget balanced. Enough money to help eliminate homeless. Enough money to help reduce poverty.,homeless
11_05_2018_rockford_meeting_minutes.mp3.9f8f2e45-a5a2-4a91-b171-415214706394.Transcript.txt,11_05_2018,"Next up, we have three proclamations this evening. The first is Hunger and Homelessness Awareness Week, and Todd Kisner of the Rock River Homeless Coalition is with us. And, Todd, if you have anyone that you'd like to join you up here, they can do so as well.",homeless; homelessness
11_05_2018_rockford_meeting_minutes.mp3.9f8f2e45-a5a2-4a91-b171-415214706394.Transcript.txt,11_05_2018,"Thanks for all your work. Whereas hundreds of individuals in Winnebago County, many of them children and families, experience homelessness each year. And whereas more than 45,000 people in Winnebago County are living in poverty, with many of them having to use the services of a local food pantry or soup kitchen.",homelessness; soup kitchen
11_05_2018_rockford_meeting_minutes.mp3.9f8f2e45-a5a2-4a91-b171-415214706394.Transcript.txt,11_05_2018,"And whereas a national coalition of homelessness and national student campaign against hunger and homelessness are sponsoring National Hunger and Homelessness Awareness Week. Whereas the purpose of this awareness campaign is to educate the public about the many reasons people are hungry and homeless, and to encourage support of homeless assistance service providers as well as community service opportunities for students and school service organizations. Whereas there are many organizations committed to sheltering, providing supportive services, as well as meals and food supplies to the homeless through the efforts of the Rock River Homeless Coalition.",homeless; homelessness
11_05_2018_rockford_meeting_minutes.mp3.9f8f2e45-a5a2-4a91-b171-415214706394.Transcript.txt,11_05_2018,"And whereas the city of Rockford recognizes that hunger and homelessness continues to be a serious problem for many individuals and families in our own community. Now, therefore, I, Thomas P. McNamara, as mayor of the city of Rockford, do hereby proclaim the week of November 10th through the 18th of 2018 to be Hunger and Homelessness Awareness Week. Would you like to share a few words, Todd?",homelessness
11_05_2018_rockford_meeting_minutes.mp3.9f8f2e45-a5a2-4a91-b171-415214706394.Transcript.txt,11_05_2018,"And what it does is bring awareness again to a part of our community that sometimes is forgotten. And as we approach this holiday season and the start of Hunger and Homelessness Week, it brings again to mind of these folks that are sometimes forgotten, and hopefully we can make it a better place for them in our community. Thanks.",homelessness
