date,matched_words,Deidentified_paragraph
01_19_2016,affordable housing,"This townhouse ordinance, because it requires one parking space, we know what it was intended for. Infill in urban areas which normally don't have a lot of excess parking space wasn't intended for green space development. But as Mr. [PERSON] has said, congratulations to [ORGANIZATION] and [ORGANIZATION], they found a loophole and  really put it to the city of [ORGANIZATION] and its residents because we're going to have a development totally out of character with the neighborhood not doing a service to the people who are going to live there by its design but they get what they want it's going to make money because they were able to pack people into a small area in a tightly confined space and that's going to give them money but it's not going to give the city what it  one of the reasons we as a council engaged private council and [ORGANIZATION] and our other consultants was to give us a good independent and objective analysis of what we needed to do with regard to public and affordable housing and as [ORGANIZATION] said going forward we are going to have to stand up and be heard we are going to have to stand up and insist  that these designs and developments not just for [ADDRESS] that they did."
01_20_2015,homeless,"One of the liberties clearly defined by the Constitution and very clearly redefined by [ORGANIZATION] is [ORGANIZATION] the First Amendment, that ORG1 shall pass no laws prohibiting the free exercise of religion. I was flabbergasted to hear [ORGANIZATION] came to [ORGANIZATION] and imposed rules and inconceivable zoning permit costs inhibiting their ability to help the homeless. Helping the less fortunate is a sacred religious ideal held by Judeo-Christian and Muslims alike."
01_20_2015,homeless,"Either we can fight to increase funding for FAC0, or we can make less criminals. Ordinance had been put in [STREET] to make it illegal for there to be more than 81 homeless men at a time in [LOCATION]. If churches and homeless shelters are willing to come together and use link programs, we can get the cost down to about $7 a day per homeless person per head."
01_20_2015,homelessness,"Why should [ORGANIZATION] taxpayers have to pay $105 a day to house them in jails? It doesn't make sense legally, financially, or politically to pursue this policy of making homelessness a crime. Thank you guys for your time."
02_04_2019,homeless,"Thank you your honor I have the award of RFP for emergency solutions grant to [ORGANIZATION] for $50,000 and  for emergency shelter operations, [ORGANIZATION] for $29,000, for ORG2, which is [ORGANIZATION], [PERSON] for $30,500 for emergency shelter operations and services. The contract duration is [ORGANIZATION]. Funding sources is [ORGANIZATION]."
01_04_2016,homeless,Enough money to keep your budget balanced. Enough money to help eliminate homeless. Enough money to help reduce poverty.
01_17_2023,homelessness,The fourth cause is despair. Hopelessness and despair is the mother of crime. The fifth cause is homelessness.
01_29_2024,homeless,[ORGANIZATION] hopes to inspire others to follow their dreams and be their best selves. She is interested in hosting workshops and other poetry readings at our local homeless shelters. [ORGANIZATION] is heavily involved at her church.
01_29_2024,homelessness,"Sweeping get tough feel-good policies do not work, what they do accomplish is to squander, scare resources that could be put to better use. Help for drug abuse, unemployment, homelessness, poverty, programs for at-risk and troubled youth, cracking down on truancy, focusing juvenile anti-crime police efforts and especially urban areas, rather than printing away money and effort on broad brush ineffective tactics. above all, white, red community and parental concern needs to be stepped up."
02_19_2019,homeless,"I want to thank director [PERSON] and his staff I'm a little late in reporting this but I am very pleased with director [PERSON] and his staff for helping a homeless man  find a [STREET] to stay. He was, I shouldn't have said homeless, but he had moved here from the [ORGANIZATION] area to be with his daughter that had moved here from [ORGANIZATION] and his grandkids. And he was staying in a hotel and his funding was getting low."
09_16_2019,homeless,"They gave $5,000 to [ORGANIZATION], the homeless. Um, just coming into this community, they saw a need and they addressed that need. So I want to personally appreciate them being partners in wanting to be partners of this community and wanting to expand their generosity and work in the community."
09_16_2019,homeless,"And it was a point where he was holding his guts in his hands and he's homeless. You know, his mom is homeless. He has two younger brothers that he has to take care of."
09_16_2019,homeless,"I do, for someone that also, myself, that does support children's initiatives, i.e. the [ORGANIZATION] has a number of programs which I personally support, and I question also the, as the board has said,  Alderman [ORGANIZATION] alluded to with the schools that I think there is a whole slew of Christian based organizations out there that I believe may be not utilized to the fullest extent I would like to know if they are and those are costs that are not incurred at all by the taxpayer unless they choose to make a donation to  So I do have a problem with that amount for a program that hasn't been proven, I think, to the fullest extent. But also, Alderman [PERSON] brings up an excellent point, is that constituents regularly tell me whether they see more homeless individuals and vagrants walking downtown than they have in the past, whether that's true or not. or whether it's some people's observations whether true or not"
11_04_2019,homelessness,The ninth cause is homelessness. The tenth cause health problems. The eleventh cause is poverty.
10_24_2016,homeless,"Without it, our economy in [ORGANIZATION] would not become strong like it should. By using my two systems, the [ORGANIZATION] system and your 12 resources and have the bus run [TIME] a day, [ORGANIZATION] a week, fix and flex rock, you  put 80,000 people to work in [PERSON]. This would help lower your unemployment rate, your homeless rate, your poverty rate, and your crime rate at the same time, and help raise more revenue for [PERSON] so your budget will be balanced."
11_19_2018,homelessness,I'm getting to travel to various cities to see how they handle homelessness And their low-income housing and I just returned [ORGANIZATION] this time from [ORGANIZATION] And I have to say just like when I came home from [PERSON].
11_19_2018,homeless,"I was so glad to be back and  We get so much negative comments, but we are really a great city. As I said when I came back from [ORGANIZATION], they had 175,000 homeless [TIME]. When I came back from [PERSON], again, I was so impressed with how we're handling the issue."
11_19_2018,homeless,"Because we got to a point where we couldn't go out in the evening from the hotel because it was like a gauntlet of homeless people. I mean, it was actually rather frightening, and we got in by dark. We don't see that in [ORGANIZATION]."
11_16_2015,homeless,"And I'm having a problem with the alcoholics, the homeless, and the liquor store. And my school, [ORGANIZATION], if you would leave where I live, I would be able to get  I think you would like your children to look what I'm looking now and keep school with the liquor store and all the men running in the alley, my alley. I have to do all the cleaning around my house and everything."
11_16_2015,homeless; homelessness,I know that all the aldermen and all the women were handed some information. What I'm talking about [TIME] is youth homelessness. This is [ORGANIZATION].
11_16_2015,homeless,It's also [ORGANIZATION] [ORGANIZATION] [DATE]. I work at [ORGANIZATION] and have worked at [ORGANIZATION] for DATE0. I'm the administrative director.
11_16_2015,homeless,"I'm also co-chair of [ORGANIZATION]. We have two shelters in our community, FAC0 and FAC1. In [ORGANIZATION], we had about $1.2 million coming into the community for homeless youth."
11_16_2015,homeless,"Right now, we're at $791,000. And as you know, there's nothing coming in right now from [ORGANIZATION]. We've had to reduce our services for homeless youth and for crisis intervention."
11_16_2015,homeless,"Crisis intervention is a program that works with, in conjunction with [ORGANIZATION], works with kids who have run away from home, who've been locked out of their homes, are victims of domestic violence. Many times they come into our shelter. We served over 300 youth DATE0 DATE1."
11_16_2015,homeless,"For the petitions and communications, I'll let them go. [ORGANIZATION], finance director regarding the DATE0 fee schedule. A random from [LOCATION], legal director regarding the [STREET] referendum for [DATE] for the extension of non-homeless sales tax for infrastructure."
11_16_2015,homelessness,"I have one proclamation [TIME], one special presentation that we'll be doing. The proclamation is regarding [ORGANIZATION]. I invite PERSON0 from [ORGANIZATION], who is the co-chair of [ORGANIZATION], our coalition on homelessness, to please come forward and accept the proclamation."
11_16_2015,homeless; homelessness; soup kitchen,"Whereas hundreds of individuals in [ORGANIZATION], many of them children and families, experience homelessness DATE0. Whereas more than 30,000 people in our community are living in poverty, many of them having to use services of a local food pantry or soup kitchen. Whereas [ORGANIZATION] and [ORGANIZATION] are sponsoring [ORGANIZATION] [DATE]."
11_16_2015,homeless; homelessness; affordable housing,"The purpose of this campaign is to educate the public about the many reasons people go hungry and homeless, including the shortage of affordable housing for very low income residents and to encourage support for homeless assistance service providers as well as community resource opportunities for students and school service organizations. Whereas there are many organizations committed to sheltering and providing supportive services, as well as meals and food supplies for homeless through the efforts of [ORGANIZATION] continuing care. Whereas [PERSON] recognizes that hunger and homelessness continues to be a serious problem for many individuals and families in our community."
11_16_2015,homelessness,Now therefore I [ORGANIZATION] as mayor of the city of [ORGANIZATION] do hereby proclaim [ORGANIZATION] to be hunger and homelessness awareness [LOCATION]. We encourage our citizens to recognize that many people do not have housing and are in need of the support of our community. I just want to start by thanking you [PERSON] for your leadership on the continuum and thank all of our community partners that help us and invite you to share a few more comments.
11_16_2015,homelessness,"Thank you very much. First of all, I'd like to say thank you for your continuing support. We really appreciate this, helping us promote [ORGANIZATION] and [ORGANIZATION] [DATE]."
11_16_2015,homelessness,"We also appreciate the support you give us. One of the things we've signed on to is [ORGANIZATION] effort, and we can say we've made great strides in eliminating veterans' homelessness for [ORGANIZATION], and we've also made some progress on eliminating chronic homelessness by the end of [ORGANIZATION]. So thank you for your ongoing support, because it really is making a difference in our community."
11_16_2015,homelessness,"Just on that final point, I just thank [ORGANIZATION] and our city human services department, which works as our...  [ORGANIZATION], [ORGANIZATION] and their leadership and support for our efforts to end veterans' homelessness by [ORGANIZATION], chronic homelessness, as well as the [PERSON] pledge. And if you'd like to learn more about that, [PERSON] and his staff have a great deal of information. PERSON2 also and his team of partners at the continuum of care."
11_16_2015,homelessness,"And we also go over this [ORGANIZATION] at our [ORGANIZATION] staff meetings when we review our overall efforts to get to a net of zero  on our chronic homelessness tally. Next, I'd like to invite our friends that are here from [ORGANIZATION], one of our sister cities, and an industrial partnership agreement that we've had for coming up DATE1 on DATE2 with the city of [PERSON], and our partners that we work with them. I'd invite PERSON0, who will help us to introduce the delegation members, and we appreciate their being here [ORGANIZATION], and we'll have a few words to say after they join us."
11_16_2015,homeless,"We're close, hopefully, to getting  same page with some of our counterparts over in the county and i think that's a really important first step so that we can help review and enjoy the presentation between the city and the county on the next steps but i appreciate you bringing up the topic it is an absolutely critical conversation thank you i was given this by profit use of is the one where speaker here is going to buy now a little quickly regarding about homeless and  and the money that's being withheld from groups that desperately needed [ORGANIZATION] community to put throughout."
12_04_2017,homeless; homelessness,"Chronic refers to serving a population that meets the definition of chronic homelessness. And the rapid rehousing, which is I think the other set of alphabet soup that you were referring to, refers to the ability to quickly get someone into housing that is already homeless and then provide supportive services to them [ORGANIZATION] while they are stabilized in terms of income and permanency. So, it's an extension of what normally would be a temporary housing solution for [ORGANIZATION]."
12_04_2017,homeless,"Right, and the third funding, the third organization that we're funding there is [ORGANIZATION], which is historically provides support for young moms, you know, teen moms and young moms [ORGANIZATION] who are homeless and also are single parents. And so that's a particular category or a particular population that they're serving. And then we also provide some services to the women's shelter that's provided through ORG1."
12_04_2017,homeless,"In shelter services and operations, remedies, $25,000. In shelter services and operations...  and [ORGANIZATION], 29,000 for [ORGANIZATION]. The funding source is ORG2."
10_21_2019,homeless,"Good [TIME], ladies and gentlemen. In the book of [PERSON], the 22nd chapter, the ninth verse, written by a wise man named [ORGANIZATION], a generous man will himself be blessed, for he shares his fool with the poor.  what i want to speak about [TIME] confronting the abandoned crisis here's a staggering number 553 000 imagine what you would do if 553 000 were deposited into your bank account [ORGANIZATION] imagine what you can see if you travel 553 000 miles around the world that is a significant number the truth is that's the number of homeless people  recorded in [ORGANIZATION] in [LOCATION]. Yes, the most developed country in the world allows a whopping 17% of its population to live on the streets."
10_21_2019,homeless,"[ORGANIZATION] holds a total of 113,952 abandoned homeless individuals. This represents 20% of all homeless people in [PERSON]. Approximately 15,179 are veterans."
10_21_2019,homelessness,People in this country are turning a blind eye as if this is some new norm. We have abandoned our neighbors and homelessness is a clear symptom. I live [ORGANIZATION] fighting poverty and homelessness.
10_21_2019,homelessness,"for the future were begging for food. I still remember my first encounter on the streets of [ORGANIZATION]'s [ORGANIZATION]. Like most people, I had no comprehension of the magnitude of the problem of homelessness, abandonment, until I saw men, women, and children,"
10_21_2019,homeless,Abandoned citizens die homeless in the streets [ORGANIZATION]. But it doesn't make the [TIME] news everyone to wonder why. Could it be because the problem is a sober reflection on all of us in [ORGANIZATION]?  I imagine senior citizens who live [DATE] in full insecurity or children who go to bed hungry [TIME].
10_21_2019,homeless,"Three, affordable education. Four, a better life.  bus transportation run [TIME] a day, five, alcohol treatment for self, six, drug treatment for self, seven, mental health for self, eight, [TIME] daycare service so women can go to work or school that the government paid for, nine, let's stop referring to our brothers and sisters, our children and veterans as homeless. They are indeed abandoned."
09_21_2020,homeless,"But I do come for those who need bikes as a means of essential transportation. At [ORGANIZATION], we work with homeless adults and we provide the tools for rebuilding their lives. In the case of transportation, a bike really is that key to success many, many times."
10_13_2020,homeless,"yeah, it may have been a little excessive with the many tents and the generators and all the other things. But, you know, if we're following the heart of [ORGANIZATION] and the God that we trust that's written on the back of our dollar bill,  then feeding the homeless and sheltering the homeless, feeding the hungry and clothing the poor, that's exactly what righteousness calls us to do, to serve."
12_19_2022,homeless,"Majority of them have incomes less than $26,000 per year, and I'm not sure how they can factor a basic comfortable living in those means. [ORGANIZATION] are 50% more likely to become homeless than other [ORGANIZATION]ns due to poverty, lack of support networks, and dismissal of living conditions over crowded substandard housing. The [ORGANIZATION] has estimated that on any given night, there were 76 veterans can be found laying on the streets of [ORGANIZATION]."
12_19_2022,homelessness,"Being that my husband is a [ORGANIZATION] GPE0 veteran, I have witnessed the lack of care, attentiveness, and honor of our veterans. I have experienced those that live in poor living conditions decline rapidly in mental health and physically, especially without the support and resources they need basically. My team have the [STREET], the passion, experience of dealing with housing and homelessness with the help of my parents, who have been in the same field for [LOCATION]."
