id,text,created_at,author_id,user_location,tweet_geo,tweet_country,place_type
1873488292018290935,@VirgisViews @TheBlackestJ @mvinwst @himbojedi @mamasathome_ @AtlasVerge @eternalcumslime I was elected to my city council &amp; the only CITY EMPLOYEE who volunteered at our shelter. I worked with Rockford gov because they ENDED homelessness. 1 of a couple cities in US to do so. Rehabs &amp; mental break facilities are tax funded private corps that don't address homelessness,2024-12-29T21:56:31.000Z,4494325640,next to the capital of Chicago,,,
1872990381404819884,@BobbyReader2 You should see downtown rockford. Oh boy. You got the trap store (Jumpin' Joe's) across the street from the jail/court houses. The homeless shelter is on the next block. They are selling right there on the street.,2024-12-28T12:58:00.000Z,1816497489739935744,"Illinois, USA",,,
1872604643513291140,"Perhaps where homeless, illegals, homicide freedom cause Kamala loss. Stockton Detroit Chicago Lansing MI Baltimore MD Albuquerque NM Flint Rockford IL Oakland Minneapolis MN San Bernardino CA Bakersfield #bansoffourbodies Corpus Christi Springfield MO Cleveland Atlanta Memphis https://t.co/VHcLmEh3K8 https://t.co/fQlcv7oEKA",2024-12-27T11:25:12.000Z,1660233055477350402,St Charles,,,
1872138584142315948,@elonmusk https://t.co/mMvlCwVYfC plz help our homeless if you can.,2024-12-26T04:33:15.000Z,1107362254389952512,We Are Everywhere,,,
1871353693200953621,"Blackhawks should do SOMETHING with Kurashev. Rockford. Vacation. Rehab. Come to jesus moment on a remote island.
Bootcamp in Antartica. SOMETHING. I get not wanting him on the ice but what a waste of everything to make him homeless.",2024-12-24T00:34:23.000Z,1678392370906144771,,,,
1870972453436182982,"@rockford_pi @TylerBoliver They tried it but stopped, I believe. They have had some success in reducing homelessness but Housing First isn’t why. They also have some challenges.",2024-12-22T23:19:28.000Z,1759181,"Austin, TX",,,
1870334652277219589,“These people are just like everyone else and they deserve to be remembered.” https://t.co/RCFzggptao,2024-12-21T05:05:04.000Z,33988019,"Rockford, IL",,,
1870164482237808700,"RT @ellieschumann15: I know this isn’t what I normally post, but since I had this weekend off, we spent the day giving back to the communit…",2024-12-20T17:48:53.000Z,1325000900,"New Jersey, USA",,,
1870137392968949887,Rockford Rescue Mission seeks funds to assist growing homeless population in 2025. https://t.co/yQVGbzcwWp,2024-12-20T16:01:14.000Z,15357578,"Rockford, IL",,,
1869874747502125119,Rockford Rescue Mission seeks financial support to care for the homeless https://t.co/VoYBfOvEF3 https://t.co/qWWO6sHANU,2024-12-19T22:37:35.000Z,73127403,"Rockford, Illinois",,,
1868134397532348701,"Affordable housing, state budget deficit at issue as Northern Illinois lawmakers meet with Rockford-area leaders https://t.co/YaaWT0pHFV",2024-12-15T03:22:03.000Z,921863767700492288,,,,
