created_at,user_location,tweet_geo,tweet_country,place_type,is_retweet,Deidentified_text
2024-12-29T21:56:31.000Z,next to the capital of Chicago,,,,False,@VirgisViews @TheBlackestJ @mvinwst [ORGANIZATION] @mamasathome_ @AtlasVerge @eternalcumslime I was elected to my city council &amp; the only CITY EMPLOYEE who volunteered at our shelter. I worked with [ORGANIZATION] gov because they ENDED homelessness. 1 of a couple cities in [PERSON] to do so. Rehabs &amp; mental break facilities are tax funded private corps that don't address homelessness
2024-12-28T12:58:00.000Z,"Illinois, USA",,,,False,@BobbyReader2 You should see downtown [ORGANIZATION]. Oh boy. You got the trap store ([ORGANIZATION]) across the [STREET] from the jail/[STREET] houses. The [INSTITUTION] is on the next block. They are selling right there on the [STREET].
2024-12-27T11:25:12.000Z,St Charles,,,,False,"Perhaps where homeless, illegals, homicide freedom cause [ORGANIZATION] loss. [PERSON] GPE2 [PERSON] GPE7 [PERSON] GPE12 GPE13 GPE14 GPE15 GPE16 GPE17 #bansoffourbodies GPE18 GPE19 GPE20 GPE21 [PERSON]"
2024-12-26T04:33:15.000Z,We Are Everywhere,,,,False,@elonmusk [URL] plz help our homeless if you can.
2024-12-24T00:34:23.000Z,,,,,False,"[ORGANIZATION] should do SOMETHING with [ORGANIZATION]. [ORGANIZATION]. Vacation. [PERSON]. Come to PERSON1 moment on a remote island.
Bootcamp in [PERSON]. SOMETHING. I get not wanting him on the ice but what a waste of everything to make him homeless."
2024-12-22T23:19:28.000Z,"Austin, TX",,,,False,"@rockford_pi @TylerBoliver They tried it but stopped, I believe. They have had some success in reducing homelessness but [ORGANIZATION] isn’t why. They also have some challenges."
2024-12-21T05:05:04.000Z,"Rockford, IL",,,,False,“These people are just like everyone else and they deserve to be remembered.” [URL]
2024-12-20T17:48:53.000Z,"New Jersey, USA",,,,True,"[ORGANIZATION]: I know this isn’t what I normally post, but since I had [ORGANIZATION] off, we spent DATE1 giving back to the communit…"
2024-12-20T16:01:14.000Z,"Rockford, IL",,,,False,[ORGANIZATION] seeks funds to assist growing homeless population in [ORGANIZATION]. [URL]
2024-12-19T22:37:35.000Z,"Rockford, Illinois",,,,False,[ORGANIZATION] seeks financial support to care for the homeless [URL] [URL]
2024-12-15T03:22:03.000Z,,,,,False,"Affordable housing, state budget deficit at issue as [ORGANIZATION] lawmakers meet with [ORGANIZATION]-area leaders [URL]"
2024-12-12T12:29:31.000Z,"Rockford, IL",,,,False,"[ORGANIZATION] for the Homeless in [ORGANIZATION] to honor those who passed away, highlighting [ORGANIZATION] Memorial Day. [URL]"
2024-12-11T22:26:39.000Z,"Illinois, USA",,,,False,"Affordable housing, state budget deficit at issue as [ORGANIZATION] lawmakers meet with [ORGANIZATION]-area leaders [URL]"
2024-12-11T22:26:27.000Z,"Rockford, IL",,,,False,"Affordable housing, state budget deficit at issue as [ORGANIZATION] lawmakers meet with [ORGANIZATION]-area leaders [URL]"
2024-12-11T22:26:25.000Z,Illinois,,,,False,"Affordable housing, state budget deficit at issue as [ORGANIZATION] lawmakers meet with [ORGANIZATION]-area leaders [URL]"
2024-12-11T22:26:10.000Z,Springfield,,,,False,"Affordable housing, state budget deficit at issue as [ORGANIZATION] lawmakers meet with [ORGANIZATION]-area leaders [URL]"
2024-12-11T22:25:58.000Z,Illinois,,,,False,"Affordable housing, state budget deficit at issue as [ORGANIZATION] lawmakers meet with [ORGANIZATION]-area leaders [URL]"
2024-12-11T22:19:12.000Z,"Rockford, Illinois",,,,False,"Affordable housing, state budget deficit at issue as [ORGANIZATION] lawmakers meet with [ORGANIZATION]-area leaders [URL] [URL]"
2024-12-10T07:03:59.000Z,Janesville and Platteville WI,,,,True,"[ORGANIZATION]: I know this isn’t what I normally post, but since I had [ORGANIZATION] off, we spent DATE1 giving back to the communit…"
2024-12-09T16:12:11.000Z,"Des Plaines, IL USA",,,,False,"Thank you, [ORGANIZATION] in [ORGANIZATION], for bringing the cheer to our residents at [ORGANIZATION] in [PERSON] with the donation of these festive wreaths and door decorations. [URL] [URL]"
2024-12-09T13:02:41.000Z,,,,,True,"[ORGANIZATION]: I know this isn’t what I normally post, but since I had [ORGANIZATION] off, we spent DATE1 giving back to the communit…"
2024-12-07T19:14:47.000Z,"Rockford, IL",,,,False,"I know this isn’t what I normally post, but since I had [ORGANIZATION] off, we spent DATE1 giving back to the community. My mom put together a group and we were in downtown [ORGANIZATION] putting out warm gear for the homeless. Have DATE2 and so excited to play again DATE3! [URL]"
2024-12-06T03:48:32.000Z,"Chicago, IL",,,,True,"[PERSON]: As warming centers protect those without a stable shelter, there is one big challenge: reduced capacity.  [URL]"
2024-12-06T03:30:11.000Z,"Rockford, IL",,,,False,"As warming centers protect those without a stable shelter, there is one big challenge: reduced capacity.  [URL]"
2024-11-29T18:48:49.000Z,Killaloe Co. Clare 🇮🇪,,,,True,[ORGANIZATION]: One thing's clear from talking to residents around [ORGANIZATION] and FAC0 - people need a change from [ORGANIZATION]. Many peo…
