city,article_title,article_date,article_source,city_source,paragraph_text,keywords_matched,original_count,processed_count,was_shortened,used_sentence_method,segment_count,segment_index
sanfrancisco,Blue City Shelled Out Billions Of Taxpayer Dollars To Nonprofits. Their Execs Took Home Fat Salaries,2024-02-20T00:00:00Z,The Daily Caller,San Francisco Chronicle,"The ten nonprofits with highest executive compensation among major city contractors have received 1.7 billion from San Francisco since 2017 for services ranging from addressing homelessness to assisting childcare providers, according to the San Francisco Chronicles analysis of a city contract database. CEOs at these 10 charities collectively took home more than 4.2 million in compensation during their 2022 tax filing periods, according to tax documents, with each receiving an average of 420,000.",homelessness,2,2,False,True,1,0
sanfrancisco,Blue City Shelled Out Billions Of Taxpayer Dollars To Nonprofits. Their Execs Took Home Fat Salaries,2024-02-20T00:00:00Z,The Daily Caller,San Francisco Chronicle,"The Low Income Investment Fund LIIF, a nonprofit that works to provide affordable housing, childcare, jobs and educational opportunities to low-income communities through loans and grants, employs some of the best-paid executives among the nonprofits taking in significant taxpayer funding from the city of San Francisco. RELATED San Francisco Spent 160 Million Only To Have Homeless People Die In Rat Infested Hotels","homeless, affordable housing",2,2,False,True,1,0
sanfrancisco,Blue City Shelled Out Billions Of Taxpayer Dollars To Nonprofits. Their Execs Took Home Fat Salaries,2024-02-20T00:00:00Z,The Daily Caller,San Francisco Chronicle,"A homeless man sleeps on the sidewalk on November 25, 2019 in San Francisco, California. Photo by Justin SullivanGetty Images",homeless,2,2,False,True,1,0
sanfrancisco,"Proposition 21 Opposed by Nearly All State's Newspapers in Editorials Desert Sun, Chico Press-Enterprise, LA Sentinel Join Nearly Every California Newspaper Editorial Board in Opposition to ""Housing Freeze"" Measure",2020-10-09T00:00:00Z,Business Wire,San Francisco Chronicle,"Three more California newspapers, the Desert Sun, Chico Press-Enterprise and Los Angeles Sentinel, today editorialized against Proposition 21, the measure opponents say will worsen Californias housing crisis. The three publications join nearly every other newspaper in the state opposing the ballot measure.",housing crisis,2,2,False,True,1,0
sanfrancisco,"Proposition 21 Opposed by Nearly All State's Newspapers in Editorials Desert Sun, Chico Press-Enterprise, LA Sentinel Join Nearly Every California Newspaper Editorial Board in Opposition to ""Housing Freeze"" Measure",2020-10-09T00:00:00Z,Business Wire,San Francisco Chronicle,"Its almost identical to Proposition 10 on the November 2018 ballot, noted the Chico Press-Enterprise. That lost 59 percent to 41 percent, and there really should be a law against running out the same idea over and over. Rent control doesnt increase affordable housing. It may protect those who already have rental homes, but its a disincentive to builders to add housing.",affordable housing,4,4,False,True,1,0
sanfrancisco,"Proposition 21 Opposed by Nearly All State's Newspapers in Editorials Desert Sun, Chico Press-Enterprise, LA Sentinel Join Nearly Every California Newspaper Editorial Board in Opposition to ""Housing Freeze"" Measure",2020-10-09T00:00:00Z,Business Wire,San Francisco Chronicle,"As was true in 2018, this measure would only make Californias real housing problem - the dearth of affordable housing development - more difficult. It will only add the uncertainty of local rent control boards to Californias already Byzantine and costly housing development process.",affordable housing,2,2,False,True,1,0
sanfrancisco,Homeowners could be taxed for homeless aid funding,2020-03-13T00:00:00Z,The San Diego Union-Tribune,San Francisco Chronicle,"Some big-money proposals to assist Californias homeless are flowing through the state Capitol, but disputes are emerging on a number of fronts.",homeless,1,1,False,True,1,0
sanfrancisco,Homeowners could be taxed for homeless aid funding,2020-03-13T00:00:00Z,The San Diego Union-Tribune,San Francisco Chronicle,A bill to tax people who own second homes and cap mortgage deductions already has stirred controversy. Another proposal to create an annual 2 billion fund to combat homelessness has raised questions about where the money would come from and opened the door to a potential broad tax increase.,homelessness,2,2,False,True,1,0
sanfrancisco,Homeowners could be taxed for homeless aid funding,2020-03-13T00:00:00Z,The San Diego Union-Tribune,San Francisco Chronicle,"Meanwhile, San Diegos focus is shifting from a plan to tax tourists to pay for homeless programs to one that would raise property taxes on local residents to build affordable housing. The former - which included financing expansion of the convention center - fell just short in the March 3 primary, casting doubt on the viability of the latter, which appears headed for the November ballot.","homeless, affordable housing",2,2,False,True,1,0
sanfrancisco,Homeowners could be taxed for homeless aid funding,2020-03-13T00:00:00Z,The San Diego Union-Tribune,San Francisco Chronicle,"Gov. Gavin Newsom has designated considerable sums to combat homelessness in his current and proposed state budgets. While local officials are appreciative of the state providing resources, theyre eager to get their hands on the money already approved. The distribution is tied to the annual one-day point-in-time count of the homeless and that process hasnt been completed.","homeless, homelessness",3,3,False,True,1,0
