city,article_date,article_source,city_source,keywords_matched,original_count,processed_count,was_shortened,used_sentence_method,segment_count,segment_index,Deidentified_article_title,Deidentified_paragraph_text
sanfrancisco,2024-02-20T00:00:00Z,The Daily Caller,San Francisco Chronicle,homelessness,2,2,False,True,1,0,[ORGANIZATION] Out [ORGANIZATION]. Their Execs Took Home Fat Salaries,"The ten nonprofits with highest executive compensation among major city contractors have received 1.7 billion from [ORGANIZATION] since [ORGANIZATION] for services ranging from addressing homelessness to assisting childcare providers, according to the [ORGANIZATION] Chronicles analysis of a city contract database. CEOs at these 10 charities collectively took home more than 4.2 million in compensation during their [LOCATION] tax filing periods, according to tax documents, with each receiving an average of 420,000."
sanfrancisco,2024-02-20T00:00:00Z,The Daily Caller,San Francisco Chronicle,"homeless, affordable housing",2,2,False,True,1,0,[ORGANIZATION] Out [ORGANIZATION]. Their Execs Took Home Fat Salaries,"[ORGANIZATION], a nonprofit that works to provide affordable housing, childcare, jobs and educational opportunities to low-income communities through loans and grants, employs some of the best-paid executives among the nonprofits taking in significant taxpayer funding from the city of [ORGANIZATION]. RELATED [ORGANIZATION] Spent 160 Million Only To Have Homeless People Die In Rat Infested Hotels"
sanfrancisco,2024-02-20T00:00:00Z,The Daily Caller,San Francisco Chronicle,homeless,2,2,False,True,1,0,[ORGANIZATION] Out [ORGANIZATION]. Their Execs Took Home Fat Salaries,"A homeless man sleeps on the sidewalk on [ORGANIZATION] in [ORGANIZATION], [PERSON]. Photo by [ORGANIZATION] Images"
sanfrancisco,2020-10-09T00:00:00Z,Business Wire,San Francisco Chronicle,housing crisis,2,2,False,True,1,0,"Proposition [DATE] Opposed by [ORGANIZATION], [ORGANIZATION], ORG2 Join Nearly Every GPE0 Newspaper Editorial Board in Opposition to ""Housing Freeze"" Measure","Three more [ORGANIZATION] newspapers, [ORGANIZATION], [PERSON] and [PERSON], [ORGANIZATION] editorialized against Proposition 21, the measure opponents say will worsen [ORGANIZATION]s housing crisis. The three publications join nearly every other newspaper in the state opposing the ballot measure."
sanfrancisco,2020-10-09T00:00:00Z,Business Wire,San Francisco Chronicle,affordable housing,4,4,False,True,1,0,"Proposition [DATE] Opposed by [ORGANIZATION], [ORGANIZATION], ORG2 Join Nearly Every GPE0 Newspaper Editorial Board in Opposition to ""Housing Freeze"" Measure","Its almost identical to Proposition 10 on the [ORGANIZATION] ballot, noted [ORGANIZATION]. That lost 59 percent to 41 percent, and there really should be a law against running out the same idea over and over. Rent control doesnt increase affordable housing. It may protect those who already have rental homes, but its a disincentive to builders to add housing."
sanfrancisco,2020-10-09T00:00:00Z,Business Wire,San Francisco Chronicle,affordable housing,2,2,False,True,1,0,"Proposition [DATE] Opposed by [ORGANIZATION], [ORGANIZATION], ORG2 Join Nearly Every GPE0 Newspaper Editorial Board in Opposition to ""Housing Freeze"" Measure","As was true in [ORGANIZATION], this measure would only make [ORGANIZATION] real housing problem - the dearth of affordable housing development - more difficult. It will only add the uncertainty of local rent control boards to [ORGANIZATION] already [ORGANIZATION] and costly housing development process."
sanfrancisco,2020-03-13T00:00:00Z,The San Diego Union-Tribune,San Francisco Chronicle,homeless,1,1,False,True,1,0,Homeowners could be taxed for homeless aid funding,"Some big-money proposals to assist [PERSON] homeless are flowing through the state [ORGANIZATION], but disputes are emerging on a number of fronts."
sanfrancisco,2020-03-13T00:00:00Z,The San Diego Union-Tribune,San Francisco Chronicle,homelessness,2,2,False,True,1,0,Homeowners could be taxed for homeless aid funding,A bill to tax people who own second homes and cap mortgage deductions already has stirred controversy. Another proposal to create an DATE0 2 billion fund to combat homelessness has raised questions about where the money would come from and opened the door to a potential broad tax increase.
sanfrancisco,2020-03-13T00:00:00Z,The San Diego Union-Tribune,San Francisco Chronicle,"homeless, affordable housing",2,2,False,True,1,0,Homeowners could be taxed for homeless aid funding,"Meanwhile, [ORGANIZATION] focus is shifting from a plan to tax tourists to pay for homeless programs to one that would raise property taxes on local residents to build affordable housing. The former - which included financing expansion of the convention center - fell just short in the [ORGANIZATION] primary, casting doubt on the viability of the latter, which appears headed for the DATE1 ballot."
sanfrancisco,2020-03-13T00:00:00Z,The San Diego Union-Tribune,San Francisco Chronicle,"homeless, homelessness",3,3,False,True,1,0,Homeowners could be taxed for homeless aid funding,"Gov. [PERSON] has designated considerable sums to combat homelessness in his current and proposed state budgets. While local officials are appreciative of the state providing resources, theyre eager to get their hands on the money already approved. The distribution is tied to the DATE0 DATE1 point-in-time count of the homeless and that process hasnt been completed."
sanfrancisco,2020-03-13T00:00:00Z,The San Diego Union-Tribune,San Francisco Chronicle,homeless,4,4,False,True,1,0,Homeowners could be taxed for homeless aid funding,"[ORGANIZATION] mayors and other local officials are openly critical of the conditions [ORGANIZATION] has placed on the 750 million for homeless programs in his proposed budget. Initially, the governor wanted to bypass local governments and have the spending determined by regional administrators chosen by the state [ORGANIZATION]. [ORGANIZATION] said that would be more efficient and ensure accountability. He has pointedly said the current process ceding spending decisions to local officials hasnt been working."
sanfrancisco,2020-03-13T00:00:00Z,The San Diego Union-Tribune,San Francisco Chronicle,homeless,1,1,False,True,1,0,Homeowners could be taxed for homeless aid funding,The proposed budget also includes 695 million to boost the states [ORGANIZATION] programs to expand services for homeless individuals.
sanfrancisco,2020-03-13T00:00:00Z,The San Diego Union-Tribune,San Francisco Chronicle,homelessness,3,3,False,True,1,0,Homeowners could be taxed for homeless aid funding,"On [ORGANIZATION], [ORGANIZATION] met with about a dozen [ORGANIZATION] mayors, including [PERSON], to discuss homelessness. Just prior to that, he had shifted his proposal to let a local government or a group of local governments act as the regional administrator. The idea was received with some skepticism because it could mean one city, or a few, could determine funding for several others."
sanfrancisco,2020-03-13T00:00:00Z,The San Diego Union-Tribune,San Francisco Chronicle,homeless,1,1,False,True,1,0,Homeowners could be taxed for homeless aid funding,"A group of [ORGANIZATION] members wants to appropriate 2 billion a year in ongoing funding for homeless programs and not just rely on one-time allotments, even if they are essentially repeated."
sanfrancisco,2020-03-13T00:00:00Z,The San Diego Union-Tribune,San Francisco Chronicle,"homeless, affordable housing",2,2,False,True,1,0,Homeowners could be taxed for homeless aid funding,"The proposal in [ORGANIZATION] [PERSON], carried by [ORGANIZATION] member [ORGANIZATION], D-GPE0, calls for 1.1 billion to go to counties and local agencies that provide housing and services for the homeless. Cities with populations of at least 300,000 would divvy up another 800 million and 100 million would go to nonprofit housing developers as seed money to build affordable housing, permanent supportive housing, motel conversions and the like."
sanfrancisco,2020-03-13T00:00:00Z,The San Diego Union-Tribune,San Francisco Chronicle,homeless,3,3,False,True,1,0,Homeowners could be taxed for homeless aid funding,"Another bill that would raise up to 500 million DATE0 for homeless programs is very specific in how it would be funded. [ORGANIZATION] Bill 1905 by [ORGANIZATION] member [ORGANIZATION], D-GPE0, would cap the state tax deduction on mortgages to the interest paid on the first 750,000 of a primary home. The measure also would do away with that tax break on vacation homes altogether."
sanfrancisco,2020-03-13T00:00:00Z,The San Diego Union-Tribune,San Francisco Chronicle,affordable housing,3,3,False,True,1,0,Homeowners could be taxed for homeless aid funding,"In [ORGANIZATION], [ORGANIZATION] tried to eliminate the mortgage interest deduction for second homes to fund affordable housing, according to [ORGANIZATION]. After passing three committees, the bill died on the ORG1 floor without a vote. The ORG2 pointed out that tax increases require a two-thirds vote in both houses of the [ORGANIZATION], and added that would be a heavy lift even with Democrats holding more than a supermajority in the [LOCATION] and the ORG1."
sanfrancisco,2020-03-13T00:00:00Z,The San Diego Union-Tribune,San Francisco Chronicle,affordable housing,2,2,False,True,1,0,Homeowners could be taxed for homeless aid funding,"Back in [ORGANIZATION], a potential 900 million bond measure to finance affordable housing would require two-thirds voter approval. The proposal is targeted for the [ORGANIZATION] ballot, but still needs approval by [ORGANIZATION] to get on it."
sanfrancisco,2020-03-13T00:00:00Z,The San Diego Union-Tribune,San Francisco Chronicle,homeless,1,1,False,True,1,0,Homeowners could be taxed for homeless aid funding,"The housing bond would raise taxes on city of [ORGANIZATION] property owners by an average of [DATE] to pay for 7,500 subsidized apartments for the homeless, veterans, seniors and the poor, according to [ORGANIZATION] of The [ORGANIZATION] Union-Tribune."
sanfrancisco,2020-03-13T00:00:00Z,The San Diego Union-Tribune,San Francisco Chronicle,homeless,2,2,False,True,1,0,Homeowners could be taxed for homeless aid funding,"[ORGANIZATION] recently gave a mixed assessment of the proposals prospects in the wake of the defeat of [ORGANIZATION], the hotel-tax increase that would have funded an expansion of the convention center, homeless programs and [STREET] repairs. The initiative fell just a couple percentage points short of the two-thirds majority needed."
sanfrancisco,2020-03-13T00:00:00Z,The San Diego Union-Tribune,San Francisco Chronicle,homeless,1,1,False,True,1,0,Homeowners could be taxed for homeless aid funding,"The failure of [ORGANIZATION] locally and the defeat of typically popular school bonds across the state suggest Californians may not be in the mood to raise taxes for housing, the homeless or, perhaps, anything else."
sanfrancisco,2024-09-06T00:00:00Z,The Week US,San Francisco Chronicle,affordable housing,5,5,False,True,1,0,Will PERSON0 give YIMBYs a voice in [ORGANIZATION]?,"Its ORG1s time to shine, said [ORGANIZATION]. PERSON0 affordable housing plan - which pledges to cut red tape that blocks new construction - explicitly echoes the ORG1 agenda. That agenda especially targets blue states and cities where permitting requirements and environmental reviews have hamstrung efforts to build more homes. If housing is a supply-and-demand problem, then ORG1ism looks to ensure there is plenty of supply. The best [STREET] to solve [ORGANIZATION] housing shortage is to make it permissible for people to build as much housing as they can, especially for working people, said Sen. [PERSON]."
sanfrancisco,2024-09-06T00:00:00Z,The Week US,San Francisco Chronicle,housing crisis,5,5,False,True,1,0,Will PERSON0 give YIMBYs a voice in [ORGANIZATION]?,"[ORGANIZATION] housing crisis has its roots in regulations enacted by innumerable municipalities, [ORGANIZATION] economist [ORGANIZATION] said in [ORGANIZATION]. Thats why the median-price of a single-family home now clocks in at 422,000. But those [ORGANIZATION] towns wont back off the building barriers out of the goodness of their hearts. If [PERSON] truly wants to make a dent in the cost of housing, shell need to threaten federal funding that goes to states and cities if they dont change course. Otherwise, it is hard for the federal government to engineer change at the hyperlocal level."
sanfrancisco,2024-09-06T00:00:00Z,The Week US,San Francisco Chronicle,housing crisis,7,3,True,True,1,0,Will PERSON0 give YIMBYs a voice in [ORGANIZATION]?,The problem? Restrict zoning rules dont really explain the entirety of the housing crisis. Tighter lending standards adopted after the [ORGANIZATION] financial crisis has also dried up the pool of people who can get mortgages to purchase new homes.
sanfrancisco,2024-05-15T00:00:00Z,New York Observer,San Francisco Chronicle,affordable housing,2,2,False,True,1,0,An Anonymous $100M Donation Could Help Keep Artists in [ORGANIZATION],"For [ORGANIZATION], [ORGANIZATION] has stood as a triumphant testament of subsidized and artist-centered housing in a city known for its high cost of living. Now, two [ORGANIZATION]-based nonprofits are hoping to replicate the complexs success by turning a local mattress store into an affordable housing project for local struggling artists."
sanfrancisco,2024-05-15T00:00:00Z,New York Observer,San Francisco Chronicle,affordable housing,2,2,False,True,1,0,An Anonymous $100M Donation Could Help Keep Artists in [ORGANIZATION],"[ORGANIZATION] and ORG1 are teaming up to develop 100 affordable housing units with the help of an anonymous donors 100 million gift, as first reported by ORG2. The nonprofits submitted plans for the site on [DATE] FAC0 to city officials [ORGANIZATION]."
sanfrancisco,2023-07-14T00:00:00Z,The Deseret News,San Francisco Chronicle,homelessness,1,1,False,True,1,0,[ORGANIZATION] cities with successful homeless programs | [ORGANIZATION],"As many as 564,708 people went without shelter on any given night in [ORGANIZATION], according to the latest report by [ORGANIZATION]."
