date,tweet_count
2024-11-28,121
2024-11-29,124
2024-11-30,172
2024-12-01,209
2024-12-02,112
2024-12-03,126
2024-12-04,149
2024-12-05,459
2024-12-06,337
2024-12-07,112
2024-12-08,64
2024-12-09,57
2024-12-10,380
2024-12-11,551
2024-12-12,280
2024-12-13,125
2024-12-14,360
2024-12-15,128
2024-12-16,212
2024-12-17,423
2024-12-18,492
2024-12-19,219
2024-12-20,106
2024-12-21,74
2024-12-22,240
2024-12-23,168
2024-12-24,191
2024-12-25,87
2024-12-26,94
2024-12-27,210
2024-12-28,1954
2024-12-29,492
2024-12-30,199
2024-12-31,141
