filename,date,paragraph,matched_words
05_28_2024_scranton_meeting_minutes.txt,05_28_2024,"If you haven't gone down that path of being homeless , if you haven't gone down the path of being maybe not in a gang but know someone that's in a gang or try to help someone to get out of that situation , I don't understand how you can help someone and develop a plan. So that's what I was looking for in the papers. I did not see it.",homeless
05_28_2024_scranton_meeting_minutes.txt,05_28_2024,"And we will investigate so the issue is covered up and never reported on because investigation s are blocked from exposure by the right to know law. Last, I did receive the listing of the unsheltered task force. I understand that all of these groups have knowledge of the homeless , not unsheltered in the community .",homeless
05_28_2024_scranton_meeting_minutes.txt,05_28_2024,"So that's one solution there. As far as the gang-banging goes, I spoke about this I think two weeks ago. You know, we can have a city 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 2540 community event -- listen, this woman right here, she said that how can you understand to reach the gang-bangers , right, or the homeless people if you've never been in that situation .",homeless
05_28_2024_scranton_meeting_minutes.txt,05_28_2024,"Well, I have on both ends. I've been homeless . You guys know that from last year.",homeless
05_28_2024_scranton_meeting_minutes.txt,05_28_2024,they all shake my hand. The homeless people all shake my hand. They all respect me because I give food and clothes to them all the time.,homeless
05_28_2024_scranton_meeting_minutes.txt,05_28_2024,"The meeting that I was at, they didn't have the full task force there. I don't know, maybe there was like 15 people present .1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 2556 There were certainly people of color who were there. I don't know if anyone there was homeless or if they previously been homeless .",homeless
05_28_2024_scranton_meeting_minutes.txt,05_28_2024,"But as I mentioned last week, there were a lot of people who were a part of the organizations , the non-profits who are providing services to the homeless and unshelt ered. So I don't think it's wrong for those people to be there because we're trying to figure out what other services are needed, who's going to be providing them, you know, figuring out additional shelters . So we need those people there too.",homeless
05_28_2024_scranton_meeting_minutes.txt,05_28_2024,But I do agree that we need to find ways to include the homeless and unsheltered population in the conversation s to make sure that we are meeting their needs. It was the first meeting that I have been to. So that might have been a part of the conversations before that I might not be aware of but to see a plan put in place for how to do that.,homeless
05_28_2024_scranton_meeting_minutes.txt,05_28_2024,"I know it's a lot for 5-D. DR. ROTHCHILD : On the question , I 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 2572 just wanted to add that I have many of the same questions -- although I think it's exciting that this could be used towards a potential , you know, affordable housing project . But I think we need more detailed information about what the project is going to be to help us with this legislation .",affordable housing
05_28_2024_scranton_meeting_minutes.txt,05_28_2024,"[1] - 5:2 Holy [1] - 3:25 Home [2] - 11:10, 11:14 home [3] - 12:3, 12:11, 41:25 homeless [9] - 14:12, 38:22, 40:3, 40:6, 41:17, 56:3, 56:4, 56:7, 56:16 homeowner [1] - 19:12hometown [1] - 31:24 honoring [2] - 4:12, 4:24 hope [4] - 25:25, 26:1, 27:7, 55:13 hopefully [3] - 9:12, 9:18, 23:20 horrific",homeless
09_10_2015_scranton_meeting_minutes.txt,09_10_2015,"TheScranton FireDepartment $100,000.Purchase ofafiretruckfor EngineNo.7. Thenextallocations areforthe HOMEprogram,$220,000forrehabilitation of homesintheCityofScranton .$60,000, thisoneisforanonprofit community based organization tohelpstafftodevelop affordable housing inthecommunity . Thenextitemis$40,000tobeused reasonable administrative andplanning costs incompliance withtheHOMEhomerules.",affordable housing
04_02_2024_scranton_meeting_minutes.txt,04_02_2024,And this is for everyone in the room. Raise your hand if you've ever been homeless or are currently homeless ? Now raise your hand if you want to be homeless .,homeless
