date,matched_words,Deidentified_paragraph
05_28_2024,homeless,"If you haven't gone down that path of being homeless , if you haven't gone down the path of being maybe not in a gang but know someone that's in a gang or try to help someone to get out of that situation , I don't understand how you can help someone and develop a plan. So that's what I was looking for in the papers. I did not see it."
05_28_2024,homeless,"And we will investigate so the issue is covered up and never reported on because investigation s are blocked from exposure by the right to know law. Last, I did receive the listing of the unsheltered task force. I understand that all of these groups have knowledge of the homeless , not unsheltered in the community ."
05_28_2024,homeless,"So that's one solution there. As far as the gang-banging goes, I spoke about this I think [ORGANIZATION]. You know, we can have a city 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 [DATE] 18 19 20 21 22 23 [DATE] community event -- listen, this woman right here, she said that how can you understand to reach the gang-bangers , right, or the homeless people if you've never been in that situation ."
05_28_2024,homeless,"Well, I have on both ends. I've been homeless . You guys know that from [ORGANIZATION]."
05_28_2024,homeless,they all shake my hand. The homeless people all shake my hand. They all respect me because I give food and clothes to them all the time.
05_28_2024,homeless,"The meeting that I was at, they didn't have the full task force there. I don't know, maybe there was like 15 people present .1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 [DATE] 18 19 20 21 22 23 [DATE] There were certainly people of color who were there. I don't know if anyone there was homeless or if they previously been homeless ."
05_28_2024,homeless,"But as I mentioned [ORGANIZATION], there were a lot of people who were a part of the organizations , the non-profits who are providing services to the homeless and unshelt ered. So I don't think it's wrong for those people to be there because we're trying to figure out what other services are needed, who's going to be providing them, you know, figuring out additional shelters . So we need those people there too."
05_28_2024,homeless,But I do agree that we need to find ways to include the homeless and unsheltered population in the conversation s to make sure that we are meeting their needs. It was the first meeting that I have been to. So that might have been a part of the conversations before that I might not be aware of but to see a plan put in [STREET] for how to do that.
05_28_2024,affordable housing,"I know it's a lot for 5-D. DR. [PERSON] : On the question , I 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 [DATE] 18 19 20 21 22 23 [DATE] just wanted to add that I have many of the same questions -- although I think it's exciting that this could be used towards a potential , you know, affordable housing project . But I think we need more detailed information about what the project is going to be to help us with this legislation ."
05_28_2024,homeless,"[1] - 5:2 Holy [1] - 3:25 Home [2] - 11:10, 11:14 home [3] - 12:3, 12:11, 41:25 homeless [9] - 14:12, 38:22, 40:3, 40:6, [DATE], 56:3, 56:4, 56:7, 56:16 homeowner [1] - 19:12hometown [1] - 31:24 honoring [2] - 4:12, 4:24 hope [4] - 25:25, 26:1, 27:7, 55:13 hopefully [3] - 9:12, [TIME], [ORGANIZATION] horrific"
09_10_2015,affordable housing,"[ORGANIZATION] $100,000.Purchase [ORGANIZATION] EngineNo.7. Thenextallocations ORG2 of homesintheCityofScranton .$60,000, ORG3 community based organization tohelpstafftodevelop affordable housing inthecommunity . Thenextitemis$40,000tobeused reasonable administrative andplanning costs incompliance withtheHOMEhomerules."
04_02_2024,homeless,And this is for everyone in the room. Raise your hand if you've ever been homeless or are currently homeless ? Now raise your hand if you want to be homeless .
04_02_2024,homeless,"I was also working at the time which made things more complicated . Do you know how hard it is to find a shower when you're homeless or to even use a bathroom when places won't let you, how to stay warm without having your car running all night or even worse, being lonely in a tent? If I hadn't had a job, where would I get food?"
04_02_2024,homeless,"I have been delivering food and supplies to these people for [ORGANIZATION] now. And I've heard their side of things for this long. I've seen people get jobs, move into apartments and at the beginning of their unfortunate homeless journey and many of these homeless people do have jobs."
04_02_2024,homeless,"Many of us are feeling this [STREET], people that have homes. We have come together 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 [DATE] 18 19 20 21 22 23 [DATE] to make sure these people are having their very basic needs taken care of for them because places that are suppose d to be doing this are not allowed to just due to the fact of facing the backlash from those above them. Shelters are not allowed to help the homeless because heaven forbid you give a homeless person a tent since they have no other options left."
04_02_2024,homeless,"People in the homeless community have told me themselves that this would be a big improvement and it would give them a chance to feel like more than just dogs that it would give them a [STREET] to have a little bit of their 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 [DATE] 18 19 20 21 22 23 [DATE] dignity back. The people that took away these things from them can keep their pat on the backs and their smug comment s. I have watched good people in [ORGANIZATION] regardless of religion , political views and economic backgrounds come together ."
04_02_2024,homeless,My name is [ORGANIZATION]. I'm a citizen of [ORGANIZATION] . Currently at this present time I am homeless .
04_02_2024,homeless,"And it's kind of hard for us to voice our opinions or to go out to meeting s or to ask for help without the proper resources that we are requesting for. Some of these things is just needed for us to actually move on so that we are not stereotyped so that we all could come together as a city and be able to work things out. [LOCATION] homeless people, many of us have diplomas , have skills, have worked, have lost jobs under a nature that was not asked for us to."
04_02_2024,homeless,"And by everyone being equal, it will cause less stress, less depression , just by less everything . Some of these homeless people 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 [DATE] 18 19 20 21 22 23 [DATE] and me and others that's in this room that may be homeless would like a job, would like to be part of the development , would like to donate funds to help onto our own brothers and sisters . I really think that we should really just all come together and make sure that the homeless people are cared for as those, [ORGANIZATION] , [ORGANIZATION] , [ORGANIZATION], and all the other organization s, [ORGANIZATION] ."
04_02_2024,homeless,"The funding, we can't really focus too much on funding if we can't focus on that. We have the homeless that's capable of doing these jobs. One thing, I'm employed ."
04_02_2024,homeless,"Yes, that came from FAC0 . And I did the next steps myself to go over here to FAC1 and fill out that paperwork . And I would like for all the homeless people to be able to do that and have a chance to fill out those paperwork s and be able to be moved up on a list."
04_02_2024,homeless,DATE0 I talked about the garbage down by FAC0? It was left from I guess the homeless were chased out of there. Was [ORGANIZATION] informed about that?
04_02_2024,homeless,"And one of the things is the homeless population . You know, as I sat there and listened to the presentations that were made, my church works with the homeless people. We work with [ORGANIZATION] and we do meals there."
04_02_2024,homeless,And we do what we call our sleeping bag project . And we make sleeping bags for the homeless . We do it on [ORGANIZATION].
04_02_2024,homeless,For this young lady to stand up here with a board with the numbers of homeless -- I guess that's what it was. I couldn't read it all. But do we have a coordinator that's a city representative and paid by the city that oversee s and meets with all the different agencies in the city so that we know what's going on with the homeless population ?
04_02_2024,homeless,"I don't know. I just know what my church does for the homeless . And I think, you know, I read the budget."
04_02_2024,homeless,Maybe I should look in the budget and 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 [DATE] 18 19 20 21 22 23 [DATE] see if there's a line item in there for a homeless coordinator that could coordinate with all the cities and the churches in [ORGANIZATION] . What I came to talk about -- that took up [TIME] of my time. But what I came to talk about [TIME] was [ORGANIZATION].
04_02_2024,homeless,"We can't cave into their demands anymore. Enough [DATE] 3 4 5 6 7 8 9 10 11 12 13 14 15 [DATE] 18 19 20 2[DATE]2 23 [DATE] is enough of them. And one thing about the homeless , [ORGANIZATION] knows that [PERSON] and me been since [ORGANIZATION] try to help PERSON2 in our own little [STREET]."
04_02_2024,homelessness,Continuing from [ORGANIZATION] on my odyssey of homelessness in [ORGANIZATION] . [TIME] I was walking around in front of FAC0. And there's all of these cars.
04_02_2024,homeless,"And one of the homeless shelters , a specialized [INSTITUTION] on FAC0 -- there's two of them. They call them halfway houses. People that get out of jail"
04_02_2024,homeless,"and they put them in there. At some point in time somebody made laws, you know, like, we're caregivers -- probably was [ORGANIZATION] , I guess, because his picture is on there. But all of these [INSTITUTION] s they're really just 5013Cs like everything else 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 [DATE] 18 19 20 21 22 23 [DATE] like [ORGANIZATION] ."
04_02_2024,homeless,"I also saw the same night, you know, a guy being led into FAC0 shelter , which is on FAC1. And it gets very confusing because it's in the same building as FAC2. And it's the same building and in the back of that same building is another [INSTITUTION] for people that -- halfway got out of jail."
04_02_2024,homelessness,"They don't even present the real lease in their legal papers. There's no reason that I should have been taken to [STREET] in the first [STREET]. In fact, it was illegal because [ORGANIZATION] main duty as a federal housing authority is to stop homelessness and provide safe housing for the elderly and disabled ."
04_02_2024,homelessness,"[ORGANIZATION], you know, all of the things that they set up to take care of the homelessness , I mean, I go down there. It's the same people out of the halfway house. And they come there and all of these charities , you know, good people."
04_02_2024,homeless,"After Mayor [PERSON] we got Mr. [PERSON] . And one of the incidents we had a homeless advocate here talking about how they showed up along, the trail to be -- the river trail and tossed everybody 's belongings into the river along with the current police chief. So, you know, we have a long history here of not treating people right and certainly wallets and papers should never be thrown away."
04_02_2024,homeless; homelessness,"[10] - 12:10, [ORGANIZATION], [LOCATION], [DATE], 39:7, [ORGANIZATION], 47:11, [DATE], 56:14, 68:24 homeless [30] - DATE3, [DATE] [TIME] [PERSON], [PERSON], [ORGANIZATION], [ORGANIZATION], 13:8, [ORGANIZATION], [PERSON], [LOCATION]0, [LOCATION]1, 17:2, 17:8, [DATE], 19:6, 20:13, [TIME] 24:16, [LOCATION]2, [LOCATION]3, [LOCATION]4, [LOCATION]5, 26:2, 32:2, 42:15, [DATE], 42:24, 43:9, 46:9 homelessness [3] - 42:12, 44:20, 45:12 homeowner [3] - 20:11, [DATE], [DATE]5 homes [1] - 12:25 honor [1] - 41:13 [PERSON] [1] - 6:2 hope"
08_07_2019,homeless,"I understood what challenges were facing downtown [ORGANIZATION] at that time, parking , a lot of the blight issues that are not -- now being solved. Quite frankly , I think there is a homeless issue in downtown [ORGANIZATION] that I happen to see [ORGANIZATION] because I have a large window facing my office; the mercantile tax, the trying to get and retain good employees in the City. I saw firsthand the challenges that we faced."
11_22_2022,homeless,"And if I'm evicted and homeless , I'm finished . I just turned [ORGANIZATION]. And I have been living in [ORGANIZATION] since [LOCATION]."
06_18_2024,homeless,"One is what we're doing to ensure our city employees are kept safe, especially those on [ORGANIZATION] workers , maintenance , [PERSON] and [PERSON], that their outdoor activities are tempered in such a [STREET] that they're not going to be victims of heat stroke, number one. There is nothing so essential that we have to make employees sick. Number two is, what about our homeless community ?"
06_18_2024,homeless,"Do we have the equivalent of a code red for people who are looking at these temperatures ? I mean, they are bad and with the humidity and with the heat. So what are we doing for the homeless ?"
06_18_2024,homeless,"That was from the smoke from [ORGANIZATION]. Homeless , we don't want them, not willing to fix the issue. Let's look at the [ORGANIZATION] 's report on the books [TIME] in our effort for humanity ."
06_18_2024,homeless,"Hunger initiative , allocated $10,000, spent nothing ; homeless outreach, allocated $10,000, spent nothing ; youth engagement , allocated $20,000, spent nothing ; beautiful blocks, allocated $40,000, spent nothing ; [ORGANIZATION] , allocated $85,000, spent nothing : It all looks good on the budget to have these humanitarian issues as well as at [ORGANIZATION] it can be line itemed over to covering overtime or maybe a new outside contractor . Thank you. MR. PERSON0: Thank you."
06_18_2024,homeless,"[1] - 18:1 holding [1] - 54:13 holds [1] - 45:21 holiday [1] - 38:14 home [3] - 44:22, 54:5, 57:22 homeless [4] - 7:18, [TIME], 19:8, 19:13 homes [1] - 30:20 Honor [1] - 25:5 hope [3] - 5:16, 35:24, 49:25 hopefully [6] - 7:3, 37:10, [DATE], 50:7, 52:4 hoping [5] - 5:2, 11:16, [TIME], 39:14, 43:3 hospital [1] - 50:17 host"
07_23_2024,homelessness,But I hope to have some conversations on our fire billing process . I got another bill from an individual who got a reply from his insurance company about why they're not going to cover the bill that was sent out by the city for a fire that had occurred . So I think it's something that we do need as a [ORGANIZATION] to address and the other issue is homelessness .
07_23_2024,homelessness,Some -- [ORGANIZATION] issued their -- where they stand on homelessness with municipalities . [ORGANIZATION] has stated what their plan is going to be at least a start of their plan. I did notice that the Mayor said that [ORGANIZATION] -- from what I gathered from the article isn't going to be doing anything at this point as far as I could see.
07_23_2024,homelessness,"So I would like [ORGANIZATION] to start to discuss what we're going to do in terms of our municipality and homelessness . Any other comments I'll reserve for on the question . And that's all, Mr. [PERSON]."
01_09_2024,homeless,"There's no record of the thousands of people that were made homeless by this [ORGANIZATION] in an improper prosecu torial setup by the district attorney and the magistrate judge. There is just no record. I mean, there's a record of the complaint and the judgment ."
01_09_2024,homeless,"It's up in [ORGANIZATION] but therein again, I pointed out [ORGANIZATION] that county gave them a tax abatement so somebody from [PERSON] theoretically would have to replace that money that they wouldn't have received from a 20 million dollars building . And some other food for thought , in [ORGANIZATION] , which you see their homeless problem constantly on the news, 42 percent business occupancy . This is what some of our [ORGANIZATION] and whomever decide to build all of these properties and they turn a handsome profit at it and they disappear and [LOCATION] you have a 20 million dollar office building ."
09_10_2024,homeless,"It disappeared . But no one is talking about that. They're talking about law enforcement and, you know, a lot of talk about law enforcement and getting rid of the homeless with law enforcement ."
09_10_2024,homeless,"But this is the key thing because the powers that be run all of these non-profits . They own the courts through outside influences putting people in office as attorney generals , as district attorney s, and these are the people that are running [ORGANIZATION] . They get 153 million dollars and all of a sudden I'm homeless after DATE0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 [DATE] 18 19 20 21 22 23 [DATE]."
09_10_2024,homeless,I also asked for an update on homeless encampments that are being -- if they're being addressed by the city and if the homeless task force committee may advise if there's been any notable increase in the number of homeless since other municipalities outside [ORGANIZATION] have been taking action. And I got a one word answer. That one word answer was no.
09_10_2024,homeless,"Mr. [PERSON] , can we ask if the answer no is from -- is -- if there is a notable increase and if that's the case, can we also make sure that at the next homeless task force meeting it be brought up if there is an influx in the number of homeless coming into the city with other municipalities taking 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 [DATE] 18 19 20 21 22 23 [DATE] action on it? MR. PERSON1 : I'll get clarification and ask those questions ."
09_10_2024,homeless,"Getting back to the homeless task force, can we ask who runs the actual task force? Is it someone from [ORGANIZATION]? It seems like a lot of [ORGANIZATION] is involved with that, but who is running the actual task force."
09_10_2024,squatter,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 [DATE] 18 19 20 21 22 23 [DATE] And my understanding is there is a squatter or squatters living there with drug-related behavior . There's dogs that are living with them.
09_10_2024,homeless,"[1] - 64:19 home [3] - 14:18, 15:4, 23:21 homeless [8] - 21:16, [DATE], 32:12, 32:14, [DATE], 32:24, 34:9 homes [3] - 38:3, 38:4 honor [3] - 12:14, 14:15, 14:24 hope [6] - 5:20, [DATE], 20:14, 25:5, 27:19, 50:24 hopefully [2] - 10:6, 38:20 hoping [3] - 8:23, [TIME], 37:18 Hopkins"
09_10_2024,squatter,"[2] - 33:6, 33:10 squatter [1] - 47:2 squatters [1] - 47:2 stabbed [1] - 24:21 stabilization [1] - 33:19 stadium [1] - 15:12 Stadium [1] - 14:22 staffing [1] - 10:11 standing [2] - 3:3, 12:23 start [1] - 36:20 started [3] - 43:7, 43:8, 54:10 starts [1] - 15:14 STATE [2] - 72:23, 74:5 state [3] - 11:4, 23:12, 49:23 states [1] - 66:25 stations [1] - 22:16 statues"
10_03_2023,homeless,"Flood victims deserve a break from government . Editor, my parents ' [ORGANIZATION] home was condemned in [ORGANIZATION] due to a mine subsidence . Homeless for [LOCATION] we experienced extreme financial hardship ."
10_03_2023,homeless,"When 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 [DATE] 18 19 20 21 22 23 [DATE] we stay tuned and we're waiting , do we know what the vetting process is yet for FAC0 for the homeless hotel? Do we have an answer on the vetting process yet? Well, the Mayor is here [TIME] ."
10_03_2023,homeless,"If a young girl was raped or a woman was raped, do we know who those people are -- who those homeless people are? Do you know who's in our town? Neither do [ORGANIZATION] , terrible representation ."
07_27_2017,affordable housing,"[PERSON] whoappear heretoaddress you areconcerned aboutfinancial matters [ORGANIZATION] notsaying thatthoseconcerns are unimportant ,butIcomebefore youtodetail theelderabusethatcontinues togoonin thiscitywithyourassention [ORGANIZATION]talking aboutexploitation ,control ,andfinancial rapeoftheelderly . In2012whenClover Management testified inpublic hearings before this bodytheyfraudulently [ORGANIZATION] that theysought abuilding andoperating permit andaten-yeartaxabatement forasenior apartment complex thatwouldoffer ""affordable housing ""tothose55andoverof [ORGANIZATION]."
06_04_2024,homelessness,"The first one was on the article that appeared in the [ORGANIZATION] paper on the homelessness . And, you know, very seldom I read an article from beginning to end. But that was one that I read from beginning to end."
06_04_2024,homeless,"Somebody is answering my questions , my concerns . So I'm not the only one in [ORGANIZATION] who is concerned about our population , our homeless population . One of the things that they said [ADDRESS] to count and see just how many homeless people that we do have in [ORGANIZATION] ."
06_04_2024,homeless,"I also know someone that I've been helping during [ORGANIZATION] to collect clothing and underwear and things for the homeless in [ORGANIZATION] . And what she does is, she's a young lady. And she fills her truck with things that she's collect [PERSON] and takes it down to [ORGANIZATION] where a friend of hers has a mobile shower."
06_04_2024,homeless,And they give showers to the homeless people. And lo and behold [ORGANIZATION] I was watching the news. And there is another person in [ORGANIZATION] who is doing the same thing.
06_04_2024,homeless,They take these old buses and they get them converted into showers that the homeless can take a shower and feel that they are better -- a part 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 [DATE] 18 19 20 21 22 23 [DATE] of the community . So I'm hoping that someone out there has that ability and has that kind of knowledge and that I could always volunteer to help clean up or help wash the towels afterward s of these homeless that take these showers. So that's just something that's dear to my heart is the homeless population .
06_04_2024,homeless,MR. PERSON0: I believe they purchase -- they do purchase vouchers and hand them out to the homeless so that they could do that. MR. PERSON1 :
06_04_2024,homeless,It's on FAC0 close enough to FAC1 for on routes and all that. Somehow I think that would be a really nice [STREET] to consider for a [INSTITUTION] . It has separate rooms.
06_04_2024,homeless,But it's a derelict building that has quite a lot of what's necessary to work as a [INSTITUTION] . It's just rotting away a short walk from [ORGANIZATION]. It's just sad that it's in the condition that it's in considering it is a nice 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 [DATE] 18 19 20 21 22 23 [DATE] building .
06_04_2024,homeless,But I think that a bathhouse would be a relatively productive thing to put in certain parts of the city. I don't know how that would be done. But it does give -- makes it a little more human for the homeless .
06_04_2024,homeless,"And, you know, we have a homeless problem and a housing problem . And from what I see of the use of the [ADDRESS] building , it's hard to get a handle on who exactly is doing what and under what name of agency. So I'm wondering if you -- you seem pretty positive this is not a sanctuary city."
06_04_2024,homeless,"But there's all of these different agencies . And most of them are [PERSON] and just to try to start to figure something out, I mean, we're talking about showers and all kinds of different things to deal with the homeless . And we have all of these charities , 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 [DATE] 18 19 20 21 22 23 [DATE] you know, that seem to be the official point of focus on the homeless ."
06_04_2024,homelessness,"And DATE0 I gave you copies of my certificate of homelessness which I, you know, that I have to get. And so these -- so the people doing that -- I'm still not sure who's doing that. The three pieces of paper that I gave you, one was [ORGANIZATION] , one was [ORGANIZATION], and the other was ORG2 ."
09_13_2022,soup kitchen,"The money that they raised for this, they do a lot of great things. So in [ORGANIZATION] since their last DATE1 fest, we've hosted the following free events: A kids DATE2 party, tree lighting and [ORGANIZATION], breakfast with the bunny. And they also in addition to that make multiple donations over [ORGANIZATION]s with money raised to [ORGANIZATION] soup kitchen , and [PERSON], ORG2 , FAC0, [ORGANIZATION] ."
01_28_2019,homeless,"A Code Blue Alert issued when the forecasted temperature in [ORGANIZATION], including windchills, is expected to reach 25 degrees [PERSON] or lower. The goal of this notification is to make people aware of the extremely cold conditions , provide information related to 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 [DATE] 18 19 20 21 22 23 [DATE] 257 health and wellness and cold weather publications of emergency shelters that are operated by various social security . During a Cold Blue Alert, homeless individuals can access an emergency shelter at the following locations : FAC0, [ADDRESS]."
12_05_2023,homeless,It makes people feel good. But it doesn't change the reality that [ORGANIZATION] is rapidly becoming a third world country . All the cities are ringed by homeless people.1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 [DATE] 18 19 20 21 22 23 24 251538 We're being overrun by migrant s from other countries who walked across our border.
12_05_2023,homeless,We heard that from the county that they need more money because they don't have enough buffer that's recommended for the government to actually have. It's kind of amazing when the city needs more breathing room when the citizens are fighting for their last breath. The city needs more breathing room to operate as people are 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 [DATE] 18 19 20 21 22 23 [DATE] trying to hold onto their last dollar to feed themselves to pay the bills and to keep themselves in the home from not being homeless on railroad tracks because we know how much homeless is approved of.
02_14_2023,homeless; soup kitchen,I'm a citizen here. I went through a lot and it took [ORGANIZATION] to get me through what I've been through and to see us squander funds that have been coming from the federal government and even they can't even cooperate and us locally we're not supporting our citizens even our children and there is multiple amounts of homeless people up here. I go to the soup kitchen [ORGANIZATION] for [LOCATION].
06_23_2016,homeless,"Ihadafriend witha broken pipeupinhisbathroom ,hewoundup homeless because hishosewascondemned .A broken pipeinthebathroom ,givemea break,youknow,[PERSON]. KOZ's,thegrants,theyjustgetsucked up bypeople withtentimesmoremoneythan whatthegrants aresupposed tobewritten forsoinretrospect I'mgladMr. [ORGANIZATION] is downtheroadandprobably thebestthing thatthelastcouncil everdidwastoget ridofhim."
02_27_2024,homeless,"Coming up -- I think the rest of the [ORGANIZATION] got it. I was in some discussion with Mr. [PERSON] , some representatives of the railroad and we had some conversation about homeless encampment s along the railroad and on private property .1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 [DATE] 18 19 20 21 22 23 [DATE] The ORG1 and ORG2 were brought into that conversation as well as the Mayor."
07_09_2024,homeless,"It's been caught collect ing recyclables in dumpsters in parks and at [ORGANIZATION] on paid city time for personal profit who is now the judge of who gets free money. Is there going to be an audit and a showing of who receive s these free cards? Free food gift cards should have been handed out to a food shelter or for the homeless , the people who actually need them."
07_09_2024,homelessness,"It's just kind of silly. Now, on our national level, homelessness is now illegal thanks to [ORGANIZATION]. So they could put you in jail."
07_09_2024,homeless; homelessness,"[1] - 14:8 HOME [3] - 60:19, 60:20 home [1] - 7:23 homeless [1] - 31:16 homelessness [1] - 38:19 homeowner [1] - 12:7 homeowners [3] - 9:19, [DATE], 11:10 homes"
02_07_2023,homeless,and I appreciate that. I have a heart for the homeless . And I'm a pastor.
02_07_2023,homeless,Usually I would do the events on [ORGANIZATION]. We bring the homeless down. We feed them for [TIME].
02_07_2023,homeless,"I've seen it all, like certain people being removed out of there. And I'm down there [ORGANIZATION]. And all the [ORGANIZATION] and all the residents there, like, I know them all, you know, and I love them because I was dropped off to be homeless [DATE]."
02_07_2023,homeless,I have a 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 [DATE] 18 19 20 21 22 23 [DATE] [DATE] passion for it and [DATE] of my life I just love to help. I don't just help homeless people. I help everybody [DATE] nonstop .
02_07_2023,homeless,"I pretty much said everything . I do have ORG1ORG1 one thing I missed was I have a relationship s with probably 95 percent of the homeless in this city from getting them phones to getting them jobs at ORG0ORG1ORG2. We have deals with both ORG0ORG1ORG3, the PERSON0 ."
