city,article_title,article_date,article_source,city_source,paragraph_text,keywords_matched
scranton,Bipartisan push for housing fund,2015-04-20T00:00:00Z,"The Times-Tribune (Scranton, Pennsylvania)",The Times-Tribune,"Pennsylvania established the trust fund in 2010 to provide affordable housing to low-income individuals, help the elderly stay in their homes and fight neighborhood blight. However, the fund has lacked the funding to fully meet those goals.",affordable housing
scranton,Bipartisan push for housing fund,2015-04-20T00:00:00Z,"The Times-Tribune (Scranton, Pennsylvania)",The Times-Tribune,"Pennsylvania has an urgent need for affordable housing which the fund can address, said Sen. Elder Vogel, R-47, Rochester, the Senate bill sponsor.",affordable housing
scranton,Bipartisan push for housing fund,2015-04-20T00:00:00Z,"The Times-Tribune (Scranton, Pennsylvania)",The Times-Tribune,"Gov. Tom Wolf has not taken a position on the specific legislation, but is committed to finding ways to increase access to affordable housing, said spokesman Jeff Sheridan.",affordable housing
scranton,Lawmakers gearing up blight bills,2015-04-14T00:00:00Z,"The Times-Tribune (Scranton, Pennsylvania)",The Times-Tribune,"These would include projects to fix blighted properties and provide affordable housing, including rental homes, he said.",affordable housing
scranton,Lackawanna County opioid settlement committee eyes projects,2023-05-21T00:00:00Z,"The Times-Tribune (Scranton, Pennsylvania)",The Times-Tribune,"The committee also discussed proposals to address housing insecurity and a plan to transform the former Dr. Peter M. Mensky Vocational-Technical School in Mayfield into a dormlike facility that would provide mental health, substance abuse, and job and life skills training to participants who would live on site while undergoing treatment.",housing insecurity
scranton,University of Scranton students highlight unique needs of homeless women,2021-01-10T00:00:00Z,"The Times-Tribune (Scranton, Pennsylvania)",The Times-Tribune,"The two decided to help the homeless population, but their effort wasnt the typical clothing or food drive. They looked instead at providing feminine care products, a largely unnoticed need.",homeless
scranton,University of Scranton students highlight unique needs of homeless women,2021-01-10T00:00:00Z,"The Times-Tribune (Scranton, Pennsylvania)",The Times-Tribune,"With my undergraduate studies, I did a capstone project for my minor, and I focused on feminine care products within the prison environment, said Brown, who earned a bachelors degree in criminology and sociology with a minor in womens and gender studies from Wilkes University. And that kind of opened my eyes to how low resources are with this and how its not a topic thats not usually talked about. And talking about the homeless community is important.",homeless
scranton,University of Scranton students highlight unique needs of homeless women,2021-01-10T00:00:00Z,"The Times-Tribune (Scranton, Pennsylvania)",The Times-Tribune,"A lot of people dont realize that homeless and underprivileged womens needs include tampons, panty liners and menstrual pads, said Jenny Blanchard, development coordinator for the Catherine McAuley Center, the beneficiary of Brown and Taylors project. For the women the center serves, those products are luxuries, Blanchard said.",homeless
scranton,University of Scranton students highlight unique needs of homeless women,2021-01-10T00:00:00Z,"The Times-Tribune (Scranton, Pennsylvania)",The Times-Tribune,"The Catherine McAuley Center runs emergency homeless shelters for women and children, a food pantry, furniture bank and other programs, such as low-income housing for single women and a transitional housing program for women leaving prison. Based in South Scranton, the center also has an emergency shelter in Plymouth that serves women in Luzerne County. At Christmas, the center runs an adopt-a-family program and interviews families to find out what they need.",homeless
scranton,University of Scranton students highlight unique needs of homeless women,2021-01-10T00:00:00Z,"The Times-Tribune (Scranton, Pennsylvania)",The Times-Tribune,"Generally, the mothers will give the wish list for their children and then say, Oh, I dont need anything. Dont worry about me, Blanchard said. One mother wrote feminine products, which is hardly a Christmas present. It shows how needed they are, and I think doing these donation drives is also a way for students ... to learn about issues like this and homelessness and what are some of the day-to-day struggles that households have.",homelessness
