city,article_date,article_source,city_source,keywords_matched,Deidentified_article_title,Deidentified_paragraph_text
scranton,2015-04-20T00:00:00Z,"The Times-Tribune (Scranton, Pennsylvania)",The Times-Tribune,affordable housing,Bipartisan push for housing fund,"[ORGANIZATION] established the trust fund in [ORGANIZATION] to provide affordable housing to low-income individuals, help the elderly stay in their homes and fight neighborhood blight. However, the fund has lacked the funding to fully meet those goals."
scranton,2015-04-20T00:00:00Z,"The Times-Tribune (Scranton, Pennsylvania)",The Times-Tribune,affordable housing,Bipartisan push for housing fund,"[ORGANIZATION] has an urgent need for affordable housing which the fund can address, said Sen. [PERSON], R-47, [PERSON], the [ORGANIZATION] bill sponsor."
scranton,2015-04-20T00:00:00Z,"The Times-Tribune (Scranton, Pennsylvania)",The Times-Tribune,affordable housing,Bipartisan push for housing fund,"Gov. [PERSON] has not taken a position on the specific legislation, but is committed to finding ways to increase access to affordable housing, said spokesman [PERSON]."
scranton,2015-04-14T00:00:00Z,"The Times-Tribune (Scranton, Pennsylvania)",The Times-Tribune,affordable housing,Lawmakers gearing up blight bills,"These would include projects to fix blighted properties and provide affordable housing, including rental homes, he said."
scranton,2023-05-21T00:00:00Z,"The Times-Tribune (Scranton, Pennsylvania)",The Times-Tribune,housing insecurity,[ORGANIZATION] opioid settlement committee eyes projects,"The committee also discussed proposals to address housing insecurity and a plan to transform the former [ORGANIZATION] in [ORGANIZATION] into a dormlike facility that would provide mental health, substance abuse, and job and life skills training to participants who would live on site while undergoing treatment."
scranton,2021-01-10T00:00:00Z,"The Times-Tribune (Scranton, Pennsylvania)",The Times-Tribune,homeless,[ORGANIZATION] students highlight unique needs of homeless women,"The two decided to help the homeless population, but their effort wasnt the typical clothing or food [STREET]. They looked instead at providing feminine care products, a largely unnoticed need."
scranton,2021-01-10T00:00:00Z,"The Times-Tribune (Scranton, Pennsylvania)",The Times-Tribune,homeless,[ORGANIZATION] students highlight unique needs of homeless women,"With my undergraduate studies, I did a capstone project for my minor, and I focused on feminine care products within the prison environment, said [ORGANIZATION], who earned a bachelors degree in criminology and sociology with a minor in womens and gender studies from [ORGANIZATION]. And that kind of opened my eyes to how low resources are with this and how its not a topic thats not usually talked about. And talking about the homeless community is important."
scranton,2021-01-10T00:00:00Z,"The Times-Tribune (Scranton, Pennsylvania)",The Times-Tribune,homeless,[ORGANIZATION] students highlight unique needs of homeless women,"A lot of people dont realize that homeless and underprivileged womens needs include tampons, panty liners and menstrual pads, said [ORGANIZATION], development coordinator for [ORGANIZATION], the beneficiary of [ORGANIZATION] and Taylors project. For the women the center serves, those products are luxuries, [ORGANIZATION] said."
scranton,2021-01-10T00:00:00Z,"The Times-Tribune (Scranton, Pennsylvania)",The Times-Tribune,homeless,[ORGANIZATION] students highlight unique needs of homeless women,"[ORGANIZATION] runs emergency homeless shelters for women and children, a food pantry, furniture bank and other programs, such as low-income housing for single women and a transitional housing program for women leaving prison. Based in [ORGANIZATION], the center also has an emergency shelter in [ORGANIZATION] that serves women in GPE2. At [ORGANIZATION], the center runs an adopt-a-family program and interviews families to find out what they need."
scranton,2021-01-10T00:00:00Z,"The Times-Tribune (Scranton, Pennsylvania)",The Times-Tribune,homelessness,[ORGANIZATION] students highlight unique needs of homeless women,"Generally, the mothers will give the wish list for their children and then say, Oh, I dont need anything. Dont worry about me, [ORGANIZATION] said. One mother wrote feminine products, which is hardly a [ORGANIZATION] present. It shows how needed they are, and I think doing these donation drives is also a [STREET] for students ... to learn about issues like this and homelessness and what are some of the DATE1-to-DATE1 struggles that households have."
scranton,2021-01-10T00:00:00Z,"The Times-Tribune (Scranton, Pennsylvania)",The Times-Tribune,homeless,[ORGANIZATION] students highlight unique needs of homeless women,"Through their research, [ORGANIZATION] and [PERSON] learned about how homeless women who dont have the means to buy feminine care products often turn to the garbage to find paper to use instead, or go to a public restroom and improvise with toilet paper or paper towels. And if those options dont work, [PERSON] said, theyll use some of their own clothing as makeshift pads."
scranton,2021-01-10T00:00:00Z,"The Times-Tribune (Scranton, Pennsylvania)",The Times-Tribune,homeless,[ORGANIZATION] students highlight unique needs of homeless women,"And for homeless women who have children, [ORGANIZATION] said, the problem can be worse, as the women face the choice between buying feminine products for themselves or feeding their children. It all can have an even greater impact."
scranton,2021-01-10T00:00:00Z,"The Times-Tribune (Scranton, Pennsylvania)",The Times-Tribune,homeless,[ORGANIZATION] students highlight unique needs of homeless women,"People might feel scared to talk about menstruation issues or just dont really care to learn about them, [ORGANIZATION] said, and so the need for these products doesnt get attention. For women, menstrual care is a struggle everyone knows and understands, [PERSON] said, but some people, and particularly men, were surprised to learn about the need for help among homeless women."
scranton,2021-01-10T00:00:00Z,"The Times-Tribune (Scranton, Pennsylvania)",The Times-Tribune,homeless,[ORGANIZATION] students highlight unique needs of homeless women,"[ORGANIZATION] was so overjoyed because not many people to begin with really think about bringing these sorts of products to homeless shelters or to womens shelters, she said. And on top of that, with [PERSON], donations are just sort of scarce."
scranton,2015-09-16T00:00:00Z,"The Times-Tribune (Scranton, Pennsylvania)",The Times-Tribune,homeless,[ORGANIZATION] plans for block grant funding,"The city estimates it would receive federal [ORGANIZATION] funding in three categories [ORGANIZATION], 2.5 million [ORGANIZATION] for homeowner assistance, 400,000 and ORG1 homeless assistance program, 250,000. Councils allocations in the CDBG category total 2.8 million, but the figures arent final until ORG2 approves and releases funding, Mr. [PERSON] noted. Amendments to the proposed earmarks also may be made before council adoption."
scranton,2015-09-16T00:00:00Z,"The Times-Tribune (Scranton, Pennsylvania)",The Times-Tribune,homeless,[ORGANIZATION] plans for block grant funding,"Programs and areas that would receive funding through the citys [ORGANIZATION] include [STREET] paving, blight demolition, four or five neighborhood police patrol officers up from three, repairs to the closed FAC0 pool complex in [ORGANIZATION], home rehabilitation and emergency assistance for the homeless."
scranton,2015-09-16T00:00:00Z,"The Times-Tribune (Scranton, Pennsylvania)",The Times-Tribune,affordable housing,[ORGANIZATION] plans for block grant funding,"[ORGANIZATION], affordable housing private-nonprofit 60,000"
scranton,2015-09-16T00:00:00Z,"The Times-Tribune (Scranton, Pennsylvania)",The Times-Tribune,homeless,[ORGANIZATION] plans for block grant funding,"Emergency Solutions Grants, homeless assistance 250,000"
scranton,2015-09-16T00:00:00Z,"The Times-Tribune (Scranton, Pennsylvania)",The Times-Tribune,homeless,[ORGANIZATION] plans for block grant funding,"--United Neighborhood Centers of [ORGANIZATION], homeless prevention 31,000"
scranton,2015-09-16T00:00:00Z,"The Times-Tribune (Scranton, Pennsylvania)",The Times-Tribune,homeless,[ORGANIZATION] plans for block grant funding,"[ORGANIZATION] homeless prevention 1,500"
scranton,2019-03-31T00:00:00Z,"The Times-Tribune (Scranton, Pennsylvania)",The Times-Tribune,affordable housing,Nonprofit work is rewarding but challenging,"[ORGANIZATION] is acting director of [ORGANIZATION] for [ORGANIZATION], a faith-based nonprofit organization that provides affordable housing and other assistance services, primarily to low-income people."
scranton,2019-03-31T00:00:00Z,"The Times-Tribune (Scranton, Pennsylvania)",The Times-Tribune,homeless,Nonprofit work is rewarding but challenging,"However, [ORGANIZATION], like many nonprofits, relies on varied funding sources, including grants and donations -- and appreciates contributions of any size, he said. Those donations help to fund programs that provide vital services, including a shelter that houses women who in many cases would otherwise be homeless or trapped in abusive situations, he said."
scranton,2016-08-22T00:00:00Z,"The Times-Tribune (Scranton, Pennsylvania)",The Times-Tribune,homeless,Nonprofits still scramble for funding,"DATE0--Three nonprofits that run programs designed to help homeless veterans, battered women and new mothers get back on their feet are still looking for answers after learning [ORGANIZATION] they lost a combined 400,328 in federal funding."
