city,article_date,article_source,city_source,keywords_matched,original_count,processed_count,was_shortened,used_sentence_method,segment_count,segment_index,Deidentified_article_title,Deidentified_paragraph_text
scranton,2015-04-20T00:00:00Z,"The Times-Tribune (Scranton, Pennsylvania)",The Times-Tribune,affordable housing,2,2,False,True,1,0,Bipartisan push for housing fund,"[ORGANIZATION] established the trust fund in [ORGANIZATION] to provide affordable housing to low-income individuals, help the elderly stay in their homes and fight neighborhood blight. However, the fund has lacked the funding to fully meet those goals."
scranton,2015-04-20T00:00:00Z,"The Times-Tribune (Scranton, Pennsylvania)",The Times-Tribune,affordable housing,1,1,False,True,1,0,Bipartisan push for housing fund,"[ORGANIZATION] has an urgent need for affordable housing which the fund can address, said Sen. [PERSON], R-47, [PERSON], the [ORGANIZATION] bill sponsor."
scranton,2015-04-20T00:00:00Z,"The Times-Tribune (Scranton, Pennsylvania)",The Times-Tribune,affordable housing,1,1,False,True,1,0,Bipartisan push for housing fund,"Gov. [PERSON] has not taken a position on the specific legislation, but is committed to finding ways to increase access to affordable housing, said spokesman [PERSON]."
scranton,2015-04-14T00:00:00Z,"The Times-Tribune (Scranton, Pennsylvania)",The Times-Tribune,affordable housing,1,1,False,True,1,0,Lawmakers gearing up blight bills,"These would include projects to fix blighted properties and provide affordable housing, including rental homes, he said."
scranton,2023-05-21T00:00:00Z,"The Times-Tribune (Scranton, Pennsylvania)",The Times-Tribune,housing insecurity,1,1,False,True,1,0,[ORGANIZATION] opioid settlement committee eyes projects,"The committee also discussed proposals to address housing insecurity and a plan to transform the former [ORGANIZATION] in [ORGANIZATION] into a dormlike facility that would provide mental health, substance abuse, and job and life skills training to participants who would live on site while undergoing treatment."
scranton,2021-01-10T00:00:00Z,"The Times-Tribune (Scranton, Pennsylvania)",The Times-Tribune,homeless,2,2,False,True,1,0,[ORGANIZATION] students highlight unique needs of homeless women,"The two decided to help the homeless population, but their effort wasnt the typical clothing or food [STREET]. They looked instead at providing feminine care products, a largely unnoticed need."
scranton,2021-01-10T00:00:00Z,"The Times-Tribune (Scranton, Pennsylvania)",The Times-Tribune,homeless,3,3,False,True,1,0,[ORGANIZATION] students highlight unique needs of homeless women,"With my undergraduate studies, I did a capstone project for my minor, and I focused on feminine care products within the prison environment, said [ORGANIZATION], who earned a bachelors degree in criminology and sociology with a minor in womens and gender studies from [ORGANIZATION]. And that kind of opened my eyes to how low resources are with this and how its not a topic thats not usually talked about. And talking about the homeless community is important."
scranton,2021-01-10T00:00:00Z,"The Times-Tribune (Scranton, Pennsylvania)",The Times-Tribune,homeless,2,2,False,True,1,0,[ORGANIZATION] students highlight unique needs of homeless women,"A lot of people dont realize that homeless and underprivileged womens needs include tampons, panty liners and menstrual pads, said [ORGANIZATION], development coordinator for [ORGANIZATION], the beneficiary of [ORGANIZATION] and Taylors project. For the women the center serves, those products are luxuries, [ORGANIZATION] said."
scranton,2021-01-10T00:00:00Z,"The Times-Tribune (Scranton, Pennsylvania)",The Times-Tribune,homeless,3,3,False,True,1,0,[ORGANIZATION] students highlight unique needs of homeless women,"[ORGANIZATION] runs emergency homeless shelters for women and children, a food pantry, furniture bank and other programs, such as low-income housing for single women and a transitional housing program for women leaving prison. Based in [ORGANIZATION], the center also has an emergency shelter in [ORGANIZATION] that serves women in GPE2. At [ORGANIZATION], the center runs an adopt-a-family program and interviews families to find out what they need."
scranton,2021-01-10T00:00:00Z,"The Times-Tribune (Scranton, Pennsylvania)",The Times-Tribune,homelessness,4,4,False,True,1,0,[ORGANIZATION] students highlight unique needs of homeless women,"Generally, the mothers will give the wish list for their children and then say, Oh, I dont need anything. Dont worry about me, [ORGANIZATION] said. One mother wrote feminine products, which is hardly a [ORGANIZATION] present. It shows how needed they are, and I think doing these donation drives is also a [STREET] for students ... to learn about issues like this and homelessness and what are some of the DATE1-to-DATE1 struggles that households have."
