filename,date,paragraph,matched_words
02_28_22_south_bend_meeting_minutes.mp3.a4420e77-ef82-4134-aa1d-3d68f89c472b.Transcript.txt,,"I had originally scheduled to have the presentation from the Motels for Now program today, but due to some very unfortunate circumstances over the last several very stressful weeks,  that it had to be postponed. So now that it is official that they are cleared of any wrongdoing, and I must say that the shameful and senseless attempt at character assassination of this fine not-for-profit, as well as the upstanding individuals that run it,  is just unspeakable for a service and an asset that is so needed in this community. So I will be working to get them rescheduled to come before us, and I would ask my council colleagues to please treat them with the respect they are due for the exceptional work that they do with the homeless and the unhoused in our community.",homeless; unhoused
02_28_22_south_bend_meeting_minutes.mp3.a4420e77-ef82-4134-aa1d-3d68f89c472b.Transcript.txt,,"Then there was, you know, some movement before then, before Ten City under the bridge dealing with the homeless. This council did step up and say, hey, we need to do something with Ten City presenting this stuff over there in Monroe Park. And there was discussion, there was some resolutions that were on before council.",homeless
02_28_22_south_bend_meeting_minutes.mp3.a4420e77-ef82-4134-aa1d-3d68f89c472b.Transcript.txt,,I'm not sure if they passed through or not. I don't remember that. But what I do know is that the language that was used and the ability to shame the homeless in that video by council president really set a really horrible tone.,homeless
02_28_22_south_bend_meeting_minutes.mp3.a4420e77-ef82-4134-aa1d-3d68f89c472b.Transcript.txt,,"And it has been substantially confirmed in the paper and in the media that people did not have running water, people did not have heat, and also it smelled like a urinal in the facility. And on top of it, while I was visiting, finding out that people were paying  rent out of homeless people, taking advantage of the disadvantage to be paying money out of their pocket on top of what the ERA funds is being paid for. I was very upset about  It was a private conversation that was secretly recorded and leaked out and shared among some of my colleagues shared to different people in the community.",homeless
02_28_22_south_bend_meeting_minutes.mp3.a4420e77-ef82-4134-aa1d-3d68f89c472b.Transcript.txt,,"By the contents, in the context of what I said, very upsetting to see that homeless people being used by some of our own council that knew that that building was not properly zoned. For eight to nine months,  did not share that information with council knowing that that facility was not zoned properly because it came before us you just keep lying painful so i",homeless
05_24_21_south_bend_meeting_minutes.mp3.bb819172-288a-4064-b4f6-b21a2635d3ca.Transcript.txt,,"At this time, our invocation will be given by Councilwoman Rachel Thomas Morgan, At-Large Councilwoman. Thank you, President White. Loving God, protector of all, we ask you to watch over our city and to watch the residents of our city, our children, our seniors, those who go hungry, the houseless, the strangers and immigrants in our midst, and those who are alone, creator of good,  Thank you for the men and women who serve our city in various ways, our staff members, public safety officers, those in leadership roles.",houseless
05_24_21_south_bend_meeting_minutes.mp3.bb819172-288a-4064-b4f6-b21a2635d3ca.Transcript.txt,,yes uh first uh mr bolnar i think we quickly voted and your kids got a favorable recommendation they're pretty cute danielle that that uh i just want to thank uh thank mr comstock for his investment in the community and uh um was mentioned by miss hammond earlier this is uh one of the ways we get uh more housing stock and more affordable affordable housing stock in the in the city thank you  councilman lee i would just like to say to mr comstock to see the difference from 2019 to 2021 and what you've done is impressive um you know these older houses they need to love and when people invest in them they invest in our neighborhoods we appreciate that we appreciate you  taking that opportunity to invest in the neighborhood. And it's going to be more than a multifamily opportunity.,affordable housing
05_24_21_south_bend_meeting_minutes.mp3.bb819172-288a-4064-b4f6-b21a2635d3ca.Transcript.txt,,"The North near Northwest neighborhood itself had tried for six years to get tax credit grants in order to turn this into affordable housing, workforce housing or elderly housing, but were unsuccessful. So what we are doing is we're proposing a market based private initiative that will allow us to renovate this building and turn it into a commercial node. What we call a collaborative village that will allow us to offer space for businesses,  retail  professional offices, makerspace, cultural arts space, as well as folks like tax accountant, insurance agents, health and wellness.",affordable housing
12_09_24_south_bend_meeting_minutes.mp3.a9e041c2-e05f-4980-a9f5-08f47c3fc265.Transcript.txt,,"We are seeking fairness for the truly homeless in our community, as well as greater fiscal responsibility from our local government. And lastly, fairness and freedom for all media platforms to share and report on the actions of our government. All this is transparent and for the genuine improvement of the city of South Bend.",homeless
12_09_24_south_bend_meeting_minutes.mp3.a9e041c2-e05f-4980-a9f5-08f47c3fc265.Transcript.txt,,"Okay. But on that area, one corner is the location that is on dispute right now. And the reason that we are, that I am questioning that is because we got a lot of homeless people there.",homeless
12_09_24_south_bend_meeting_minutes.mp3.a9e041c2-e05f-4980-a9f5-08f47c3fc265.Transcript.txt,,"Yes, and after discussion with the petitioner, there was more information that he didn't quite understand and different steps that needed to be taken. So we're still going to address it now. If it's additional information and you're speaking now about the homeless,  that is a different issue than still getting an alley vacation.",homeless
11_14_22_south_bend_meeting_minutes.mp3.fb7017fe-74df-4380-8d96-65030c00017a.Transcript.txt,,"At that time, it was just a few organizations doing a few things. But we said we wanted to create a movement. We want women entrepreneurs to see that they are somebody, that they can build a business, that they can overcome things like domestic violence and homelessness.",homelessness
08_28_23_south_bend_meeting_minutes.mp3.30fd865d-4c8e-4812-936d-8dcf82526309.Transcript.txt,,"That becomes the policy for the city, and we make recommendations based on those changes when new development occurs. There are other things that neighborhood plans seek to address, and housing is a big one. As you know, our department has been pretty focused on delivering new housing of all types, but specifically affordable housing as well.",affordable housing
08_28_23_south_bend_meeting_minutes.mp3.30fd865d-4c8e-4812-936d-8dcf82526309.Transcript.txt,,"We wanted to do things to make the neighborhood safer, but we didn't want to sacrifice our ethos of affordable housing. To that end, the  Historic National Register is going to be one quick deliverable we can offer the neighbors. Our mobile tool library is another one that we're working on right now, and working through Trade Works and other affordable housing developers to teach how to fix your own homes, and how to access the right materials, and how to work with the Historic Preservation Commission locally as well.",affordable housing
08_28_23_south_bend_meeting_minutes.mp3.30fd865d-4c8e-4812-936d-8dcf82526309.Transcript.txt,,"Thank you so much. And I would just like to say that thank you Tim and the team city administration who Helped to push this plan forward Monmoe Park is but a few blocks over from the third district and definitely impact us and you guys have been doing a lot of heavy lifting over the years and  with a lot of the homelessness and crime in the area and things like that. So it is exciting to see the city moving forward with development and revitalizing neighborhoods and what better neighborhood than Monroe, Edgewater to have, um,",homelessness
