date,matched_words,Deidentified_paragraph
,homeless; unhoused,"I had originally scheduled to have the presentation from the [ORGANIZATION] program [ORGANIZATION], but due to some very unfortunate circumstances over [LOCATION],  that it had to be postponed. So now that it is official that they are cleared of any wrongdoing, and I must say that the shameful and senseless attempt at character assassination of this fine not-for-profit, as well as the upstanding individuals that run it,  is just unspeakable for a service and an asset that is so needed in this community. So I will be working to get them rescheduled to come before us, and I would ask my council colleagues to please treat them with the respect they are due for the exceptional work that they do with the homeless and the unhoused in our community."
,homeless,"Then there was, you know, some movement before then, before [ORGANIZATION] under the bridge dealing with the homeless. This council did step up and say, hey, we need to do something with [ORGANIZATION] presenting this stuff over there in [ORGANIZATION]. And there was discussion, there was some resolutions that were on before council."
,homeless,I'm not sure if they passed through or not. I don't remember that. But what I do know is that the language that was used and the ability to shame the homeless in that video by council president really set a really horrible tone.
,homeless,"And it has been substantially confirmed in the paper and in the media that people did not have running water, people did not have heat, and also it smelled like a urinal in the facility. And on top of it, while I was visiting, finding out that people were paying  rent out of homeless people, taking advantage of the disadvantage to be paying money out of their pocket on top of what the [ORGANIZATION] funds is being paid for. I was very upset about  It was a private conversation that was secretly recorded and leaked out and shared among some of my colleagues shared to different people in the community."
,homeless,"By the contents, in the context of what I said, very upsetting to see that homeless people being used by some of our own council that knew that that building was not properly zoned. For [ORGANIZATION],  did not share that information with council knowing that that facility was not zoned properly because it came before us you just keep lying painful so i"
,houseless,"At this time, our invocation will be given by [ORGANIZATION], At-Large Councilwoman. Thank you, President [PERSON]. Loving God, protector of all, we ask you to watch over our city and to watch the residents of our city, our children, our seniors, those who go hungry, the houseless, the strangers and immigrants in our midst, and those who are alone, creator of good,  Thank you for the men and women who serve our city in various ways, our staff members, public safety officers, those in leadership roles."
,affordable housing,yes uh first uh mr [ORGANIZATION] i think we quickly voted and your kids got a favorable recommendation they're pretty cute [PERSON] that that uh i just want to thank uh thank mr PERSON2 for his investment in the community and uh um was mentioned by [ORGANIZATION] earlier this is uh one of the ways we get uh more housing stock and more affordable affordable housing stock in the in the city thank you  councilman PERSON4 i would just like to say to mr PERSON2 to see the difference from [ORGANIZATION] and what you've done is impressive um you know these older houses they need to love and when people invest in them they invest in our neighborhoods we appreciate that we appreciate you  taking that opportunity to invest in the neighborhood. And it's going to be more than a multifamily opportunity.
,affordable housing,"The [ORGANIZATION] near [ORGANIZATION]west neighborhood itself had tried for [ORGANIZATION] to get tax credit grants in order to turn this into affordable housing, workforce housing or elderly housing, but were unsuccessful. So what we are doing is we're proposing a market based private initiative that will allow us to renovate this building and turn it into a commercial node. What we call a collaborative village that will allow us to offer space for businesses,  retail  professional offices, makerspace, cultural arts space, as well as folks like tax accountant, insurance agents, health and wellness."
,homeless,"We are seeking fairness for the truly homeless in our community, as well as greater fiscal responsibility from our local government. And lastly, fairness and freedom for all media platforms to share and report on the actions of our government. All this is transparent and for the genuine improvement of the city of [ORGANIZATION]."
,homeless,"Okay. But on that area, one corner is the location that is on dispute right now. And the reason that we are, that I am questioning that is because we got a lot of homeless people there."
,homeless,"Yes, and after discussion with the petitioner, there was more information that he didn't quite understand and different steps that needed to be taken. So we're still going to address it now. If it's additional information and you're speaking now about the homeless,  that is a different issue than still getting an alley vacation."
,homelessness,"At that time, it was just a few organizations doing a few things. But we said we wanted to create a movement. We want women entrepreneurs to see that they are somebody, that they can build a business, that they can overcome things like domestic violence and homelessness."
,affordable housing,"That becomes the policy for the city, and we make recommendations based on those changes when new development occurs. There are other things that neighborhood plans seek to address, and housing is a big one. As you know, our department has been pretty focused on delivering new housing of all types, but specifically affordable housing as well."
,affordable housing,"We wanted to do things to make the neighborhood safer, but we didn't want to sacrifice our ethos of affordable housing. To that end, [ORGANIZATION] is going to be one quick deliverable we can offer the neighbors. Our mobile tool library is another one that we're working on right now, and working through ORG1 and other affordable housing developers to teach how to fix your own homes, and how to access the right materials, and how to work with ORG2 locally as well."
,homelessness,"Thank you so much. And I would just like to say that thank you [PERSON] and the team city administration who Helped to push this plan forward [ORGANIZATION] is but a few blocks over from the third district and definitely impact us and you guys have been doing a lot of heavy lifting over [ORGANIZATION] and  with a lot of the homelessness and crime in the area and things like that. So it is exciting to see the city moving forward with development and revitalizing neighborhoods and what better neighborhood than [PERSON], [ORGANIZATION] to have, um,"
,affordable housing,"We have been hoping that the near northwest neighborhood would be able to get a tax credit grant that would have allowed them to be able to  turned this into affordable housing or workforce housing, but they were never able quite to get there. And after they were unable to do it [ORGANIZATION], my partners and I came up with a plan that would allow us to do this without that kind of a tax credit group. And so now what we are doing is we're in the process of wanting to –  take this building, bring it back to life, and make it, turn it from an attractive nuisance that's been driving down property values in the neighborhood for [LOCATION] to a neighborhood attraction that will help to be an anchor for both our residential as well as reestablishment of the commercial node at this location."
,homeless,"We're a corporation representing 25 [ORGANIZATION] businesses. We are seeking fairness for the truly homeless in our community, as well as a greater fiscal responsibility from our local government. And lastly, fairness and freedom for all media platforms to share and report on the actions of our government."
,homeless,All this is transparent and for the genuine improvement of the city of [ORGANIZATION]. I want to thank all of you council members except [PERSON] for meeting with us over [ORGANIZATION] to learn about our plans to protect the city from being overrun by more homeless immigrants from surrounding states and communities. We gained valuable feedback from their review of our efforts.
,homeless,We'll be down there feeding the homeless. We'll be down there passing out food to the needy. That's what we do.
,homeless,"All right, let me shoot. The first request I would ask is that if we, as the council could have the [ORGANIZATION] updates, at least [ORGANIZATION], I don't know if that would be more that you're getting with the healthcare facilities  business and the mayor's office for us to be able to share with our constituents and to be able to lead uh accordingly is the first request that i have um and some other questions uh [ORGANIZATION] tell me if i'm going too fast you're fine if there any uh communication that you've had with any of the black uh leaders or uh community as far as outreach since it's um  hitting the black community worldwide more than any other population. The second question, I want to know the update on the homeless population status that they talked about with [PERSON]."
,homeless,"On the homeless, we have talked about an isolation slash quarantine facility. Initially, we had contemplated FAC0. We've decided on another facility."
,homeless,"This could be a wide variety of folks. It could be homeless who have tested positive, but it also could be somebody from your family who didn't want to come back to your house and potentially impact the other members of your family who instead will go to that. So by [ORGANIZATION], that should be up and running."
,homeless,"And then also related to communications, some questions that I'm getting as an at-large member  is frequency of either video updates or live updates, press conferences that you and the mayor may be having, and possibly a recommendation for more of those on a regular basis. And then finally, I appreciate you addressing quarantine sites for the homeless, but my question is really about if there's any conversation regarding temporary housing for the homeless during this time. Thank you."
,homeless,"And then the last one I had, the quarantine site for the homeless and then whether any temporary housing. We've not been talking as much on the temporary housing side. I think that the most immediate pressing need was on that quarantine site."
,affordable housing,"So I'll point out which ones are all publicly funded, public works projects versus economic development projects as we go through. So first one, starting with A, [ORGANIZATION] This was a 50-unit scattered site affordable housing development that was awarded tax credits through the state of [ORGANIZATION]'s low-income housing tax credit competitive award program."
,affordable housing,"There will be future phases. The foundations you see in the northern end of this photo are relatively deep, and so that will take a second phase to remove those and then remove the larger bottling house that you see on the right-hand side of this photo. FAC0 and FAC1, this is another affordable housing project that is paired with a market rate project."
,affordable housing,"So construction is expected to begin DATE0 on the 60-unit affordable housing building, which you can see an image of here. There would be two 45-unit market rate buildings that would come at [LOCATION], hopefully breaking ground DATE2, but those are a little more in flux with the developer as far as the exact date of groundbreaking. It could be [ORGANIZATION] as well."
,affordable housing,"This is co-located with [ORGANIZATION] on the east side. If you [STREET], well, you can't [STREET] on the site right now, but if you had driven on the site to access the self-storage where there used to be a target next to the site,  FAC0 is on the northern end of the site and then the southern end of the site is where [PERSON] is. FAC0 is a 54 unit affordable housing complex."
,homelessness,"The new center will expand the safe station shelter, so more shelter spots for youth experiencing homelessness, and then allow for expansion of programming. And really, it consolidates all of [ORGANIZATION]'s different services that are located throughout the city into one center at one site. The city did provide direct funding support through ORG1 and supporting infrastructure for this project."
,affordable housing,"And in particular about the program that we have for residents of [ORGANIZATION], those who want to live in the neighborhood. And so how our program works, [ORGANIZATION] has been in existence since [ORGANIZATION]. And so we not only address the issue of affordable housing, but we also try to do is contribute to our community's economic development."
,affordable housing,"Our goal is to prepare as many people as possible to be able to be homeowners. And so we want to expand our reach. I retired from my regular day job, and so I'm really working on this affordable housing project."
,affordable housing,"With this project and the two tax credit projects that were approved recently, it's  My understanding were up to about 190 new apartment buildings with apartment units with 120 being dedicated affordable housing. So it's exciting. This has been [ORGANIZATION] for the city trying to online more housing in general, which will address the affordable housing issue."
,affordable housing,We are still in  my notes right we are now going into new business is there any new business from council sure i just have a comment about earlier actions um i'm not going to spell out what this is but i'm going to say this council is becoming complicit in the idea of changing a narrative for the city of [ORGANIZATION] um i've noticed  a few housing developments that we are patting ourselves on the back about and calling it affordable housing really isn't what occurs when we or shouldn't occur when we're trying to build a community for all.
,affordable housing,"It just appears that now that we're running at this affordable housing thing, the wins that we're trying to achieve are wins through people who are connected to the local government and the heads of the local government. I'm not going to say that we shouldn't do these things, right? But when they're being lined up the [STREET] they are, one can only question where's the stuff coming from, especially when the dates of building are well after the primary all into [ORGANIZATION]."
,affordable housing,"As I mentioned, one of the arms of [ORGANIZATION] is [ORGANIZATION], which is their affordable housing development arm, what we would generally think of as the mission of most ORG2. What's interesting about [ORGANIZATION] is through the community development financial institution side of their team, they're actually able to originate mortgages for the homes that [ORGANIZATION] develops, and they can share more about the other items in their portfolio. Okay."
,affordable housing,"We carry out our work across four different initiatives under the [ORGANIZATION] umbrella. So [ORGANIZATION], which is the housing development subsidiary, ORG2, which is a CDFI that does small business lending, [ORGANIZATION], which is a CDFI that does affordable housing lending,  that we often pair mortgage products originated from with the houses we developed through affordable home matters and renew land bank the initiative that originally managed the city of [ORGANIZATION]'s land bank that now provides land banking technical assistance to [ORGANIZATION] communities  So we operate across a spectrum that we call comprehensive community development. And we really look at this as a [STREET] to layer our programming and our different initiatives and also partnerships and funding."
,affordable housing,"Okay, I would just like to say and to echo many of the comments that [PERSON] has made. This is a very exciting time. We have been discussing the need for affordable housing and infill and now to be at [ORGANIZATION], [LOCATION], to see the number of homes affected.  that have been projected for our community, especially in those areas that needs it the most."
,affordable housing,Anyone else? I like to say I'm very proud that we have people that want to go out and make sure that affordable housing come to all the districts. So thank you very much.
,affordable housing,It is really a testament and making it affordable so that people can have affordable housing. It is very important. And this is the reason why we serve on the council.
,homeless,"I'm here [TIME] as a member of [ORGANIZATION]. We are a corporation representing over 20 [ORGANIZATION] businesses, and we're still growing. We are seeking fairness for the truly homeless in our community, as well as greater fiscal responsibility from our local government."
,homeless,"[ORGANIZATION] and [PERSON], and [PERSON] and PERSON3 for meeting with us over [ORGANIZATION] to learn about our plans and to protect the city from being overrun by more homeless immigrants and surrounding states and communities. We're getting valuable feedback from their reviews of our efforts. We are also planning to meet DATE1 with Councilwoman PERSON4 and PERSON5."
,affordable housing,"Things that we particularly care about are new homeowners, affordable housing. There's a strong desire for a park, like [ORGANIZATION] said. [STREET] SCAPE, [STREET] SCAPE IMPROVEMENTS TO FLOW DOWN THE CARS AND IMPROVING THE BROWN FIELD."
,homeless,"I am here [TIME] as the president of [ORGANIZATION]. We're a corporation representing over 25 [ORGANIZATION] businesses and still growing. We are seeking fairness for the truly homeless in our community, as well as greater fiscal responsibility from our government."
,affordable housing,And this is how we help to bring the affordable housing to our community. So I just wanted to point that out again. It's not that we're just handing out free money because we wouldn't be getting this money if a developer didn't come in.
,homeless,I have spent the majority of my time on the council working with the homeless in our city. And what I view this as doing is interrupting that. pathway for incarcerated individuals to end up on the streets and homeless.
,homeless,And it makes the job for the service providers and those of us that try to serve the homeless in our community a little bit easier to know that there are a number of folks that are being employed and that you obviously provide a great deal of care for these individuals. And they don't need to become part of that statistic in our community. And I want to thank you for that.
,homeless,"[ORGANIZATION], will you please give 4723 a first reading? 4723, first reading on an ordinance of [ORGANIZATION], [ORGANIZATION], adding the status of homeless to the protected classes of persons under GPE1 Human Rights Ordinance, Chapter 2, Article 9 of GPE1 Municipal Code in establishing the definition for homeless. Thank you."
,homeless,"And what happened [ORGANIZATION] was a show of complete lack and neglect of leadership in the city. Since the amnesty closed during the pandemic, these people had nowhere to go as no places were intaking homeless folks into programs because they were quarantined, ordered by the mayor. That left them no [STREET] to go and they went to the first tent city."
