city,article_date,article_source,city_source,keywords_matched,Deidentified_article_title,Deidentified_paragraph_text
southbend,2022-02-12T00:00:00Z,Associated Press State & Local,South Bend Tribune,homeless,"[ORGANIZATION] woman makes blankets, care packages for the homeless","I remember when I was [ORGANIZATION], we would go through our clothes for [DATE] time and see what we had, she said. Extra hats, gloves, whatever we can donate, and we would all go down to the [INSTITUTION] and give that to them."
southbend,2022-02-12T00:00:00Z,Associated Press State & Local,South Bend Tribune,homeless,"[ORGANIZATION] woman makes blankets, care packages for the homeless",Shes enlisted the help of her parents and her boyfriend to make homemade blankets and care baskets for the homeless in [ORGANIZATION]. She even set up a GoFundMe page to help raise money to purchase the supplies.
southbend,2022-02-12T00:00:00Z,Associated Press State & Local,South Bend Tribune,homeless,"[ORGANIZATION] woman makes blankets, care packages for the homeless",That is when [ORGANIZATION] decided to make the blankets and give them to the homeless.
southbend,2015-12-11T00:00:00Z,Associated Press State & Local,South Bend Tribune,affordable housing,EXCHANGE: Developers move forward with hotel to lofts rehab,"While anyone who qualifies for affordable housing can apply for residency at the hotel, preference is given to artists."
southbend,2021-04-29T00:00:00Z,Associated Press State & Local,South Bend Tribune,homeless,'[ORGANIZATION]' shelters aim to help northern [ORGANIZATION] city's homeless,"[ORGANIZATION] and [ORGANIZATION] broke ground [ORGANIZATION] on a 300,000 effort to provide short-term housing for homeless people in and around [ORGANIZATION]."
southbend,2016-01-28T00:00:00Z,Associated Press State & Local,South Bend Tribune,homeless,"Gloves, scarves offered for free to those in need",A homeless man came up to her while she was hanging more.
southbend,2016-01-28T00:00:00Z,Associated Press State & Local,South Bend Tribune,homeless,"Gloves, scarves offered for free to those in need","Anyone familiar with harsh [ORGANIZATION] conditions can appreciate how difficult it is for people living on the streets, especially overnight, to stay warm, said [ORGANIZATION], director of events for [ORGANIZATION]. Efforts such as [ORGANIZATION] that provide help that doesnt have to be searched out, [PERSON] said, is just such a kindness."
southbend,2016-01-28T00:00:00Z,Associated Press State & Local,South Bend Tribune,homeless,"Gloves, scarves offered for free to those in need","[ORGANIZATION] has hung more than 100 bags in trees around the downtown area and FAC0, each containing different [ORGANIZATION] items that are free for the homeless or people in need to take. PERSON0, a senior loan officer for [ORGANIZATION], has placed bags twice so far and will continue to do it until the weather warms up."
southbend,2017-09-07T00:00:00Z,Associated Press State & Local,South Bend Tribune,homeless,Pet refuge helping Harvey storm victims reunite with pets,"These dogs were homeless before Hurricane Harvey flooded the [ORGANIZATION] area, where pet shelters are scrambling to make room for pets who have been separated from their people by the floods."
southbend,2018-10-31T00:00:00Z,Associated Press State & Local,South Bend Tribune,homelessness,Medical school in [ORGANIZATION] focusing on community health,"The program allows students from the medical school and [ORGANIZATION] to learn about the factors that impact community health and well-being while serving at local nonprofits. The students are working on solutions for solving problems, such as youth homelessness, lack of access to mental healthcare, and unhealthy eating habits."
southbend,2021-02-02T00:00:00Z,Associated Press State & Local,South Bend Tribune,homeless,[PERSON]: [ORGANIZATION],Some of those folks get addicted to drugs or alcohol. Others wind up homeless. Some face both predicaments.
southbend,2021-02-02T00:00:00Z,Associated Press State & Local,South Bend Tribune,homeless,[PERSON]: [ORGANIZATION],"Two efforts revved up [ORGANIZATION] to connect the homeless and addicted to services in [ORGANIZATION]. Though separate, the projects target a widening sea of people in need in [ORGANIZATION] and the surrounding region. Both could use a boost of support from a community that already has given so much since [PERSON] began sweeping through [PERSON]."
southbend,2021-02-02T00:00:00Z,Associated Press State & Local,South Bend Tribune,homeless,[PERSON]: [ORGANIZATION],"DATE0, advocates for the homeless ventured through [ORGANIZATION] to conduct a pandemic-modified Point-in-Time Count. The DATE1 DATE2 process strives to enumerate people living outdoors, or in non-habitable shelters like abandoned houses, vehicles and RVs parked in vacant lots. The co-chairs of ORG0Bethany [ORGANIZATION] Director [PERSON] and [ORGANIZATION] Commissioner [PERSON]  led other volunteers to find people in those situations. That survey process continues through [ORGANIZATION]."
southbend,2021-02-02T00:00:00Z,Associated Press State & Local,South Bend Tribune,homeless,[PERSON]: [ORGANIZATION],The ranks of the homeless and addicted have grown in [ORGANIZATION] and [LOCATION]. That growth puts stress on assistance facilities and programs.
southbend,2021-02-02T00:00:00Z,Associated Press State & Local,South Bend Tribune,homeless,[PERSON]: [ORGANIZATION],"The [ORGANIZATION] in Time Count of the homeless is a survey required by [ORGANIZATION] to determine federal funding to communities for housing assistance and shelters. Because of COVID-19 precautions, the counters could not set up hubs in city parks, where homeless people could pick up food, clothing and supplies. So, volunteers visited common areas, where the homeless often live in cars or wooded places like the [ORGANIZATION] front."
southbend,2021-02-02T00:00:00Z,Associated Press State & Local,South Bend Tribune,homeless,[PERSON]: [ORGANIZATION],"The survey opens up funding that will help establish a day center for the homeless at [ORGANIZATION]. There, people will be able warm up or cool down in adverse weather, rest on cots, collect mail and access computers, showers and a laundry."
southbend,2017-04-18T00:00:00Z,Associated Press State & Local,South Bend Tribune,homeless,Pardoned man discusses his story with [ORGANIZATION] students,"With his family living in a [INSTITUTION], [ORGANIZATION] chose the latter, figuring, he said, Im going to take this so I can get home and immediately assist my family."
southbend,2019-09-26T00:00:00Z,The Hotline,South Bend Tribune,"homeless, homelessness, affordable housing","[ORGANIZATION] Calls GPE0 Call ""Blatant Abuse of Power""",[ORGANIZATION]. Former [ORGANIZATION] Secretary [PERSON] toured a homeless camp in [ORGANIZATION] on [ORGANIZATION] and said more affordable housing is needed to ease the crisis of people living on the streets. He proposed a plan in [LOCATION] that calls for 40 billion in [ORGANIZATION] funding for the national ORG1. The money would go toward creating 3 million affordable apartments over [ORGANIZATION] in an effort to end homelessness.  [PERSON]
southbend,2020-01-07T00:00:00Z,Associated Press State & Local,South Bend Tribune,homeless,[PERSON]:,"The first student - [ORGANIZATION] - was selected from a family who was staying at [ORGANIZATION] in [ORGANIZATION]. In [ORGANIZATION], [ORGANIZATION] began attending ORG1 in [ORGANIZATION] and [LOCATION] shes a freshman at ORG2 in [PERSON]. Her younger sister, [PERSON], is also a Jaxson Scholar and an eighth-grader at ORG3."
