city,article_title,article_date,article_source,city_source,paragraph_text,keywords_matched,original_count,processed_count,was_shortened,used_sentence_method,segment_count,segment_index
southbend,"Indiana woman makes blankets, care packages for the homeless",2022-02-12T00:00:00Z,Associated Press State & Local,South Bend Tribune,"I remember when I was around 8, we would go through our clothes for the winter time and see what we had, she said. Extra hats, gloves, whatever we can donate, and we would all go down to the homeless shelter and give that to them.",homeless,2,2,False,True,1,0
southbend,"Indiana woman makes blankets, care packages for the homeless",2022-02-12T00:00:00Z,Associated Press State & Local,South Bend Tribune,Shes enlisted the help of her parents and her boyfriend to make homemade blankets and care baskets for the homeless in South Bend. She even set up a GoFundMe page to help raise money to purchase the supplies.,homeless,2,2,False,True,1,0
southbend,"Indiana woman makes blankets, care packages for the homeless",2022-02-12T00:00:00Z,Associated Press State & Local,South Bend Tribune,That is when Alexis decided to make the blankets and give them to the homeless.,homeless,1,1,False,True,1,0
southbend,EXCHANGE: Developers move forward with hotel to lofts rehab,2015-12-11T00:00:00Z,Associated Press State & Local,South Bend Tribune,"While anyone who qualifies for affordable housing can apply for residency at the hotel, preference is given to artists.",affordable housing,1,1,False,True,1,0
southbend,'Tiny' shelters aim to help northern Indiana city's homeless,2021-04-29T00:00:00Z,Associated Press State & Local,South Bend Tribune,"The Faith Mission of Michiana and the Crossing School of Business amp Entrepreneurship broke ground last week on a 300,000 effort to provide short-term housing for homeless people in and around Elkhart.",homeless,1,1,False,True,1,0
southbend,"Gloves, scarves offered for free to those in need",2016-01-28T00:00:00Z,Associated Press State & Local,South Bend Tribune,A homeless man came up to her while she was hanging more.,homeless,1,1,False,True,1,0
southbend,"Gloves, scarves offered for free to those in need",2016-01-28T00:00:00Z,Associated Press State & Local,South Bend Tribune,"Anyone familiar with harsh Midwestern winter conditions can appreciate how difficult it is for people living on the streets, especially overnight, to stay warm, said Emily Sims, director of events for South Bends Center for the Homeless. Efforts such as Edwards that provide help that doesnt have to be searched out, Sims said, is just such a kindness.",homeless,2,2,False,True,1,0
southbend,"Gloves, scarves offered for free to those in need",2016-01-28T00:00:00Z,Associated Press State & Local,South Bend Tribune,"The Warming Tree Project has hung more than 100 bags in trees around the downtown area and Howard Park, each containing different winter items that are free for the homeless or people in need to take. Edwards, a senior loan officer for Ruoff Home Mortgage, has placed bags twice so far and will continue to do it until the weather warms up.",homeless,2,2,False,True,1,0
southbend,Pet refuge helping Harvey storm victims reunite with pets,2017-09-07T00:00:00Z,Associated Press State & Local,South Bend Tribune,"These dogs were homeless before Hurricane Harvey flooded the Houston area, where pet shelters are scrambling to make room for pets who have been separated from their people by the floods.",homeless,1,1,False,True,1,0
southbend,Medical school in South Bend focusing on community health,2018-10-31T00:00:00Z,Associated Press State & Local,South Bend Tribune,"The program allows students from the medical school and Notre Dame to learn about the factors that impact community health and well-being while serving at local nonprofits. The students are working on solutions for solving problems, such as youth homelessness, lack of access to mental healthcare, and unhealthy eating habits.",homelessness,2,2,False,True,1,0
southbend,Editorial Roundup: Indiana,2021-02-02T00:00:00Z,Associated Press State & Local,South Bend Tribune,Some of those folks get addicted to drugs or alcohol. Others wind up homeless. Some face both predicaments.,homeless,3,3,False,True,1,0
southbend,Editorial Roundup: Indiana,2021-02-02T00:00:00Z,Associated Press State & Local,South Bend Tribune,"Two efforts revved up this week to connect the homeless and addicted to services in the Wabash Valley. Though separate, the projects target a widening sea of people in need in Terre Haute and the surrounding region. Both could use a boost of support from a community that already has given so much since COVID-19 began sweeping through America last March.",homeless,3,3,False,True,1,0
