city,article_date,article_source,city_source,keywords_matched,original_count,processed_count,was_shortened,used_sentence_method,segment_count,segment_index,Deidentified_article_title,Deidentified_paragraph_text
southbend,2022-02-12T00:00:00Z,Associated Press State & Local,South Bend Tribune,homeless,2,2,False,True,1,0,"[ORGANIZATION] woman makes blankets, care packages for the homeless","I remember when I was [ORGANIZATION], we would go through our clothes for [DATE] time and see what we had, she said. Extra hats, gloves, whatever we can donate, and we would all go down to the [INSTITUTION] and give that to them."
southbend,2022-02-12T00:00:00Z,Associated Press State & Local,South Bend Tribune,homeless,2,2,False,True,1,0,"[ORGANIZATION] woman makes blankets, care packages for the homeless",Shes enlisted the help of her parents and her boyfriend to make homemade blankets and care baskets for the homeless in [ORGANIZATION]. She even set up a GoFundMe page to help raise money to purchase the supplies.
southbend,2022-02-12T00:00:00Z,Associated Press State & Local,South Bend Tribune,homeless,1,1,False,True,1,0,"[ORGANIZATION] woman makes blankets, care packages for the homeless",That is when [ORGANIZATION] decided to make the blankets and give them to the homeless.
southbend,2015-12-11T00:00:00Z,Associated Press State & Local,South Bend Tribune,affordable housing,1,1,False,True,1,0,EXCHANGE: Developers move forward with hotel to lofts rehab,"While anyone who qualifies for affordable housing can apply for residency at the hotel, preference is given to artists."
southbend,2021-04-29T00:00:00Z,Associated Press State & Local,South Bend Tribune,homeless,1,1,False,True,1,0,'[ORGANIZATION]' shelters aim to help northern [ORGANIZATION] city's homeless,"[ORGANIZATION] and [ORGANIZATION] broke ground [ORGANIZATION] on a 300,000 effort to provide short-term housing for homeless people in and around [ORGANIZATION]."
southbend,2016-01-28T00:00:00Z,Associated Press State & Local,South Bend Tribune,homeless,1,1,False,True,1,0,"Gloves, scarves offered for free to those in need",A homeless man came up to her while she was hanging more.
southbend,2016-01-28T00:00:00Z,Associated Press State & Local,South Bend Tribune,homeless,2,2,False,True,1,0,"Gloves, scarves offered for free to those in need","Anyone familiar with harsh [ORGANIZATION] conditions can appreciate how difficult it is for people living on the streets, especially overnight, to stay warm, said [ORGANIZATION], director of events for [ORGANIZATION]. Efforts such as [ORGANIZATION] that provide help that doesnt have to be searched out, [PERSON] said, is just such a kindness."
southbend,2016-01-28T00:00:00Z,Associated Press State & Local,South Bend Tribune,homeless,2,2,False,True,1,0,"Gloves, scarves offered for free to those in need","[ORGANIZATION] has hung more than 100 bags in trees around the downtown area and FAC0, each containing different [ORGANIZATION] items that are free for the homeless or people in need to take. PERSON0, a senior loan officer for [ORGANIZATION], has placed bags twice so far and will continue to do it until the weather warms up."
southbend,2017-09-07T00:00:00Z,Associated Press State & Local,South Bend Tribune,homeless,1,1,False,True,1,0,Pet refuge helping Harvey storm victims reunite with pets,"These dogs were homeless before Hurricane Harvey flooded the [ORGANIZATION] area, where pet shelters are scrambling to make room for pets who have been separated from their people by the floods."
southbend,2018-10-31T00:00:00Z,Associated Press State & Local,South Bend Tribune,homelessness,2,2,False,True,1,0,Medical school in [ORGANIZATION] focusing on community health,"The program allows students from the medical school and [ORGANIZATION] to learn about the factors that impact community health and well-being while serving at local nonprofits. The students are working on solutions for solving problems, such as youth homelessness, lack of access to mental healthcare, and unhealthy eating habits."
southbend,2021-02-02T00:00:00Z,Associated Press State & Local,South Bend Tribune,homeless,3,3,False,True,1,0,[PERSON]: [ORGANIZATION],Some of those folks get addicted to drugs or alcohol. Others wind up homeless. Some face both predicaments.
southbend,2021-02-02T00:00:00Z,Associated Press State & Local,South Bend Tribune,homeless,3,3,False,True,1,0,[PERSON]: [ORGANIZATION],"Two efforts revved up [ORGANIZATION] to connect the homeless and addicted to services in [ORGANIZATION]. Though separate, the projects target a widening sea of people in need in [ORGANIZATION] and the surrounding region. Both could use a boost of support from a community that already has given so much since [PERSON] began sweeping through [PERSON]."
southbend,2021-02-02T00:00:00Z,Associated Press State & Local,South Bend Tribune,homeless,4,4,False,True,1,0,[PERSON]: [ORGANIZATION],"DATE0, advocates for the homeless ventured through [ORGANIZATION] to conduct a pandemic-modified Point-in-Time Count. The DATE1 DATE2 process strives to enumerate people living outdoors, or in non-habitable shelters like abandoned houses, vehicles and RVs parked in vacant lots. The co-chairs of ORG0Bethany [ORGANIZATION] Director [PERSON] and [ORGANIZATION] Commissioner [PERSON]  led other volunteers to find people in those situations. That survey process continues through [ORGANIZATION]."
southbend,2021-02-02T00:00:00Z,Associated Press State & Local,South Bend Tribune,homeless,2,2,False,True,1,0,[PERSON]: [ORGANIZATION],The ranks of the homeless and addicted have grown in [ORGANIZATION] and [LOCATION]. That growth puts stress on assistance facilities and programs.
southbend,2021-02-02T00:00:00Z,Associated Press State & Local,South Bend Tribune,homeless,3,3,False,True,1,0,[PERSON]: [ORGANIZATION],"The [ORGANIZATION] in Time Count of the homeless is a survey required by [ORGANIZATION] to determine federal funding to communities for housing assistance and shelters. Because of COVID-19 precautions, the counters could not set up hubs in city parks, where homeless people could pick up food, clothing and supplies. So, volunteers visited common areas, where the homeless often live in cars or wooded places like the [ORGANIZATION] front."
southbend,2021-02-02T00:00:00Z,Associated Press State & Local,South Bend Tribune,homeless,2,2,False,True,1,0,[PERSON]: [ORGANIZATION],"The survey opens up funding that will help establish a day center for the homeless at [ORGANIZATION]. There, people will be able warm up or cool down in adverse weather, rest on cots, collect mail and access computers, showers and a laundry."
southbend,2017-04-18T00:00:00Z,Associated Press State & Local,South Bend Tribune,homeless,2,2,False,True,1,0,Pardoned man discusses his story with [ORGANIZATION] students,"With his family living in a [INSTITUTION], [ORGANIZATION] chose the latter, figuring, he said, Im going to take this so I can get home and immediately assist my family."
southbend,2019-09-26T00:00:00Z,The Hotline,South Bend Tribune,"homeless, homelessness, affordable housing",5,5,False,True,1,0,"[ORGANIZATION] Calls GPE0 Call ""Blatant Abuse of Power""",[ORGANIZATION]. Former [ORGANIZATION] Secretary [PERSON] toured a homeless camp in [ORGANIZATION] on [ORGANIZATION] and said more affordable housing is needed to ease the crisis of people living on the streets. He proposed a plan in [LOCATION] that calls for 40 billion in [ORGANIZATION] funding for the national ORG1. The money would go toward creating 3 million affordable apartments over [ORGANIZATION] in an effort to end homelessness.  [PERSON]
southbend,2020-01-07T00:00:00Z,Associated Press State & Local,South Bend Tribune,homeless,3,3,False,True,1,0,[PERSON]:,"The first student - [ORGANIZATION] - was selected from a family who was staying at [ORGANIZATION] in [ORGANIZATION]. In [ORGANIZATION], [ORGANIZATION] began attending ORG1 in [ORGANIZATION] and [LOCATION] shes a freshman at ORG2 in [PERSON]. Her younger sister, [PERSON], is also a Jaxson Scholar and an eighth-grader at ORG3."
southbend,2020-02-07T00:00:00Z,The Nation Blogs,South Bend Tribune,homeless,187,3,True,True,1,0,Tracking Down Mayor [PERSON]'s [ORGANIZATION],"He survived the vetting that goes with getting a top security clearance and in [ORGANIZATION] signed on as an ensign in [ORGANIZATION]. [ORGANIZATION] tells us, perhaps too often, that in [LOCATION] he had to take time off from the [ORGANIZATION] mayors office because hed been called up for a DATE2 deployment in Afghanistan.6 [PERSON]-dogging Mayor [PERSON] with ORG1 outside a [ORGANIZATION] campaign visit to a [INSTITUTION] in [PERSON]. PERSON2  [ORGANIZATION] A failed campaign for state treasurer and, after winning two terms as mayor, a strategically useful but unsuccessful bid to become chairman of ORG2 put some starch in his political collar."
southbend,2017-09-06T00:00:00Z,Dayton Daily News (Ohio),South Bend Tribune,homeless,2,2,False,True,1,0,STATE-BY-STATE,[PERSON] A [ORGANIZATION] woman developed a pocket-sized resource guide with survival tips and other information for the newly homeless. PERSON0
southbend,2017-08-02T00:00:00Z,Dayton Daily News (Ohio),South Bend Tribune,homeless,2,2,False,True,1,0,STATE-BY-STATE,[ORGANIZATION] A huge [ORGANIZATION] fire destroyed several historic buildings in downtown [PERSON]. Authorities say several people were left homeless.
southbend,2020-02-10T00:00:00Z,Newstex Blogs,South Bend Tribune,"homeless, housing crisis",7,7,True,True,1,0,"DATE0, Running for President Means Talking About the Housing Crisis","[ORGANIZATION] by [ORGANIZATION] A homeless couple in [ORGANIZATION] in [LOCATION]. Affordable for whom? It is not just a question from communities within the footprint of every proposed rezoning in [PERSON]. It is a question that is being asked across the nation. More than in any campaign in recent memory, housing has become a key topic in the DATE2 presidential race, reflecting a national housing crisis spanning from megacities like GPE2 and [PERSON] to smaller urban centers like [PERSON] and rural areas like [PERSON], GPE6. According to some research, home prices in 70 percent of the country are more than average household can afford."
southbend,2020-02-10T00:00:00Z,Newstex Blogs,South Bend Tribune,"homeless, homelessness, housing crisis, affordable housing",164,10,True,True,11,0,"DATE0, Running for President Means Talking About the Housing Crisis","[ORGANIZATION] found that in [ORGANIZATION], 38 percent of all renter households were rent burdened, an increase of about 19 percent from [LOCATION]. In [ORGANIZATION], [PERSON], where Democratic hopeful [ORGANIZATION] is mayor, there are 400 homeless households. In former Mayor [PERSON] town, there are nearly 60,000 people living in homeless shelters. According to [ORGANIZATION], almost 7 million housing units are needed to make up for the lack of affordable housing stock in the country. DATE2, the [ORGANIZATION] administration took steps that could have a heavy impact on the future of housing, such as creating ORG2, chaired by [ORGANIZATION], which will look at ways to reform local zoning laws that prevent the construction of multifamily housing units. [ORGANIZATION], [ORGANIZATION] proposed a revision to the [ORGANIZATION] administrations anti-discrimination Affirmatively Furthering Fair Housing rule Secretary [PERSON] proposed that rules implementation and method be left up to local jurisdictions rather than the federal government. Some candidates have come up with comprehensive, ambitious housing plans while others have proposed more modest responses. Housing policy experts and advocates say this is the first time in modern history that housing has become a main presidential issue and also the first time moderators asked a question about affordable [PERSON]g during a nationally televised Democratic presidential debates. The core of the crisis is the lack of affordable housing for lower income households, and voters are interested in knowing the candidates housing plans before they make a vote, says [PERSON], the president and CEO of [LOCATION]. In some cities and towns, there are enough apartments or housing-but there are not enough households who can afford those housing units."
southbend,2020-02-10T00:00:00Z,Newstex Blogs,South Bend Tribune,"homeless, homelessness, housing crisis, affordable housing",164,8,True,True,11,1,"DATE0, Running for President Means Talking About the Housing Crisis","Other contributions include 3,500 from [ORGANIZATION] a [ORGANIZATION]-based developer. PERSON1 A vow to cut homelessnessAs mayor of the nations largest city for [ORGANIZATION], [PERSON] oversaw the largest public housing authority in the country, ran a [INSTITUTION] system under a unique local legal right to shelter and helped regulate one of the largest biggest real-estate markets in the world. That gives him a deeper track record  for praise andor scrutiny  than any of the other candidates in the race, even the other mayors PERSON3, currently, and, formerly, PERSON4. That record is decidedly mixed. PERSON1 rezoned 40 percent of the city, but some of those zonings prevented any increase in affordable housing. His housing plan generated lots of units 165,000 but many of them were unaffordable to the neighborhoods in which they were built. He made big promises on reducing homelessness, but cut off the supply of Section 8 and public housing to the shelters. Until late in his term, he did little for NYCHA.PERSON1 laid out his housing plan for the nation in [LOCATION]."
