date,tweet_count
2024-10-14,2
2024-10-15,4
2024-10-17,1
2024-10-20,1
2024-10-21,6
2024-10-22,1
2024-10-23,2
2024-10-26,3
2024-10-29,2
2024-11-01,1
2024-11-03,1
2024-11-05,9
2024-11-06,2
2024-11-07,1
2024-11-12,1
2024-11-13,1
2024-11-16,1
2024-11-19,1
2024-11-20,2
2024-11-21,1
2024-11-23,1
2024-11-26,1
2024-11-27,4
2024-11-28,5
2024-11-29,1
2024-12-01,4
2024-12-02,2
2024-12-05,3
2024-12-06,2
2024-12-07,1
2024-12-09,9
2024-12-10,4
2024-12-11,2
2024-12-13,4
2024-12-14,3
2024-12-18,1
2024-12-19,1
2024-12-20,1
2024-12-25,1
2024-12-26,2
2024-12-27,1
