created_at,user_location,tweet_geo,tweet_country,place_type,is_retweet,keywords_matched,Deidentified_text,city
2024-07-24T22:07:58.000Z,,,,,False,homeless,"Are you kidding me?  This is a [ORGANIZATION] issue?

What about homeless?  What about inflation?  What about crime in [ORGANIZATION] and [PERSON] and GPE2?

Seriously?  [ORGANIZATION] and tampons? [URL]",scranton
2024-07-26T19:50:37.000Z,,"Scranton, PA",United States,city,False,homeless,[USER] I don't really follow this s*** too much but I saw this headline [ORGANIZATION] homeless people so where are they supposed to go? what are they supposed to live? Does this guy have any idea how dumb he sounds now is he going to provide homes in a roof over these homeless?,scranton
2024-08-01T22:53:13.000Z,"Greenville, NC",,,,False,homeless,[USER] [USER] Thanks for the follow. I have family in [ORGANIZATION] and [PERSON]. My wife’s cousin is a Pastor at [ORGANIZATION] and my brother in law is a pastor in [PERSON]. He also runs the homeless mission there. If you are looking for a church feel free to reach out.,scranton
2024-08-10T08:19:11.000Z,,,,,False,homeless,"[USER] [USER] [USER] Theres 200,000 [ORGANIZATION] homeless.  

There are 70,000 people in [PERSON].  

You want [ORGANIZATION] to build the equivalent of three GPE1s sprinkled among existing [ORGANIZATION] towns, cities and neighborhoods. 

I don't think you completely understand what an enormous task that is.",scranton
2024-08-21T18:31:05.000Z,"Paleto Bay, San Andreas",,,,False,"homeless, homelessness","[ORGANIZATION] needs to get a grip with reality and understand that they are not the center of this state. [PERSON] is an ongoing issue in [ORGANIZATION], and their claims of a few more tents in the city warranting a state of emergency is abhorrent.",rockford
2024-08-22T18:58:42.000Z,,,,,False,homeless,[USER] Isn't [ORGANIZATION] homeless?  Have fun finding him PERSON1!! Once the [ORGANIZATION] lawsuit is dismissed and [ORGANIZATION] wins her lawsuit you will be laying on the kitchen floor pissing yourself trying to text the [ORGANIZATION] girl in between slugs of liquor!!!,scranton
2024-08-23T04:43:02.000Z,SPREADING LOVE!!!!,"Scranton, PA",United States,city,False,homeless,"[USER] I got 3 new medical problems after being forced to get 2 covid [ORGANIZATION]; 2 boosters. I literally ended up homeless during a pandemic! My [PERSON] no longer works. Caused weight gain, now I'm on medication for diabetes. Severe Eczema DATE0 now.",scranton
2024-08-26T21:28:27.000Z,"Rockford, IL",,,,False,affordable housing,FOR IMMEDIATE RELEASE: ALL THINGS AFFORDABLE HOUSING SUMMIT [URL]  #tapin #affordablehousing #rockfordhousing #landlords #residents #rockfordil [ORGANIZATION],rockford
2024-08-27T16:33:53.000Z,SW Ohio,,,,False,homeless,"[USER] Buy a good used car for my friend who is driving a DATE0 Neon with no [ORGANIZATION], broken windows and a transmission ready to die.  She needs decent transportation and [ORGANIZATION] as she lives in [PERSON] and the heat is killing her.  She was homeless for [LOCATION] and trying to get back up. 😏",fayetteville
2024-08-27T21:16:32.000Z,"Rockford, Illinois",,,,False,homeless,[ORGANIZATION] heatwave puts [ORGANIZATION]’s homeless at risk [URL] [URL],rockford
